代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10837531.620000001043081
真實報酬,837531.620000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,46576.260790513872053
風險,84076.030787700132350
起點值,0.553977874004582
找到最佳解世代,2046
找到最佳解實驗#,2
找到最佳解次數,17

stock[index](rank)
投資組合檔數,3
CVX[5](2),MSFT[18](3),PG[21](12),
Stock#,CVX[5](2),MSFT[18](3),PG[21](12),
張數,48442,133976,58872,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,38.979999999981374,10.120000000111759,0.360000000335276,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3300876.859999999869615,3344051.080000000074506,3340986.360000000335276,9985915.300000000745058
FS( 3 ),3361429.359999999869615,3301178.760000000242144,3336865.320000000298023,9999474.440000001341105
FS( 4 ),3418106.500000000000000,3364147.479999999981374,3357470.520000000484288,10139725.500000000000000
FS( 5 ),3415684.400000000372529,3362807.720000000204891,3352760.760000000707805,10131253.880000002682209
FS( 6 ),3461219.879999999888241,3439174.040000000502914,3393971.160000000149012,10294366.080000000074506
FS( 7 ),3524678.900000000372529,3423096.920000000391155,3388672.680000000633299,10336449.500000000000000
FS( 8 ),3568761.120000000111759,3445872.839999999850988,3385140.360000000335276,10399775.320000000298023
FS( 9 ),3588137.919999999459833,3457930.680000000167638,3371011.080000000074506,10417080.679999999701977
FS( 10 ),3655472.299999999813735,3478027.080000000074506,3373954.680000000633299,10507455.060000000521541
FS( 11 ),3715055.959999999962747,3578509.080000000074506,3369833.640000000596046,10663399.679999999701977
FS( 12 ),3720869.000000000000000,3550374.120000000111759,3381608.040000000037253,10652852.160000000149012
FS( 13 ),3762044.699999999720603,3531617.479999999981374,3402213.240000000223517,10695876.419999999925494
FS( 14 ),3731526.240000000223517,3532957.240000000223517,3422229.720000000670552,10686714.200000001117587
FS( 15 ),3728619.719999999739230,3561092.199999999720603,3384551.640000000596046,10674264.560000000521541
FS( 16 ),3744121.160000000149012,3562431.959999999962747,3422229.720000000670552,10728783.839999999850988
FS( 17 ),3714571.540000000502914,3754017.640000000130385,3393382.440000000409782,10861972.620000001043081
FS( 18 ),3654987.879999999888241,3842441.800000000279397,3349817.160000000149012,10847247.839999999850988
FS( 19 ),3710211.760000000242144,3830383.959999999962747,3366301.320000000298023,10906898.040000000968575
FS( 20 ),3676302.359999999869615,3754017.640000000130385,3369244.919999999925494,10799565.919999999925494
FS( 21 ),3776092.879999999888241,3780812.839999999850988,3505239.240000000223517,11062145.960000000894070
FS( 22 ),3707789.660000000149012,3715164.600000000093132,3414576.360000000335276,10837531.620000001043081
