代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10473758.950000001117587
真實報酬,473758.950000001117587

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25860.523881002714916
風險,39998.412271572946338
起點值,0.646538760224288
找到最佳解世代,2351
找到最佳解實驗#,5
找到最佳解次數,11

stock[index](rank)
投資組合檔數,5
CAT[3](1),CSCO[4](2),CVX[5](4),DIS[6](5),KO[14](23),
Stock#,CAT[3](1),CSCO[4](2),CVX[5](4),DIS[6](5),KO[14](23),
張數,25113,73394,19085,18968,49164,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,0.679999999934807,13.500000000000000,82.849999999860302,14.080000000074506,8.479999999981374,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2015067.799999999813735,1991192.719999999972060,2009351.649999999906868,2010622.080000000074506,2000000.000000000000000,10026234.250000000000000
FS( 3 ),2046459.049999999813735,1997798.179999999934807,2040651.049999999813735,2003603.919999999925494,2024090.360000000102445,10112602.559999998658895
FS( 4 ),2022601.700000000186265,2010275.160000000149012,2071568.750000000000000,1999810.320000000298023,2016224.119999999878928,10120480.050000000745058
FS( 5 ),2020090.399999999906868,2022018.199999999953434,2035688.949999999720603,2017450.560000000055879,2010324.439999999944121,10105572.549999998882413
FS( 6 ),2026117.520000000018626,2027889.719999999972060,2041223.599999999860302,2025227.439999999944121,2018190.679999999934807,10138648.959999999031425
FS( 7 ),2074334.479999999748543,2057981.260000000009313,2040460.199999999720603,2028641.680000000167638,2009832.800000000046566,10211250.419999999925494
FS( 8 ),2062782.500000000000000,2053577.620000000111759,2032635.349999999860302,2020295.760000000242144,2000983.280000000027940,10170274.509999999776483
FS( 9 ),2084379.679999999934807,2041100.639999999897555,2077294.250000000000000,2023140.959999999962747,1991642.119999999878928,10217557.650000000372529
FS( 10 ),2138623.759999999776483,2073394.000000000000000,2107257.700000000186265,2029210.720000000204891,1986234.079999999841675,10334720.259999999776483
FS( 11 ),2118031.099999999627471,2099081.899999999906868,2102486.450000000186265,2050454.879999999888241,1996066.880000000121072,10366121.210000000894070
FS( 12 ),2091411.320000000065193,2049173.980000000214204,2082447.199999999953434,2023710.000000000000000,1981317.679999999934807,10228060.179999999701977
FS( 13 ),2124560.479999999515712,2090274.620000000111759,2104967.500000000000000,2052731.040000000037253,1999016.719999999739230,10371550.359999999403954
FS( 14 ),2107483.639999999664724,2105687.359999999869615,2094279.899999999906868,2042488.320000000298023,2004916.400000000139698,10354855.620000001043081
FS( 15 ),2131340.990000000223517,2100549.780000000260770,2089890.349999999860302,2047420.000000000000000,2030973.320000000065193,10400174.439999999478459
FS( 16 ),2129331.950000000186265,2104953.419999999925494,2098860.299999999813735,2067526.080000000074506,2013274.280000000027940,10413946.029999999329448
FS( 17 ),2124560.479999999515712,2115228.580000000074506,2096951.800000000046566,2077579.120000000111759,2010324.439999999944121,10424644.419999999925494
FS( 18 ),2142892.969999999739230,2120366.160000000149012,2093707.349999999860302,2089528.959999999962747,2007374.599999999860302,10453870.039999999105930
FS( 19 ),2164741.280000000260770,2151925.580000000074506,2120808.049999999813735,2084976.640000000130385,2004424.760000000242144,10526876.310000000521541
FS( 20 ),2197388.179999999701977,2132109.200000000186265,2132449.900000000372529,2082890.160000000149012,1990658.840000000083819,10535496.280000001192093
FS( 21 ),2181818.120000000111759,2115962.520000000018626,2119662.950000000186265,2062215.040000000037253,1994100.320000000065193,10473758.950000001117587
