代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11445829.609999999403954
真實報酬,1445829.609999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,85054.631314887985354
風險,209152.716013559751445
起點值,0.406662810486160
找到最佳解世代,2209
找到最佳解實驗#,2
找到最佳解次數,32

stock[index](rank)
投資組合檔數,5
BA[2](3),CVX[5](1),JNJ[12](12),PFE[20](10),WMT[28](13),
Stock#,BA[2](3),CVX[5](1),JNJ[12](12),PFE[20](10),WMT[28](13),
張數,67773,34710,41736,171526,41631,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,18.769999999785796,9.800000000046566,10.879999999888241,6.840000000083819,46.760000000009313,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1989834.049999999813735,2003818.099999999860302,1988313.919999999925494,2036020.459999999962747,1972523.540000000037253,9990510.070000000298023
FS( 3 ),2054218.399999999674037,2057618.600000000093132,2049248.479999999981374,2144081.839999999850988,2018733.950000000186265,10323901.269999999552965
FS( 4 ),1991867.239999999757856,1959736.400000000139698,1989566.000000000000000,2173241.259999999776483,2071189.010000000009313,10185599.910000000149012
FS( 5 ),2039986.069999999832362,2022561.500000000232831,2002086.799999999813735,2183532.820000000298023,2036218.969999999972060,10284386.160000000149012
FS( 6 ),2100981.769999999552965,2022908.600000000093132,1944908.479999999981374,2166380.220000000670552,1977935.569999999832362,10213114.640000000596046
FS( 7 ),2237205.500000000000000,2144393.599999999627471,1994156.959999999962747,2245282.179999999701977,2026227.530000000027940,10647265.769999997690320
FS( 8 ),2254826.480000000447035,2124956.000000000000000,1999165.279999999795109,2193824.379999999888241,1975854.020000000018626,10548626.160000000149012
FS( 9 ),2279224.759999999776483,2200623.799999999813735,2045074.879999999888241,2404801.360000000335276,2037467.899999999906868,10967192.700000001117587
FS( 10 ),2263636.969999999739230,2183615.900000000372529,2113521.919999999925494,2493994.879999999888241,2047875.649999999906868,11102645.320000000298023
FS( 11 ),2292779.359999999403954,2184657.200000000186265,2117278.159999999683350,2427099.740000000223517,2031639.559999999823049,11053454.019999999552965
FS( 12 ),2334120.889999999664724,2266919.900000000372529,2116860.799999999813735,2445967.599999999627471,2081596.760000000009313,11245465.949999999254942
FS( 13 ),2287357.519999999552965,2311348.700000000186265,2114356.639999999664724,2444252.339999999850988,2099914.400000000372529,11257229.599999999627471
FS( 14 ),2249404.639999999664724,2330092.099999999627471,2089315.040000000037253,2349913.040000000037253,2079515.210000000195578,11098240.030000001192093
FS( 15 ),2206029.919999999925494,2246093.899999999441206,2156510.000000000000000,2337906.220000000670552,2064528.050000000046566,11011068.089999999850988
FS( 16 ),2405960.269999999552965,2400206.299999999813735,2221618.159999999683350,2404801.360000000335276,2143210.639999999664724,11575796.730000000447035
FS( 17 ),2446624.070000000298023,2393958.500000000000000,2199498.080000000074506,2387648.759999999776483,2126558.240000000223517,11554287.650000000372529
FS( 18 ),2511686.150000000372529,2419296.799999999813735,2206175.839999999850988,2445967.599999999627471,2151536.839999999850988,11734663.230000000447035
FS( 19 ),2620122.949999999254942,2435610.500000000000000,2207845.279999999795109,2466550.720000000670552,2196498.320000000298023,11926627.769999999552965
FS( 20 ),2543539.459999999962747,2391528.799999999813735,2204923.759999999776483,2408231.879999999888241,2188588.429999999701977,11736812.329999998211861
FS( 21 ),2407315.730000000447035,2318637.799999999813735,2212436.239999999757856,2349913.040000000037253,2154867.320000000298023,11443170.129999998956919
FS( 22 ),2411382.109999999403954,2333910.200000000186265,2195324.479999999981374,2336190.959999999962747,2169021.860000000335276,11445829.609999999403954
