代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11681898.861750001000
真實報酬,1681898.861750001100

夏普值報酬,0.159489886175
夏普值風險,0.049187120440
夏普值,3.242513177176

預期報酬,15539.600167269085
風險,101127.888386668800
起點值,0.153662856163
找到最佳解世代,3532
找到最佳解實驗#,4
找到最佳解次數,28

投資組合檔數,5
1216(2),2105(9),2892(39),3045(42),4904(44),
Stock#,1216(2),2105(9),2892(39),3045(42),4904(44),
張數,38,40,156,22,31,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,21564.741499999767,41212.699999999997,3479.006000000233,9908.154500000001,29626.212749999999,
FS( 1 ),1997184.741500000000,1997212.700000000000,1997159.006000000100,1997168.154499999900,1997196.212749999900,9985920.814750000800
FS( 2 ),2013033.325499999800,1966654.750000000000,1969699.808000000400,1982241.787000000000,1982934.406999999900,9914564.077500000600
FS( 3 ),1960068.735500000000,1966654.750000000000,1937084.770999999900,1982241.787000000000,1974292.816000000100,9820342.859500000300
FS( 4 ),2013033.325499999800,1973822.889999999900,1969699.808000000400,1972385.594499999700,2002377.986749999900,9931319.604749999900
FS( 5 ),2020221.376999999600,2039132.610000000300,1996102.457000000400,1990345.767500000100,1985712.061249999800,10031514.272750000000
FS( 6 ),2006223.592499999800,2031964.470000000200,1969699.808000000400,2019914.344999999700,1965959.853249999900,9993762.068749999600
FS( 7 ),2038002.346499999500,2039132.610000000300,1982124.584000000300,2029770.537499999900,1980156.752749999800,10069186.830750000000
FS( 8 ),2038002.346499999500,2046698.980000000000,2002314.845000000200,2010058.152499999900,1963182.198999999800,10060256.522999998000
FS( 9 ),2030814.294999999700,2053867.119999999900,2002314.845000000200,2010058.152499999900,1965959.853249999900,10063014.265750000000
FS( 10 ),2023626.243499999900,2071787.470000000200,2002314.845000000200,2029770.537499999900,1940960.964999999900,10068460.061000001000
FS( 11 ),1974444.838499999800,2079353.839999999900,1996102.457000000400,1990345.767500000100,1937874.682500000100,9978121.585500000000
FS( 12 ),2016816.510499999900,2158999.840000000300,1996102.457000000400,2029770.537499999900,1963182.198999999800,10164871.544000000000
FS( 13 ),2048595.264499999600,2158999.840000000300,2014739.621000000000,2039845.756500000100,1977379.098500000100,10239559.580499999000
FS( 14 ),2045190.397999999800,2151831.700000000200,2034929.882000000400,2059558.141499999700,1985712.061249999800,10277222.182750000000
FS( 15 ),2020221.376999999600,2148247.629999999400,2047354.658000000300,2059558.141499999700,1977379.098500000100,10252760.904999999000
FS( 16 ),2034597.479999999700,2137495.419999999900,2065991.821999999900,2069414.333999999800,2002377.986749999900,10309877.042749999000
FS( 17 ),2027409.428499999900,2151831.700000000200,2065991.821999999900,2029770.537499999900,1994045.023999999700,10269048.512000000000
FS( 18 ),2052000.130999999800,2177318.420000000400,2073757.307000000300,2059558.141499999700,1999600.332500000000,10362234.332000000000
FS( 19 ),2055783.315999999900,2199221.070000000300,2065991.821999999900,2049701.948999999600,1963182.198999999800,10333880.355999999000
FS( 20 ),2038002.346499999500,2195637.000000000000,2065991.821999999900,2029770.537499999900,1999600.332500000000,10329002.038500000000
FS( 21 ),2055783.315999999900,2195637.000000000000,2073757.307000000300,2039845.756500000100,1988489.715499999900,10353513.094999999000
FS( 22 ),2045190.397999999800,2264530.790000000000,2065991.821999999900,2049701.948999999600,1999600.332500000000,10425015.291499998000
FS( 23 ),2030814.294999999700,2271698.930000000200,2073757.307000000300,2049701.948999999600,2002377.986749999900,10428350.467749998000
FS( 24 ),2055783.315999999900,2220725.490000000200,2065991.821999999900,2049701.948999999600,2007933.295250000000,10400135.872250000000
