代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11651107.200500000000
真實報酬,1651107.200500000300

夏普值報酬,0.156410720050
夏普值風險,0.048183559564
夏普值,3.246142905732

預期報酬,15124.235393372850
風險,56231.620354811086
起點值,0.268963179399
找到最佳解世代,3678
找到最佳解實驗#,5
找到最佳解次數,3

投資組合檔數,12
1102(1),1216(2),2354(20),2382(22),2474(26),2887(36),2892(39),2912(40),3008(41),3045(42),4938(46),5880(47),
Stock#,1102(1),1216(2),2354(20),2382(22),2474(26),2887(36),2892(39),2912(40),3008(41),3045(42),4938(46),5880(47),
張數,28,21,15,13,4,82,69,4,0,12,26,72,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,4753.955000000000,14427.720499999999,7157.375000000000,53262.982000000004,110143.922000000010,3131.646500000000,8298.999500000000,139746.045000000010,833333.000000000000,7397.717000000000,28527.784500000002,7037.203999999883,
FS( 1 ),832153.954999999960,832167.720500000050,832157.375000000000,832222.981999999960,832303.922000000020,832151.646500000030,832158.999500000030,832346.045000000040,833333.000000000000,832157.716999999950,832187.784499999950,832157.204000000030,9987502.350999999800
FS( 2 ),828492.709999999960,815168.693000000090,832240.156250000000,826705.287999999940,854157.031000000080,828483.233000000010,833322.046250000010,832825.537000000010,833333.000000000000,831494.878999999960,835879.375000000000,825638.791999999900,9977744.740499999400
FS( 3 ),839921.910999999960,825204.089000000040,842096.348750000000,832917.675999999980,897046.402000000120,837463.319500000100,835382.886500000020,843458.278000000050,833333.000000000000,847862.131999999870,847527.602499999920,825638.791999999900,10107856.437249998000
FS( 4 ),838806.866999999970,825204.089000000040,843440.375000000000,824634.492000000090,880957.910000000030,834197.833499999950,835382.886500000020,839914.031000000080,833333.000000000000,860406.377000000090,844162.558999999890,828506.048000000070,10088950.468000000000
FS( 5 ),842151.998999999950,831894.353000000000,843440.375000000000,821528.297999999950,891710.120000000000,846443.406000000080,835382.886500000020,829281.290000000040,833333.000000000000,845950.628000000030,856846.184499999970,828506.048000000070,10106472.588000000000
FS( 6 ),861665.268999999850,826876.655000000030,847173.781250000000,832917.675999999980,927471.174000000000,848892.520499999980,842939.300749999940,827489.255000000000,833333.000000000000,856583.368999999950,862023.174499999960,836391.001999999860,10203760.176999999000
