代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11954293.254500000000
真實報酬,1954293.254499999800

夏普值報酬,0.186729325450
夏普值風險,0.053649124684
夏普值,3.480566114561

預期報酬,17427.694282191540
風險,144236.653901550920
起點值,0.120827083898
找到最佳解世代,4157
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,5
1303(4),2002(8),2891(37),2912(39),3045(40),
Stock#,1303(4),2002(8),2891(37),2912(39),3045(40),
張數,38,88,206,19,38,
FS( 46 ),2328557.623500000200,2154887.436000000200,2384191.493500000300,1988592.675500000100,1991084.183499999800,10847313.412000000000
FS( 47 ),2280511.174000000100,2119843.196000000000,2269341.961500000200,1965326.087750000400,1939254.548999999900,10574276.968250001000
FS( 48 ),2322882.845999999900,2129480.362000000200,2384191.493500000300,1965326.087750000400,1930931.541999999900,10732812.331250001000
FS( 49 ),2393628.405499999900,2129480.362000000200,2398547.685000000100,1942059.500000000200,1924878.445999999800,10788594.398500001000
FS( 50 ),2416327.515500000200,2123347.619999999600,2398547.685000000100,1926548.441500000000,1927904.993999999900,10792676.256000001000
FS( 51 ),2453024.410000000100,2097940.546000000100,2330868.496500000400,1926548.441500000000,1896126.239999999800,10704508.134000001000
FS( 52 ),2492747.852500000500,2132984.786000000300,2492888.372000000000,1934303.970750000100,1936606.319499999800,10989531.300750000000
FS( 53 ),2492747.852500000500,2119843.196000000000,2466226.873500000200,1957570.558500000300,1947955.874500000200,10984344.355000002000
FS( 54 ),2492747.852500000500,2104073.288000000200,2425209.183500000300,1942059.500000000200,1953630.652000000000,10917720.476000002000
FS( 55 ),2422002.293000000100,2125975.937999999600,2425209.183500000300,1934303.970750000100,1933579.771499999800,10841071.156750001000
FS( 56 ),2439026.625499999600,2129480.362000000200,2455972.450999999900,1934303.970750000100,1965358.525499999800,10924141.934750000000
FS( 57 ),2450376.180500000200,2123347.619999999600,2419056.530000000300,1965326.087750000400,1933579.771499999800,10891686.189750001000
FS( 58 ),2422002.293000000100,2151383.012000000100,2466226.873500000200,2004103.734000000400,1953630.652000000000,10997346.564500002000
FS( 59 ),2303210.284000000000,2135613.103999999800,2482633.949500000100,1973081.617000000300,1959683.747999999700,10854222.702500001000
FS( 60 ),2408004.508499999500,2167152.919999999500,2476481.296000000100,2004103.734000000400,1991084.183499999800,11046826.641999999000
FS( 61 ),2439026.625499999600,2154887.436000000200,2503142.794500000300,2019614.792500000200,1976708.080499999900,11093379.729000000000
FS( 62 ),2390980.176000000000,2154887.436000000200,2503142.794500000300,2042881.380250000200,1982761.176499999800,11074652.963250000000
FS( 63 ),2393628.405499999900,2148754.693999999700,2513397.217000000200,2089603.715000000100,1988435.954000000100,11133819.985500000000
FS( 64 ),2379630.620999999800,2141745.846000000400,2560567.560500000100,2074092.656500000500,1985409.405999999700,11141446.090000000000
FS( 65 ),2317208.068500000100,2125975.937999999600,2540058.715499999900,2066337.127250000400,1962331.977499999800,11011911.826749999000
FS( 66 ),2317208.068500000100,2117214.878000000000,2550313.138000000300,2042881.380250000200,1953630.652000000000,10981248.116750000000
FS( 67 ),2359579.740500000300,2176790.086000000100,2507244.563500000200,2089603.715000000100,1965358.525499999800,11098576.630500000000
FS( 68 ),2322882.845999999900,2176790.086000000100,2378038.840000000300,2128381.361250000100,1976708.080499999900,10982801.213749999000
FS( 69 ),2399303.182999999700,2179418.403999999600,2425209.183500000300,2089603.715000000100,1962331.977499999800,11055866.463000000000
FS( 70 ),2416327.515500000200,2176790.086000000100,2492888.372000000000,2042881.380250000200,1979734.628499999900,11108621.982249999000
FS( 71 ),2427677.070499999900,2186427.251999999900,2466226.873500000200,2089603.715000000100,1965358.525499999800,11135293.436500000000
FS( 72 ),2439026.625499999600,2173285.662000000000,2486735.718500000400,2058392.438750000200,1968385.073499999900,11125825.518250000000
FS( 73 ),2425028.841000000000,2179418.403999999600,2513397.217000000200,2066337.127250000400,1974059.850999999800,11158241.440250000000
FS( 74 ),2430325.299999999800,2192559.993999999500,2554414.907000000100,2081848.185750000400,1982761.176499999800,11241909.563250000000
FS( 75 ),2402329.730999999700,2192559.993999999500,2554414.907000000100,2058392.438750000200,1979734.628499999900,11187431.699250000000
FS( 76 ),2390980.176000000000,2195188.311999999900,2585178.174500000200,2066337.127250000400,1997137.279499999900,11234821.069250001000
FS( 77 ),2416327.515500000200,2192559.993999999500,2564669.329500000500,2050636.909500000100,2011513.382499999800,11235707.131000001000
FS( 78 ),2439026.625499999600,2204825.478000000100,2570821.983000000500,2105114.773500000100,2014161.612000000000,11333950.471999999000
FS( 79 ),2456050.958000000100,2226728.128000000000,2607737.904000000100,2112870.302750000300,2022862.937499999800,11426250.230250001000
FS( 80 ),2478750.068000000000,2226728.128000000000,2607737.904000000100,2074092.656500000500,2011513.382499999800,11398822.139000002000
FS( 81 ),2487073.075000000200,2220595.385999999900,2574923.751999999900,2105114.773500000100,2019836.389500000000,11407543.375999998000
FS( 82 ),2515446.962499999900,2226728.128000000000,2591330.828000000200,2120625.832000000400,2028537.714999999900,11482669.465500001000
FS( 83 ),2518473.510499999900,2232860.869999999600,2597483.481500000200,2112870.302750000300,2031564.262999999800,11493252.427750001000
FS( 84 ),2515446.962499999900,2230232.552000000100,2585178.174500000200,2151647.949000000000,2031564.262999999800,11514069.901000001000
FS( 85 ),2524148.288000000200,2224099.810000000100,2607737.904000000100,2213692.183000000200,2045940.365999999700,11615618.551000001000
FS( 86 ),2470048.742499999700,2214462.643999999400,2574923.751999999900,2143892.419750000400,2019836.389500000000,11423163.947749998000
FS( 87 ),2470048.742499999700,2224099.810000000100,2503142.794500000300,2128381.361250000100,2051615.143499999800,11377287.851750001000
FS( 88 ),2478750.068000000000,2217090.962000000300,2523651.639500000000,2128381.361250000100,2089068.675000000000,11436942.705750002000
FS( 89 ),2467400.513000000300,2208329.902000000200,2486735.718500000400,2136136.890500000200,2120847.429000000000,11419450.453000002000
FS( 90 ),2458699.187500000000,2192559.993999999500,2476481.296000000100,2174914.536750000000,2143546.538999999400,11446201.553249998000
FS( 91 ),2430325.299999999800,2192559.993999999500,2429310.952500000100,2221636.871499999900,2120847.429000000000,11394680.547000000000
FS( 92 ),2501449.177999999800,2210958.219999999700,2462125.104500000400,2174914.536750000000,2160949.189999999500,11510396.229250001000
