代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11551994.403249998000
真實報酬,1551994.403249997600

夏普值報酬,0.146499440325
夏普值風險,0.054648608006
夏普值,2.680753374540

預期報酬,11786.274612406543
風險,288017.055210894150
起點值,0.040922141238
找到最佳解世代,3179
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
1326(5),2912(39),
Stock#,1326(5),2912(39),
張數,105,82,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,22216.752499999067,49175.113499999999,
FS( 1 ),4992916.752500000400,4992955.113500000000,9985871.866000000400
FS( 2 ),5021098.384999999800,4990671.803000000300,10011770.188000001000
FS( 3 ),5358747.646249999300,4997202.774999999400,10355950.421249999000
FS( 4 ),5315888.142500000100,5015979.319500000200,10331867.462000001000
FS( 5 ),5193581.753749998300,5035572.235499999500,10229153.989249997000
FS( 6 ),5265711.162499997800,5042103.207499999600,10307814.369999997000
FS( 7 ),5193581.753749998300,4977609.859000000200,10171191.612749998000
FS( 8 ),5100545.269999999600,4971078.887000000100,10071624.157000000000
FS( 9 ),5093227.793749999300,4997202.774999999400,10090430.568749998000
FS( 10 ),5121452.345000000700,4958016.943000000000,10079469.288000001000
FS( 11 ),5071275.364999999300,4971078.887000000100,10042354.252000000000
FS( 12 ),5049322.936250001200,4944954.998999999800,9994277.935250001000
FS( 13 ),5049322.936250001200,4931893.055000000600,9981215.991250000900
FS( 14 ),5071275.364999999300,4913116.510499998900,9984391.875499997300
FS( 15 ),5056640.412499997800,4893523.594500000600,9950164.006999999300
FS( 16 ),5021098.384999999800,4880461.650499999500,9901560.035499999300
FS( 17 ),4948968.976250000300,4731065.666000000200,9680034.642250001400
FS( 18 ),5013780.908749999500,4776782.469999999700,9790563.378750000100
FS( 19 ),4970921.405000001200,4776782.469999999700,9747703.875000000000
FS( 20 ),4999145.956249998900,4809437.330000000100,9808583.286249999000
FS( 21 ),4906109.472499998300,4854337.762499999300,9760447.234999997500
FS( 22 ),4870567.445000000300,4906585.538499999800,9777152.983500000100
FS( 23 ),4863249.968749999100,4906585.538499999800,9769835.507249999800
FS( 24 ),4970921.405000001200,4886992.622499999600,9857914.027499999900
FS( 25 ),4906109.472499998300,4750658.582000000400,9656768.054499998700
FS( 26 ),4913426.948749999500,4783313.441999999800,9696740.390749998400
FS( 27 ),4841297.539999999100,4744127.610000000300,9585425.149999998500
FS( 28 ),4884157.043749999300,4744127.610000000300,9628284.653749998700
FS( 29 ),4906109.472499998300,4744127.610000000300,9650237.082499999600
FS( 30 ),5035733.337499999400,4951485.970999999000,9987219.308499999300
FS( 31 ),5193581.753749998300,4913116.510499998900,10106698.264249997000
FS( 32 ),5106817.392500000100,4958016.943000000000,10064834.335500000000
FS( 33 ),5164311.848749999900,4944954.998999999800,10109266.847750001000
FS( 34 ),5229123.781249999100,4931893.055000000600,10161016.836250000000
FS( 35 ),5243758.733749999700,4971078.887000000100,10214837.620749999000
FS( 36 ),5221806.304999999700,4977609.859000000200,10199416.164000001000
FS( 37 ),5243758.733749999700,4977609.859000000200,10221368.592750000000
FS( 38 ),5293935.713749999200,4984140.831000001200,10278076.544750001000
FS( 39 ),5336795.217500001200,4984140.831000001200,10320936.048500001000
FS( 40 ),5394289.673750000100,4984140.831000001200,10378430.504750002000
FS( 41 ),5394289.673750000100,4977609.859000000200,10371899.532749999000
FS( 42 ),5358747.646249999300,4900054.566500000700,10258802.212749999000
FS( 43 ),5351430.169999999000,4977609.859000000200,10329040.028999999000
FS( 44 ),5344112.693749997800,4984140.831000001200,10328253.524749998000
FS( 45 ),5279300.761249999500,4919647.482499999900,10198948.243749999000
FS( 46 ),5279300.761249999500,4977609.859000000200,10256910.620250000000
FS( 47 ),5373382.598749999900,4990671.803000000300,10364054.401750000000
FS( 48 ),5438194.531249999100,4977609.859000000200,10415804.390249999000
FS( 49 ),5423559.578749999400,4984140.831000001200,10407700.409750000000
FS( 50 ),5329477.741250000000,5010264.719000000500,10339742.460250001000
FS( 51 ),5308570.666249999800,5003733.746999999500,10312304.413249999000
FS( 52 ),5351430.169999999000,5055165.151500000600,10406595.321500000000
FS( 53 ),5323205.618749999400,5042103.207499999600,10365308.826249998000
FS( 54 ),5344112.693749997800,5081289.039500000900,10425401.733250000000
FS( 55 ),5366065.122499998700,5145782.387999999300,10511847.510499999000
FS( 56 ),5408924.626250000700,5178437.247999999700,10587361.874250000000
FS( 57 ),5358747.646249999300,5178437.247999999700,10537184.894249998000
FS( 58 ),5401607.149999999400,5191499.191999999800,10593106.342000000000
FS( 59 ),5386972.197499999800,5165375.304000000500,10552347.501499999000
FS( 60 ),5430877.054999999700,5178437.247999999700,10609314.302999999000
FS( 61 ),5481054.034999998300,5204561.135999999900,10685615.170999998000
FS( 62 ),5459101.606249999300,5139251.416000000200,10598353.022250000000
FS( 63 ),5481054.034999998300,5198030.163999999900,10679084.198999997000
FS( 64 ),5488371.511249999500,5229868.652499999900,10718240.163750000000
FS( 65 ),5494643.633749999100,5242930.596500000000,10737574.230249999000
FS( 66 ),5531231.014999999700,5567030.082000000400,11098261.096999999000
FS( 67 ),5624267.498750001200,5456819.929499998700,11081087.428250000000
FS( 68 ),5624267.498750001200,5553968.137999999300,11178235.636750001000
FS( 69 ),5545865.967500001200,5476412.845500000800,11022278.813000001000
FS( 70 ),5481054.034999998300,5547437.166000000200,11028491.200999998000
FS( 71 ),5466419.082499999600,5508251.334000000700,10974670.416500000000
FS( 72 ),5444466.653749998700,5463350.901500000600,10907817.555250000000
FS( 73 ),5408924.626250000700,5489474.789500000900,10898399.415750001000
FS( 74 ),5581407.994999999200,5547437.166000000200,11128845.160999998000
FS( 75 ),5696396.907500000700,5657647.318500001000,11354044.226000002000
FS( 76 ),5631584.974999997800,5838881.791500000300,11470466.766499998000
FS( 77 ),5638902.451249999000,5819288.875500000100,11458191.326749999000
FS( 78 ),5731938.934999998700,5878067.623499999800,11610006.558499999000
FS( 79 ),5653537.403749998700,5683771.206499999400,11337308.610249998000
FS( 80 ),5624267.498750001200,5631523.430499999800,11255790.929250002000
FS( 81 ),5451784.129999999900,5580092.025999999600,11031876.155999999000
FS( 82 ),5466419.082499999600,5593153.969999999700,11059573.052499998000
FS( 83 ),5538548.491250000000,5469881.873499999800,11008430.364750000000
FS( 84 ),5531231.014999999700,5586622.997999999700,11117854.013000000000
FS( 85 ),5438194.531249999100,5618461.486499999600,11056656.017749999000
FS( 86 ),5451784.129999999900,5573561.054000000500,11025345.184000000000
FS( 87 ),5574090.518749998900,5593153.969999999700,11167244.488750000000
FS( 88 ),5581407.994999999200,5593153.969999999700,11174561.965000000000
FS( 89 ),5552138.089999999900,5722140.666999999400,11274278.756999999000
FS( 90 ),5552138.089999999900,5845412.763500000400,11397550.853500001000
FS( 91 ),5531231.014999999700,5851943.735499999500,11383174.750499999000
FS( 92 ),5516596.062499999100,5812757.903500000000,11329353.965999998000
FS( 93 ),5265711.162499997800,5754795.527000000700,11020506.689499998000
FS( 94 ),5236441.257500000300,5955622.916000000200,11192064.173500001000
FS( 95 ),5056640.412499997800,6052771.124500000800,11109411.536999999000
FS( 96 ),4978238.881249997800,5909906.112000000700,10888144.993249997000
FS( 97 ),5028415.861250000100,5878067.623499999800,10906483.484749999000
FS( 98 ),5078592.841249998700,5851943.735499999500,10930536.576749999000
FS( 99 ),5186264.277499999900,5975215.832000000400,11161480.109500000000
FS( 100 ),5028415.861250000100,5838881.791500000300,10867297.652750000000
FS( 101 ),4928061.901249999200,5793164.987499999800,10721226.888749998000
FS( 102 ),5028415.861250000100,5942560.972000000100,10970976.833250001000
FS( 103 ),5013780.908749999500,5922968.056000000800,10936748.964749999000
FS( 104 ),4898791.996249999900,5903375.139999998700,10802167.136249999000
FS( 105 ),4985556.357499999000,5942560.972000000100,10928117.329499999000
FS( 106 ),4978238.881249997800,6169512.248999999800,11147751.130249998000
FS( 107 ),5021098.384999999800,6130326.416999999400,11151424.801999999000
FS( 108 ),5121452.345000000700,6234005.597500001100,11355457.942500003000
FS( 109 ),5186264.277499999900,6311560.889999998700,11497825.167499999000
FS( 110 ),5215534.182499999200,6201350.737499999800,11416884.919999998000
FS( 111 ),5394289.673750000100,6272375.058000001100,11666664.731750000000
FS( 112 ),5251076.210000000000,6194819.765499999700,11445895.975499999000
