代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12357699.516249999000
真實報酬,2357699.516249999400

夏普值報酬,0.227069951625
夏普值風險,0.072558263818
夏普值,3.129484357488

預期報酬,18919.363718277058
風險,258016.858118058040
起點值,0.073326075886
找到最佳解世代,3491
找到最佳解實驗#,2
找到最佳解次數,43

投資組合檔數,2
2325(16),2412(24),
Stock#,2325(16),2412(24),
張數,156,55,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,27444.190999999999,85907.382500000007,
FS( 1 ),4992924.190999999600,4993007.382500000300,9985931.573499999900
FS( 2 ),4922805.934999999600,5026597.656250000900,9949403.591250000500
FS( 3 ),4776814.816999998900,5046310.041250000700,9823124.858249999600
FS( 4 ),4706925.451999999600,5011265.801250000500,9718191.253249999100
FS( 5 ),4658779.445000000300,4981149.657500000700,9639929.102500001000
FS( 6 ),4790792.690000000400,4991553.416250000700,9782346.106250001100
FS( 7 ),4852916.570000000300,5016193.897500001800,9869110.467500001200
FS( 8 ),4866894.443000000000,5031525.752499999500,9898420.195499999400
FS( 9 ),4970951.941999998900,5001409.608749999700,9972361.550749998500
FS( 10 ),5026863.433999998500,4956509.176250000500,9983372.610249999900
FS( 11 ),4929018.322999999900,4951581.080000000100,9880599.403000000900
FS( 12 ),4748859.070999999500,5001409.608749999700,9750268.679749999200
FS( 13 ),4623058.213999999700,5001409.608749999700,9624467.822749998400
FS( 14 ),4720903.324999999300,4976221.561250000300,9697124.886250000400
FS( 15 ),4678969.706000000200,4956509.176250000500,9635478.882249999800
FS( 16 ),5144898.806000000800,4836592.167499999500,9981490.973500000300
FS( 17 ),5595296.935999999800,4846448.360000000300,10441745.296000000000
FS( 18 ),5303314.699999999300,4836592.167499999500,10139906.867500000000
FS( 19 ),5553363.316999998900,4886420.696250000000,10439784.013249999000
