代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11576593.048499998000
真實報酬,1576593.048499997700

夏普值報酬,0.148959304850
夏普值風險,0.067020188560
夏普值,2.222603487868

預期報酬,14412.386565309835
風險,297642.763720836080
起點值,0.048421760318
找到最佳解世代,2650
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2354(20),3045(42),4904(45),
Stock#,2354(20),3045(42),4904(45),
張數,49,42,62,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,63319.862000000001,5978.266500000000,42650.449999999997,
FS( 1 ),3328679.862000000200,3328598.266499999900,3328650.450000000200,9985929.578499998900
FS( 2 ),3292766.047000000300,3252847.014000000000,3234483.811500000300,9780097.872500000500
FS( 3 ),3297156.532750000700,3270827.098499999800,3277074.509999999800,9845059.141249999400
FS( 4 ),3275691.935749999700,3288807.183000000200,3244977.171999999800,9809477.290750000600
FS( 5 ),3262520.478500000200,3274172.230499999600,3255470.532500000200,9792164.241499999500
FS( 6 ),3301547.018500000200,3267063.824999999700,3244977.171999999800,9813589.015499999700
FS( 7 ),3262520.478500000200,3267063.824999999700,3181399.752500000400,9710985.056000001700
FS( 8 ),3241055.881500000100,3245738.608500000600,3170289.135499999900,9657084.625500001000
FS( 9 ),3215200.798750000100,3267063.824999999700,3138809.054000000000,9621074.677749998900
FS( 10 ),3223981.770250001000,3252847.014000000000,3080169.686500000300,9556999.470750000300
FS( 11 ),3180564.744500000500,3231521.797499999900,3096218.355500000100,9508305.897500000900
FS( 12 ),3210810.313000000100,3252847.014000000000,3127698.436999999900,9591356.763999998600
FS( 13 ),3280082.421500000200,3249083.740499999800,3170289.135499999900,9699456.297499999400
FS( 14 ),3280082.421500000200,3259955.419499999800,3127698.436999999900,9667737.278000000900
FS( 15 ),3266910.964250000200,3216886.845000000200,3133253.745500000200,9617052.554750001100
FS( 16 ),3280082.421500000200,3202670.033999999500,3143747.106000000100,9626500.561499999800
FS( 17 ),3340085.726749999900,3267063.824999999700,3218435.142500000100,9825585.694249998800
FS( 18 ),3288375.561250000300,3216886.845000000200,3196831.165000000500,9702094.571250001000
FS( 19 ),3288375.561250000300,3303023.993999999900,3181399.752500000400,9772800.307750001500
