代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11887887.307999998000
真實報酬,1887887.307999998300

夏普值報酬,0.180088730800
夏普值風險,0.055165769829
夏普值,3.264501363046

預期報酬,16830.058579365334
風險,98817.526709623315
起點值,0.170314509377
找到最佳解世代,3774
找到最佳解實驗#,3
找到最佳解次數,8

投資組合檔數,8
2308(14),2317(16),2347(20),2454(27),2474(28),2498(29),2801(30),2882(33),
Stock#,2308(14),2317(16),2347(20),2454(27),2474(28),2498(29),2801(30),2882(33),
張數,10,27,42,4,10,8,103,38,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,14642.119999999999,13530.538250000232,28161.357499999765,25297.281999999999,77832.037500000006,68158.271999999997,3986.958000000000,23134.203999999765,
FS( 1 ),1248242.120000000100,1248240.538250000000,1248261.357499999900,1248257.281999999900,1248332.037500000100,1248318.272000000100,1248226.958000000100,1248254.203999999900,9986132.769249999900
FS( 2 ),1255825.472499999900,1247615.441000000300,1245789.405499999600,1246190.815999999900,1238871.602500000000,1199529.702000000000,1252975.618500000100,1271585.253999999700,9958383.311999999000
FS( 3 ),1251544.500000000000,1281216.097250000300,1329417.705499999700,1231058.075999999900,1268838.410000000100,1278697.825999999900,1252975.618500000100,1273098.527999999700,10166846.761249999000
FS( 4 ),1225460.435000000100,1266969.419000000200,1334435.403499999800,1205850.117000000100,1311648.135000000500,1243096.064000000200,1231441.331250000000,1244346.321999999700,10063247.226750001000
FS( 5 ),1212418.402500000100,1250841.104000000300,1292621.253499999600,1202504.984999999900,1285962.300000000000,1254963.318000000000,1202728.948250000100,1221647.211999999600,9923687.523249998700
FS( 6 ),1186433.895000000000,1249228.272500000200,1328163.280999999500,1215925.335999999900,1303086.189999999700,1254963.318000000000,1209907.044000000000,1221647.211999999600,9969354.548499999600
FS( 7 ),1186433.895000000000,1237938.452000000300,1329417.705499999700,1205850.117000000100,1303086.189999999700,1326166.842000000200,1199652.621500000100,1200083.057499999600,9988628.880499998100
FS( 8 ),1195095.397499999700,1257292.430000000400,1374576.987499999800,1210907.638000000000,1320210.080000000100,1318281.887999999800,1206830.717250000000,1214459.160499999500,10097654.298750000000
FS( 9 ),1229840.965000000100,1282828.928750000200,1382521.675999999700,1256305.858000000000,1337433.527500000100,1330149.142000000000,1214008.813000000100,1212945.886499999600,10246034.796750000000
FS( 10 ),1221079.905000000500,1282828.928750000200,1364959.732999999800,1246190.815999999900,1341714.500000000000,1302432.333999999800,1214008.813000000100,1218620.663999999900,10191835.693750001000
FS( 11 ),1195095.397499999700,1273151.939750000400,1385866.807999999700,1236115.596999999800,1328772.025000000100,1318281.887999999800,1206830.717250000000,1205757.834999999700,10149872.207500000000
FS( 12 ),1212418.402500000100,1282828.928750000200,1480784.928499999900,1236115.596999999800,1333052.997500000300,1286582.779999999800,1214008.813000000100,1210297.656999999700,10256090.104250001000
FS( 13 ),1169011.332500000000,1287667.423250000200,1540161.021499999600,1286571.338000000000,1337433.527500000100,1278697.825999999900,1209907.044000000000,1201596.331499999600,10311045.844249999000
FS( 14 ),1125604.262500000200,1298957.243750000400,1527616.776499999700,1269766.031999999900,1307367.162500000100,1250981.018000000200,1206830.717250000000,1200083.057499999600,10187206.270000000000
FS( 15 ),1095239.225000000100,1308634.232750000200,1579048.180999999900,1263035.944999999800,1328772.025000000100,1250981.018000000200,1232466.773500000100,1178897.221499999800,10237074.621750001000
FS( 16 ),1129984.792500000200,1305408.569750000300,1556468.539999999600,1259650.989999999800,1320210.080000000100,1294547.379999999900,1256051.945250000100,1186085.272999999600,10308407.570499999000
FS( 17 ),1134365.322500000000,1318311.221750000300,1527616.776499999700,1261363.379000000000,1303086.189999999700,1274715.526000000100,1260153.714250000200,1181545.450999999700,10261157.580999998000
FS( 18 ),1143026.825000000200,1297344.412250000100,1519253.946499999600,1261363.379000000000,1290243.272500000200,1254963.318000000000,1256051.945250000100,1174357.399499999600,10196604.498000000000
FS( 19 ),1156068.857500000200,1286054.591750000100,1514654.389999999700,1256305.858000000000,1307367.162500000100,1239113.764000000000,1251950.176250000000,1192895.005999999800,10204409.806000000000
FS( 20 ),1216798.932500000100,1294118.749250000100,1512981.823999999600,1247903.204999999800,1338727.775000000100,1239113.764000000000,1251950.176250000000,1212945.886499999600,10314540.312499998000
FS( 21 ),1190714.867500000200,1316698.390250000200,1545178.719499999700,1259650.989999999800,1352068.480000000000,1306414.634000000100,1256051.945250000100,1232996.766999999800,10459774.793499999000
FS( 22 ),1186433.895000000000,1323149.716250000100,1572357.916999999700,1229385.509999999800,1347588.392500000100,1235211.109999999900,1271433.579000000100,1224295.441499999700,10389855.561249997000
FS( 23 ),1216798.932500000100,1329332.237000000200,1548523.851499999600,1247903.204999999800,1405729.972500000100,1235211.109999999900,1302196.846500000200,1236023.314999999700,10521719.469999999000
FS( 24 ),1203756.900000000100,1329332.237000000200,1558141.105999999900,1252920.902999999900,1392389.267499999800,1156042.986000000000,1306298.615500000100,1234510.041000000000,10433392.055999998000
FS( 25 ),1225460.435000000100,1332557.900000000400,1649714.094499999700,1261363.379000000000,1405729.972500000100,1104591.669999999900,1310400.384500000200,1244346.321999999700,10534164.157499999000
FS( 26 ),1199376.370000000100,1343847.720500000300,1614172.066999999800,1268053.642999999700,1387909.180000000200,1104591.669999999900,1310400.384500000200,1247372.869999999600,10475723.904999999000
FS( 27 ),1212418.402500000100,1397877.575750000300,1572357.916999999700,1269766.031999999900,1383429.092499999800,1065087.254000000200,1306298.615500000100,1250021.099499999500,10457255.988750000000
FS( 28 ),1199376.370000000100,1397877.575750000300,1586992.869499999600,1266381.076999999800,1392389.267499999800,1116458.923999999900,1310400.384500000200,1245859.595999999700,10515736.064249998000
FS( 29 ),1203756.900000000100,1379867.624000000100,1598282.689999999700,1269766.031999999900,1396769.797500000100,1136290.777999999900,1325782.018250000200,1247372.869999999600,10557888.709749999000
FS( 30 ),1199376.370000000100,1358363.204000000400,1590338.001499999500,1283226.205999999800,1414690.147500000200,1183759.794000000200,1341163.652000000000,1257209.150999999800,10628126.526000002000
FS( 31 ),1195095.397499999700,1361857.672250000300,1606227.378499999900,1271438.597999999800,1396769.797500000100,1160025.286000000300,1317578.480250000000,1244346.321999999700,10553338.932000000000
FS( 32 ),1182053.365000000200,1358363.204000000400,1588665.435499999700,1256305.858000000000,1374468.917500000200,1167910.240000000200,1317578.480250000000,1227321.989499999700,10472667.489750000000
FS( 33 ),1186433.895000000000,1379867.624000000100,1591592.425999999700,1269766.031999999900,1401249.885000000500,1152060.686000000200,1325782.018250000200,1244346.321999999700,10551098.888250001000
FS( 34 ),1186433.895000000000,1377985.987250000200,1562740.662499999600,1276496.118999999900,1414690.147500000200,1175795.194000000100,1341163.652000000000,1241698.092499999800,10577003.749749999000
FS( 35 ),1190714.867500000200,1377985.987250000200,1543506.153500000000,1269766.031999999900,1463871.552500000000,1163927.939999999900,1317578.480250000000,1225808.715499999700,10553159.728499999000
FS( 36 ),1264486.975000000100,1383362.092250000200,1535561.464999999600,1273111.163999999900,1495232.165000000000,1167910.240000000200,1348341.747750000100,1241698.092499999800,10709703.941499999000
FS( 37 ),1273248.034999999900,1395995.939000000200,1553123.407999999800,1268053.642999999700,1517533.045000000400,1175795.194000000100,1348341.747750000100,1241698.092499999800,10773789.104250001000
FS( 38 ),1242783.440000000200,1394114.302250000400,1532216.332999999600,1274783.729999999700,1513052.957500000000,1136290.777999999900,1348341.747750000100,1244346.321999999700,10685929.610500000000
FS( 39 ),1251544.500000000000,1376373.155750000200,1492074.748999999400,1276496.118999999900,1477311.814999999700,1128326.178000000300,1344239.978750000200,1224295.441499999700,10570661.936999999000
FS( 40 ),1273248.034999999900,1385243.729000000300,1495419.880999999800,1271438.597999999800,1472831.727500000000,1096706.716000000000,1344239.978750000200,1238671.544499999600,10577800.209750000000
FS( 41 ),1260206.002500000200,1377985.987250000200,1517999.521999999900,1254633.291999999900,1477311.814999999700,1112556.270000000000,1337061.883000000100,1224295.441499999700,10562050.213250000000
FS( 42 ),1273248.034999999900,1370997.050750000200,1493747.314999999700,1254633.291999999900,1535453.395000000000,1120441.223999999900,1341163.652000000000,1232996.766999999800,10622680.730749998000
FS( 43 ),1260206.002500000200,1361857.672250000300,1493747.314999999700,1263035.944999999800,1508572.870000000300,1116458.923999999900,1328858.345000000000,1229970.218999999600,10562707.292750001000
FS( 44 ),1303613.072500000000,1379867.624000000100,1558141.105999999900,1289916.470000000000,1557754.275000000100,1120441.223999999900,1348341.747750000100,1271585.253999999700,10829660.773250002000
FS( 45 ),1299232.542500000200,1377985.987250000200,1537234.030999999700,1301704.078000000000,1562234.362500000000,1136290.777999999900,1348341.747750000100,1264397.202499999900,10827420.729499999000
FS( 46 ),1299232.542500000200,1365352.140500000200,1538906.596999999800,1279841.250999999700,1495232.165000000000,1065087.254000000200,1348341.747750000100,1284448.082999999600,10676441.780749999000
FS( 47 ),1281909.537500000100,1376373.155750000200,1543506.153500000000,1298358.946000000000,1508572.870000000300,1068989.908000000100,1348341.747750000100,1308660.466999999500,10734712.785500001000
FS( 48 ),1290571.040000000000,1367233.777250000300,1532216.332999999600,1310106.730999999900,1526493.220000000000,1084839.462000000100,1341163.652000000000,1340060.902499999900,10792685.117750000000
FS( 49 ),1299232.542500000200,1369115.414000000100,1537234.030999999700,1318509.384000000100,1562234.362500000000,1065087.254000000200,1332960.114000000300,1325684.799499999700,10810057.901500000000
FS( 50 ),1290571.040000000000,1343847.720500000300,1537234.030999999700,1318509.384000000100,1526493.220000000000,1065087.254000000200,1341163.652000000000,1332872.850999999800,10755779.152500000000
FS( 51 ),1290571.040000000000,1340353.252250000400,1559813.671999999800,1350487.252999999800,1526493.220000000000,1076954.507999999900,1348341.747750000100,1335899.399000000000,10828914.092000000000
FS( 52 ),1281909.537500000100,1334977.147250000200,1540161.021499999600,1335354.513000000000,1517533.045000000400,1061104.953999999900,1348341.747750000100,1340060.902499999900,10759442.868500002000
FS( 53 ),1281909.537500000100,1338471.615500000300,1522599.078499999800,1350487.252999999800,1544413.570000000100,1112556.270000000000,1356545.285750000000,1325684.799499999700,10832667.409750000000
FS( 54 ),1294852.012500000200,1361857.672250000300,1524271.644499999700,1353832.384999999800,1553274.187500000000,1120441.223999999900,1348341.747750000100,1332872.850999999800,10889743.724500000000
FS( 55 ),1294852.012500000200,1363739.309000000100,1527616.776499999700,1342084.599999999900,1589114.887500000200,1100689.015999999800,1348341.747750000100,1338547.628499999900,10904985.977750000000
FS( 56 ),1294852.012500000200,1370997.050750000200,1553123.407999999800,1342084.599999999900,1602455.592499999800,1171892.540000000000,1352443.516750000000,1341574.176499999800,11029422.897000000000
