代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11577920.163249999000
真實報酬,1577920.163249999300

夏普值報酬,0.149092016325
夏普值風險,0.040764839888
夏普值,3.657367887011

預期報酬,12628.825675817041
風險,67444.304528170847
起點值,0.187248215608
找到最佳解世代,2940
找到最佳解實驗#,1
找到最佳解次數,23

投資組合檔數,14
1216(2),2311(14),2324(16),2325(17),2474(27),2887(37),2891(39),2892(40),2912(41),3008(42),3045(43),3481(44),4904(45),5880(47),
Stock#,1216(2),2311(14),2324(16),2325(17),2474(27),2887(37),2891(39),2892(40),2912(41),3008(42),3045(43),3481(44),4904(45),5880(47),
張數,13,22,40,15,3,65,42,45,3,0,7,59,10,54,
分配資金,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,
剩餘資金,45132.815000000119,19416.221000000001,10483.510000000000,23602.177500000118,57039.758249999883,6077.240000000000,5997.126000000000,469.260000000000,35859.619500000001,714285.000000000000,18054.282999999999,4094.418500000000,30912.580000000002,10203.111000000117,
FS( 1 ),713332.814999999940,713296.221000000020,713283.510000000010,713302.177499999990,713349.758249999960,713277.239999999990,713277.126000000050,713269.260000000010,713319.619500000030,714285.000000000000,713294.283000000050,713274.418500000030,713312.579999999960,713283.111000000030,9987167.119750000500
FS( 2 ),706622.712250000100,710225.802000000030,710173.620000000000,708159.547500000100,706084.967999999880,710147.880000000000,714328.827000000050,714147.198749999980,697299.738000000010,714285.000000000000,723458.993500000100,713073.243250000060,720646.939999999940,710171.982000000080,9958836.452250000100
FS( 3 ),720341.735750000230,719643.941499999840,715748.840000000200,713834.325000000070,698857.093499999840,716619.117500000050,722273.515499999980,720419.321250000040,704527.612499999930,714285.000000000000,730079.567250000080,736568.813250000120,725425.699999999950,715010.476500000110,10053645.059500001000
FS( 4 ),720341.735750000230,737604.114500000030,713757.690000000060,710250.255000000000,703187.844749999810,719207.612499999930,722273.515499999980,720419.321250000040,692939.119500000030,714285.000000000000,720183.551750000100,760064.383249999960,725425.699999999950,715010.476500000110,10074960.320249999000
FS( 5 ),721506.558500000040,739575.353000000120,710173.620000000000,705919.503749999920,706084.967999999880,713383.498749999910,722273.515499999980,718179.277500000080,694402.614749999950,714285.000000000000,716838.419750000000,754190.490750000000,724430.124999999770,715010.476500000110,10056263.421750000000
FS( 6 ),715294.170500000010,743955.883000000030,711766.540000000040,708159.547500000100,703187.844749999810,707559.384999999890,722273.515499999980,720419.321250000040,697299.738000000010,714285.000000000000,716838.419750000000,751253.544500000080,723534.107499999810,717698.529000000100,10053535.546250001000
FS( 7 ),719047.488250000170,735413.849500000010,710173.620000000000,710250.255000000000,690165.723749999770,716619.117500000050,722273.515499999980,722211.356249999950,697299.738000000010,714285.000000000000,726804.125500000080,748316.598250000040,724430.124999999770,719848.971000000140,10057149.483500000000
