代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11886318.287250001000
真實報酬,1886318.287250001000

夏普值報酬,0.179931828725
夏普值風險,0.048927610583
夏普值,3.677511053202

預期報酬,13848.093220027509
風險,135714.544918337810
起點值,0.102038386736
找到最佳解世代,3319
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2325(16),2330(17),2412(24),
Stock#,2325(16),2330(17),2412(24),
張數,91,26,36,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,5277.269000000000,96406.944000000469,87273.948000000004,
FS( 1 ),3328597.268999999900,3328726.944000000100,3328713.947999999900,9986039.160999998500
FS( 2 ),3274028.754999999400,3278184.998000000600,3324405.971999999100,9876620.724999999600
FS( 3 ),3236883.851750000400,3290350.924500000700,3311144.913000000200,9838380.689250001700
FS( 4 ),3216952.440250000500,3302258.001500000700,3311144.913000000200,9830356.354750001800
FS( 5 ),3236883.851750000400,3350662.858000000500,3307919.250000000000,9895466.959750000400
FS( 6 ),3265874.995749999800,3374735.861500000600,3307919.250000000000,9948531.107250001300
FS( 7 ),3293960.166499999400,3434788.945500000400,3324405.971999999100,10053156.083999999000
FS( 8 ),3265874.995749999800,3410715.942000000300,3321180.308999999900,9997772.246750000900
FS( 9 ),3305737.818749999600,3386642.938500000600,3321180.308999999900,10013562.066250000000
FS( 10 ),3439821.859749999400,3471027.875500000500,3334082.961000000100,10244933.696249999000
FS( 11 ),3561222.275249999900,3410715.942000000300,3314370.575999999900,10286309.793250000000
FS( 12 ),3456129.378250000500,3422881.868500000300,3350569.682999999300,10229581.929749999000
FS( 13 ),3476060.789750000000,3446954.872000000900,3357021.009000000100,10280037.670750001000
FS( 14 ),3459753.271250000200,3434788.945500000400,3350569.682999999300,10245112.899750000000
FS( 15 ),3399053.063499999700,3410715.942000000300,3353795.345999999900,10163565.351500001000
FS( 16 ),3520453.478999999400,3471027.875500000500,3357021.009000000100,10348503.363499999000
FS( 17 ),3520453.478999999400,3471027.875500000500,3373149.324000000500,10364631.678500000000
FS( 18 ),3504145.960499999600,3446954.872000000900,3373149.324000000500,10324251.156500001000
FS( 19 ),3536760.997499999600,3422881.868500000300,3373149.324000000500,10332793.190000001000
FS( 20 ),3476060.789750000000,3386642.938500000600,3373149.324000000500,10235854.052250002000
FS( 21 ),3492368.308249999800,3386642.938500000600,3346985.613000000400,10225997.859750001000
FS( 22 ),3492368.308249999800,3410715.942000000300,3373149.324000000500,10276234.574250001000
FS( 23 ),3508675.826750000000,3459120.798500000500,3357021.009000000100,10324818.634250000000
FS( 24 ),3610144.830749999700,3579485.816000000600,3357021.009000000100,10546652.655750001000
FS( 25 ),3593837.312249999500,3531339.809000000400,3357021.009000000100,10482199.130249999000
FS( 26 ),3577529.793749999700,3471027.875500000500,3324405.971999999100,10372964.641249999000
FS( 27 ),3601991.071500000100,3519173.882500000300,3330857.298000000000,10452023.252000000000
FS( 28 ),3536760.997499999600,3459120.798500000500,3307919.250000000000,10303802.046000000000
FS( 29 ),3488744.415250000100,3410715.942000000300,3307919.250000000000,10207380.607250001000
