代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13818980.461749999000
真實報酬,3818980.461749998900

夏普值報酬,0.373198046175
夏普值風險,0.099514625818
夏普值,3.750182881227

預期報酬,33766.961886875622
風險,211607.383325060040
起點值,0.159573646989
找到最佳解世代,4782
找到最佳解實驗#,1
找到最佳解次數,39

投資組合檔數,3
2317(16),2354(19),3008(41),
Stock#,2317(16),2354(19),3008(41),
張數,52,54,1,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,48498.771999999997,17875.195499999532,1099504.323750000000,
FS( 1 ),3328658.771999999900,3328615.195499999900,3330154.323750000000,9987429.291249999800
FS( 2 ),3318803.355000000000,3313965.170999999600,3305768.214000000200,9938537.740000000200
FS( 3 ),3305860.879999999900,3200529.355499999600,3329960.686500000300,9836351.922000000300
FS( 4 ),3236489.213999999700,3116662.117499999200,3358991.653500000000,9712143.984999999400
FS( 5 ),3184719.313999999800,3190852.366499999500,3518652.016249999900,9894224.696749998300
FS( 6 ),3279975.929999999700,3220420.943999999700,3547682.983249999600,10048080.857249999000
FS( 7 ),3245290.097000000100,3254828.015999999400,3702504.851499999900,10202623.964499999000
FS( 8 ),3215263.554999999700,3205367.849999999600,3654119.906500000000,10074752.311500000000
FS( 9 ),3262374.163999999900,3254828.015999999400,3649281.412000000000,10166484.592000000000
FS( 10 ),3245290.097000000100,3329018.264999999200,3586390.939250000300,10160700.301250000000
FS( 11 ),3258232.571999999700,3442454.080499999700,3634775.884249999700,10335463.536750000000
FS( 12 ),3262374.163999999900,3531159.812999998700,3634775.884249999700,10428310.861249998000
FS( 13 ),3254090.980000000000,3511805.834999999000,3615421.906250000000,10381319.721249999000
FS( 14 ),3245290.097000000100,3506429.729999999100,3658958.400999999600,10410679.228000000000
FS( 15 ),3392316.613000000400,3566104.495499999300,3721858.829500000000,10680280.938000001000
FS( 16 ),3348829.896999999900,3590296.967999999400,3687989.367999999800,10627117.232999999000
FS( 17 ),3435285.629999999900,3615027.050999999500,3741212.807500000100,10791526.488499999000
FS( 18 ),3422343.154999999800,3605350.061999999500,3697666.357000000300,10725360.573999999000
FS( 19 ),3435285.629999999900,3625241.650499998600,3697666.357000000300,10758194.637499999000
FS( 20 ),3482913.938000000100,3639757.134000000100,3765405.279999999800,10888077.352000000000
FS( 21 ),3508798.888000000300,3694055.794499998900,3731535.818500000100,10934391.500999998000
FS( 22 ),3530542.246000000300,3694055.794499998900,3837982.697499999800,11062581.737999998000
FS( 23 ),3474113.054999999700,3659648.722499999200,3837982.697499999800,10971745.474999998000
FS( 24 ),3504657.296000000100,3694055.794499998900,3862175.169999999900,11060889.260499999000
FS( 25 ),3512940.480000000000,3689217.299999999800,3900873.170250000000,11103031.950250000000
FS( 26 ),3512940.480000000000,3689217.299999999800,3896034.675749999900,11098193.455750000000
FS( 27 ),3551767.904999999800,3718785.877499999500,4021835.532750000200,11292390.315249998000
FS( 28 ),3560568.788000000200,3723624.372000000000,4002481.554749999700,11286675.714749999000
FS( 29 ),3444086.513000000300,3659648.722499999200,3929904.137250000100,11033640.372749999000
FS( 30 ),3499998.004999999900,3738677.465999999100,4016997.038250000200,11255673.509250000000
FS( 31 ),3512940.480000000000,3773084.537999998800,4065381.983249999600,11351408.001249999000
FS( 32 ),3452369.696999999700,3713947.382999999400,3958935.104249999900,11125253.184249999000
FS( 33 ),3474113.054999999700,3644595.628499999200,3968612.093249999900,11087321.776749998000
FS( 34 ),3525882.955000000100,3679540.310999999800,3987966.071250000000,11193390.337250000000
FS( 35 ),3534683.838000000500,3659648.722499999200,4036351.016249999900,11230684.576749999000
FS( 36 ),3569369.671000000100,3718785.877499999500,4050866.499750000000,11339023.048249999000
FS( 37 ),3629940.454000000400,3738677.465999999100,4079897.466750000100,11448516.386750000000
FS( 38 ),3569369.671000000100,3619865.545499999500,3905711.664750000000,11094947.881250000000
FS( 39 ),3591113.029000000100,3610188.556499999000,3818628.719500000100,11019931.305000000000
FS( 40 ),3612338.688000000100,3615027.050999999500,3915388.653749999600,11142755.392749999000
FS( 41 ),3612338.688000000100,3639757.134000000100,3925065.642750000100,11177162.464750001000
FS( 42 ),3612338.688000000100,3738677.465999999100,3949258.115250000300,11300275.269250000000
FS( 43 ),3621139.571000000500,3718785.877499999500,3968612.093249999900,11308538.541749999000
FS( 44 ),3647024.521000000200,3718785.877499999500,3987966.071250000000,11353777.469749998000
FS( 45 ),3634082.046000000100,3679540.310999999800,3954096.609750000300,11267719.966750000000
FS( 46 ),3569369.671000000100,3619865.545499999500,3867013.664500000000,11056249.880999999000
FS( 47 ),3595254.621000000300,3639757.134000000100,3881529.148000000000,11116541.903000001000
FS( 48 ),3612338.688000000100,3674164.205999999800,3992804.565750000100,11279308.459750000000
FS( 49 ),3647024.521000000200,3743515.960499999600,4176657.400999999600,11567198.882500000000
FS( 50 ),3655825.404000000100,3792976.126499999300,4171818.906500000000,11620621.436999999000
FS( 51 ),3655825.404000000100,3792976.126499999300,4118605.422749999900,11567407.953249998000
FS( 52 ),3698794.421000000100,3842436.292499999100,4418572.170250000400,11959803.883749999000
FS( 53 ),3763506.796000000100,3886520.353499998800,4491149.587749999900,12141177.737250000000
FS( 54 ),3772307.679000000500,3881681.859000000200,4437926.148250000600,12091916.686250001000
FS( 55 ),3763506.796000000100,3842436.292499999100,4389541.203250000300,11995485.291749999000
FS( 56 ),3824077.579000000400,3896734.953000000200,4375025.719750000200,12095839.251750000000
FS( 57 ),3832878.461999999800,3886520.353499998800,4370187.225250000100,12089587.040749999000
FS( 58 ),3832878.461999999800,3847274.786999999500,4331489.224999999600,12011643.473999999000
FS( 59 ),3841161.646000000200,3866628.764999999200,4399218.192250000300,12107009.603250001000
FS( 60 ),3893449.244999999600,3876843.364499999700,4500826.576750000000,12271120.186249999000
FS( 61 ),3893449.244999999600,3906411.941999998900,4486311.093249999900,12286173.280249998000
FS( 62 ),3845820.936999999900,3832221.692999999500,4408895.181250000400,12086938.811249999000
FS( 63 ),3884648.361999999700,3852113.281499999100,4495988.082250000000,12232750.725749999000
FS( 64 ),3871705.886999999600,3847274.786999999500,4568565.499749999500,12287547.173749998000
