代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11137693.580250001000
真實報酬,1137693.580250000600

夏普值報酬,0.105069358025
夏普值風險,0.033367755681
夏普值,3.148829038076

預期報酬,10127.242447714571
風險,78578.782330593982
起點值,0.128880114292
找到最佳解世代,4252
找到最佳解實驗#,6
找到最佳解次數,12

投資組合檔數,8
2227(11),2324(17),2354(20),2412(24),2890(37),3008(41),4904(45),9904(49),
Stock#,2227(11),2324(17),2354(20),2412(24),2890(37),3008(41),4904(45),9904(49),
張數,5,76,16,15,128,0,21,37,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,44534.656250000000,1062.797000000000,3746.616000000000,46337.221250000235,221.600000000000,1250000.000000000000,33839.437250000003,20590.584500000001,
FS( 1 ),1248284.656250000000,1248222.797000000000,1248226.615999999900,1248287.221249999900,1248221.600000000100,1250000.000000000000,1248269.437250000000,1248250.584500000100,9987762.912249999100
FS( 2 ),1223843.022500000200,1248757.209999999700,1239852.535999999800,1240280.540000000300,1227407.168000000100,1250000.000000000000,1285964.159000000000,1275970.836500000200,9992075.472000001000
FS( 3 ),1269788.808749999600,1261620.039000000100,1265179.963999999900,1246851.335000000200,1252893.888000000000,1250000.000000000000,1284291.592999999900,1274129.022750000200,10104754.650500000000
FS( 4 ),1277404.957500000000,1283562.511999999900,1299109.159999999900,1248046.025000000400,1252893.888000000000,1250000.000000000000,1273419.913999999900,1280759.552249999900,10165196.008750001000
FS( 5 ),1281237.921249999900,1280535.964000000200,1280790.580000000100,1248046.025000000400,1252893.888000000000,1250000.000000000000,1250003.990000000000,1264183.228500000000,10107691.596750000000
FS( 6 ),1329125.078750000100,1252540.395000000000,1217392.363999999800,1250734.077500000100,1252893.888000000000,1250000.000000000000,1253558.192749999900,1284074.817000000000,10090318.812999999000
FS( 7 ),1355906.046249999900,1252540.395000000000,1229976.431999999800,1246851.335000000200,1252893.888000000000,1250000.000000000000,1258994.032250000200,1299177.689750000100,10146339.818250000000
FS( 8 ),1357847.417499999700,1258593.491000000200,1199073.784000000000,1239085.850000000600,1237601.856000000100,1250000.000000000000,1267984.074500000100,1256079.248000000100,10066265.721000001000
FS( 9 ),1323350.743749999900,1273726.231000000100,1231410.059999999800,1235203.107500000200,1232504.512000000100,1250000.000000000000,1258994.032250000200,1267498.493250000100,10072687.179749999000
FS( 10 ),1313793.223749999900,1267673.134999999800,1244153.419999999900,1236397.797500000100,1237601.856000000100,1250000.000000000000,1246449.787250000100,1294020.611250000100,10090089.830750002000
FS( 11 ),1304235.703750000100,1255566.943000000000,1229976.431999999800,1232515.055000000200,1227407.168000000100,1250000.000000000000,1241013.947749999800,1279286.101250000100,10020001.350750001000
FS( 12 ),1302294.332500000000,1264646.586999999800,1207516.259999999800,1237741.823750000000,1223584.160000000100,1250000.000000000000,1280737.390249999900,1279286.101250000100,10045806.654749999000
FS( 13 ),1281237.921249999900,1258593.491000000200,1213091.480000000000,1235203.107500000200,1203194.784000000200,1250000.000000000000,1267984.074500000100,1249448.718500000200,9958753.576749999100
FS( 14 ),1285070.885000000000,1258593.491000000200,1231410.059999999800,1237741.823750000000,1213389.472000000100,1250000.000000000000,1266311.508499999800,1254237.434250000200,9996754.674499999700
FS( 15 ),1273571.993749999900,1267673.134999999800,1200507.412000000000,1244163.282500000000,1232504.512000000100,1250000.000000000000,1276974.116750000000,1284074.817000000000,10029469.268999999000
FS( 16 ),1296569.776250000100,1355443.026999999800,1237144.571999999900,1245507.308750000100,1242699.200000000200,1250000.000000000000,1293281.635249999800,1280759.552249999900,10201405.071500000000
FS( 17 ),1298461.368749999900,1364522.670999999900,1229976.431999999800,1237741.823750000000,1247796.544000000000,1250000.000000000000,1295163.271999999900,1259394.512750000500,10183056.624249998000
FS( 18 ),1298461.368749999900,1392518.240000000000,1228702.095999999900,1250734.077500000100,1252893.888000000000,1250000.000000000000,1300390.040749999900,1267498.493250000100,10241198.204250000000
FS( 19 ),1290845.220000000000,1376628.862999999900,1221533.955999999800,1249390.051250000300,1247796.544000000000,1250000.000000000000,1304153.314250000100,1257552.699000000300,10197900.647500001000
FS( 20 ),1292736.812500000000,1389491.692000000300,1222967.584000000000,1250734.077500000100,1256716.896000000200,1250000.000000000000,1311261.719750000200,1267498.493250000100,10241407.275000000000
FS( 21 ),1287012.256250000100,1405381.069000000100,1225834.839999999900,1248046.025000000400,1252893.888000000000,1250000.000000000000,1309380.083000000100,1270813.757999999900,10249361.919250000000
FS( 22 ),1271680.401250000100,1420513.809000000100,1210383.515999999800,1253272.793750000200,1256716.896000000200,1250000.000000000000,1318579.195999999800,1294020.611250000100,10275167.223250002000
FS( 23 ),1264014.473749999900,1401597.884000000300,1213091.480000000000,1253272.793750000200,1261814.240000000000,1250000.000000000000,1320251.762000000100,1294020.611250000100,10258063.244750001000
FS( 24 ),1319517.780000000000,1386465.144000000100,1204649.004000000000,1263576.995000000100,1261814.240000000000,1250000.000000000000,1349103.525500000000,1292547.160250000200,10327673.848750001000
FS( 25 ),1302294.332500000000,1411434.165000000000,1211817.143999999900,1250734.077500000100,1256716.896000000200,1250000.000000000000,1305825.880249999900,1299177.689750000100,10288000.185000001000
FS( 26 ),1271680.401250000100,1367549.219000000000,1180755.203999999900,1244163.282500000000,1223584.160000000100,1250000.000000000000,1284291.592999999900,1254237.434250000200,10076261.294000002000
FS( 27 ),1265955.845000000000,1370575.767000000200,1179321.576000000100,1244163.282500000000,1227407.168000000100,1250000.000000000000,1296835.838000000000,1259394.512750000500,10093653.989249999000
FS( 28 ),1269788.808749999600,1420513.809000000100,1192064.936000000000,1248046.025000000400,1242699.200000000200,1250000.000000000000,1340113.483250000000,1325331.445000000100,10288557.707000000000
FS( 29 ),1254456.953750000100,1426566.905000000000,1227268.468000000100,1250734.077500000100,1242699.200000000200,1250000.000000000000,1350985.162250000100,1323857.994000000400,10326568.760500001000
FS( 30 ),1223843.022500000200,1445482.830000000100,1193498.563999999800,1259694.252500000200,1242699.200000000200,1250000.000000000000,1413915.458000000100,1327173.258750000000,10356306.585749999000
FS( 31 ),1193179.312500000000,1433376.638000000000,1217392.363999999800,1264921.021250000200,1252893.888000000000,1250000.000000000000,1410361.255249999900,1330488.523500000100,10352613.002500001000
FS( 32 ),1189346.348749999900,1495420.872000000000,1214525.108000000000,1262382.305000000200,1237601.856000000100,1250000.000000000000,1401371.213000000000,1386848.024250000200,10437495.727000000000
FS( 33 ),1191287.720000000000,1467425.302999999800,1204649.004000000000,1257155.536250000100,1232504.512000000100,1250000.000000000000,1385063.694500000000,1357010.641500000400,10345096.411249999000
FS( 34 ),1153007.861250000100,1426566.905000000000,1185056.088000000000,1261038.278750000300,1223584.160000000100,1250000.000000000000,1397817.010249999800,1368429.886750000300,10265500.189999999000
FS( 35 ),1154899.453750000100,1426566.905000000000,1165303.880000000100,1262382.305000000200,1232504.512000000100,1250000.000000000000,1394262.807499999900,1403055.985250000400,10288975.848500000000
FS( 36 ),1174064.272500000200,1451535.926000000000,1180755.203999999900,1268803.763750000200,1232504.512000000100,1250000.000000000000,1386945.331249999800,1409686.514750000100,10354295.524250001000
FS( 37 ),1172122.901250000100,1442456.282000000100,1190631.308000000000,1276569.248749999800,1237601.856000000100,1250000.000000000000,1421232.934249999900,1409686.514750000100,10400301.045000002000
FS( 38 ),1162565.381250000100,1467425.302999999800,1203215.375999999900,1280451.991250000200,1252893.888000000000,1250000.000000000000,1421232.934249999900,1409686.514750000100,10447471.388500001000
FS( 39 ),1166398.345000000000,1451535.926000000000,1210383.515999999800,1282990.707500000300,1261814.240000000000,1250000.000000000000,1422905.500250000000,1426262.838499999800,10472291.073250001000
FS( 40 ),1170231.308749999600,1464398.754999999900,1218825.992000000100,1280451.991250000200,1261814.240000000000,1250000.000000000000,1422905.500250000000,1383532.759500000200,10452160.546750002000
FS( 41 ),1158732.417500000000,1498447.419999999900,1222967.584000000000,1282990.707500000300,1266911.584000000000,1250000.000000000000,1421232.934249999900,1426262.838499999800,10527545.485750001000
FS( 42 ),1179788.828750000100,1486341.227999999900,1221533.955999999800,1282990.707500000300,1272008.928000000100,1250000.000000000000,1419351.297499999600,1442839.162250000100,10554854.107999999000
FS( 43 ),1160624.010000000000,1470451.851000000000,1214525.108000000000,1276569.248749999800,1247796.544000000000,1250000.000000000000,1424787.137000000100,1426262.838499999800,10471016.737250000000
FS( 44 ),1174064.272500000200,1445482.830000000100,1213091.480000000000,1282990.707500000300,1247796.544000000000,1250000.000000000000,1424787.137000000100,1451311.505500000400,10489524.476500001000
FS( 45 ),1156840.825000000000,1430350.090000000100,1203215.375999999900,1281796.017500000100,1247796.544000000000,1250000.000000000000,1404925.415749999900,1429578.103250000200,10404502.371500000000
FS( 46 ),1156840.825000000000,1436403.186000000000,1186330.423999999900,1282990.707500000300,1252893.888000000000,1250000.000000000000,1403252.849750000100,1462730.750750000100,10431442.630999999000
FS( 47 ),1166398.345000000000,1436403.186000000000,1180755.203999999900,1286873.450000000200,1252893.888000000000,1250000.000000000000,1421232.934249999900,1525720.781000000200,10520277.788249999000
FS( 48 ),1160624.010000000000,1436403.186000000000,1190631.308000000000,1289561.502500000200,1261814.240000000000,1250000.000000000000,1422905.500250000000,1502513.927750000000,10514453.674500002000
FS( 49 ),1162565.381250000100,1426566.905000000000,1170879.099999999900,1289561.502500000200,1261814.240000000000,1250000.000000000000,1419351.297499999600,1469361.280250000300,10450099.706499999000
FS( 50 ),1153007.861250000100,1423540.357000000100,1151126.892000000000,1284334.733750000100,1261814.240000000000,1250000.000000000000,1403252.849750000100,1444680.975999999800,10371757.909750000000
FS( 51 ),1154899.453750000100,1420513.809000000100,1153994.147999999800,1289561.502500000200,1252893.888000000000,1250000.000000000000,1392381.170750000300,1466046.015500000200,10380289.987500001000
FS( 52 ),1158732.417500000000,1411434.165000000000,1130100.347999999800,1289561.502500000200,1252893.888000000000,1250000.000000000000,1421232.934249999900,1482622.339250000000,10396577.594500000000
FS( 53 ),1151066.490000000000,1417487.260999999900,1137109.196000000000,1295982.961250000200,1256716.896000000200,1250000.000000000000,1403252.849750000100,1525720.781000000200,10437336.434999999000
FS( 54 ),1153007.861250000100,1464398.754999999900,1135675.568000000000,1301209.730000000000,1256716.896000000200,1250000.000000000000,1435658.816000000100,1519090.251500000200,10515757.877749998000
FS( 55 ),1151066.490000000000,1467425.302999999800,1131533.976000000000,1323162.158750000200,1252893.888000000000,1250000.000000000000,1469737.348250000000,1538981.839999999900,10584801.004000001000
FS( 56 ),1151066.490000000000,1495420.872000000000,1137109.196000000000,1327044.901250000100,1252893.888000000000,1250000.000000000000,1448203.061000000000,1558873.428499999900,10620611.836750001000
FS( 57 ),1135734.635000000000,1523416.441000000100,1141410.080000000100,1318084.726250000100,1247796.544000000000,1250000.000000000000,1432104.613249999900,1519090.251500000200,10567637.291000001000
FS( 58 ),1128118.486250000100,1629345.621000000000,1115923.359999999900,1315396.673750000100,1237601.856000000100,1250000.000000000000,1410361.255249999900,1519090.251500000200,10605837.503750000000
FS( 59 ),1118511.187500000000,1658097.826999999800,1107480.884000000100,1315396.673750000100,1232504.512000000100,1250000.000000000000,1408479.618499999900,1489252.868749999900,10579723.571500000000
FS( 60 ),1137676.006250000100,1683066.848000000000,1118790.615999999900,1315396.673750000100,1227407.168000000100,1250000.000000000000,1386945.331249999800,1557031.614749999900,10676314.257999999000
FS( 61 ),1133843.042500000000,1667177.470999999900,1138542.823999999800,1315396.673750000100,1223584.160000000100,1250000.000000000000,1377955.289000000100,1530509.496750000200,10637008.957000000000
FS( 62 ),1193179.312500000000,1679283.662999999900,1151126.892000000000,1315396.673750000100,1227407.168000000100,1250000.000000000000,1395935.373500000000,1563662.144250000100,10775991.227000000000
FS( 63 ),1191287.720000000000,1658097.826999999800,1138542.823999999800,1305092.472500000400,1223584.160000000100,1250000.000000000000,1385063.694500000000,1543770.555750000100,10695439.253749998000
FS( 64 ),1175955.865000000000,1676257.115000000000,1125799.463999999900,1306436.498749999800,1223584.160000000100,1250000.000000000000,1376073.652249999800,1588342.448500000200,10722449.203499999000
FS( 65 ),1179788.828750000100,1676257.115000000000,1130100.347999999800,1306436.498749999800,1223584.160000000100,1250000.000000000000,1388826.967999999900,1590184.262250000100,10745178.180750001000
FS( 66 ),1166398.345000000000,1686093.395999999900,1134241.939999999900,1308975.215000000100,1237601.856000000100,1250000.000000000000,1399489.576249999900,1604918.772249999900,10787719.100500001000
FS( 67 ),1162565.381250000100,1661124.375000000000,1125799.463999999900,1321967.468750000200,1227407.168000000100,1250000.000000000000,1388826.967999999900,1594972.978000000100,10732663.803000001000
FS( 68 ),1141508.970000000000,1648261.545999999900,1118790.615999999900,1315396.673750000100,1218486.816000000100,1250000.000000000000,1377955.289000000100,1606760.586000000100,10677160.496750001000
FS( 69 ),1147233.526250000100,1661124.375000000000,1130100.347999999800,1320623.442500000100,1223584.160000000100,1250000.000000000000,1376073.652249999800,1557031.614749999900,10665771.118750000000
FS( 70 ),1162565.381250000100,1701226.135999999900,1131533.976000000000,1323162.158750000200,1232504.512000000100,1250000.000000000000,1404925.415749999900,1581711.919000000500,10787629.498750001000
FS( 71 ),1187454.756250000100,1704252.684000000100,1145551.672000000000,1328388.927500000200,1232504.512000000100,1250000.000000000000,1403252.849750000100,1594972.978000000100,10846378.379500002000
FS( 72 ),1200845.240000000000,1670204.019000000100,1182188.831999999900,1329732.953750000100,1232504.512000000100,1250000.000000000000,1390499.534000000000,1704376.714750000000,10960351.805500001000
FS( 73 ),1193179.312500000000,1679283.662999999900,1186330.423999999900,1325850.211250000200,1252893.888000000000,1250000.000000000000,1381509.491749999800,1590184.262250000100,10859231.252750000000
FS( 74 ),1231459.171249999900,1686093.395999999900,1176613.612000000000,1337498.438750000000,1242699.200000000200,1250000.000000000000,1395935.373500000000,1573607.938499999900,10893907.130000001000
FS( 75 ),1220010.058749999600,1626319.073000000100,1165303.880000000100,1334810.386250000000,1252893.888000000000,1250000.000000000000,1388826.967999999900,1517248.437750000500,10755412.691750001000
FS( 76 ),1223843.022500000200,1601350.051999999900,1179321.576000000100,1338693.128750000400,1256716.896000000200,1250000.000000000000,1388826.967999999900,1533824.761500000300,10772576.404750003000
FS( 77 ),1223843.022500000200,1573354.483000000200,1161002.996000000000,1334810.386250000000,1247796.544000000000,1250000.000000000000,1392381.170750000300,1537140.026250000100,10720328.628750000000
FS( 78 ),1198953.647500000200,1592270.408000000100,1179321.576000000100,1334810.386250000000,1252893.888000000000,1250000.000000000000,1379836.925749999900,1576923.203250000000,10765010.034750002000
FS( 79 ),1204678.203750000100,1626319.073000000100,1186330.423999999900,1334810.386250000000,1266911.584000000000,1250000.000000000000,1394262.807499999900,1469361.280250000300,10732673.758749999000
FS( 80 ),1197012.276250000100,1598323.504000000000,1193498.563999999800,1324506.185000000300,1256716.896000000200,1250000.000000000000,1383391.128500000100,1512459.722000000100,10715908.275750000000
FS( 81 ),1193179.312500000000,1579407.578999999900,1215958.735999999800,1332271.670000000200,1261814.240000000000,1250000.000000000000,1394262.807499999900,1563662.144250000100,10790556.489249999000
FS( 82 ),1208511.167500000000,1654314.642000000200,1245587.048000000000,1325850.211250000200,1266911.584000000000,1250000.000000000000,1397817.010249999800,1547085.820499999900,10896077.483500000000
FS( 83 ),1198953.647500000200,1648261.545999999900,1239852.535999999800,1325850.211250000200,1266911.584000000000,1250000.000000000000,1388826.967999999900,1515774.986750000400,10834431.479500001000
FS( 84 ),1198953.647500000200,1661124.375000000000,1235710.943999999900,1329732.953750000100,1272008.928000000100,1250000.000000000000,1381509.491749999800,1492568.133500000000,10821608.473500000000
FS( 85 ),1204678.203750000100,1686093.395999999900,1242719.791999999900,1334810.386250000000,1277106.272000000100,1250000.000000000000,1395935.373500000000,1492568.133500000000,10883911.557000000000
FS( 86 ),1185513.385000000000,1689119.944000000100,1228702.095999999900,1336154.412500000600,1277106.272000000100,1250000.000000000000,1385063.694500000000,1545612.369500000300,10897272.173500000000
FS( 87 ),1193179.312500000000,1689119.944000000100,1231410.059999999800,1328388.927500000200,1277106.272000000100,1250000.000000000000,1388826.967999999900,1515774.986750000400,10873806.470750000000
FS( 88 ),1170231.308749999600,1679283.662999999900,1217392.363999999800,1308975.215000000100,1261814.240000000000,1250000.000000000000,1340113.483250000000,1482622.339250000000,10710432.613250000000
FS( 89 ),1160624.010000000000,1785969.480000000000,1239852.535999999800,1316740.700000000200,1280929.280000000000,1250000.000000000000,1327569.238249999900,1500672.114000000100,10862357.358250000000
FS( 90 ),1168289.937500000000,1757973.910999999800,1235710.943999999900,1310319.241250000200,1277106.272000000100,1250000.000000000000,1331123.441000000100,1472676.544999999900,10803200.291749999000
FS( 91 ),1183621.792500000000,1736031.438000000100,1228702.095999999900,1312857.957500000300,1277106.272000000100,1250000.000000000000,1347221.888750000200,1442839.162250000100,10778380.607000001000
FS( 92 ),1175955.865000000000,1748137.629999999900,1229976.431999999800,1315396.673750000100,1286026.624000000100,1250000.000000000000,1356421.001750000100,1399740.720500000100,10761654.947000001000
FS( 93 ),1175955.865000000000,1776133.199000000000,1239852.535999999800,1315396.673750000100,1296221.312000000200,1250000.000000000000,1349103.525500000000,1432893.368000000200,10835556.479250001000
FS( 94 ),1191287.720000000000,1767053.554999999900,1241286.163999999900,1325850.211250000200,1334451.392000000200,1250000.000000000000,1367083.609999999900,1471203.094000000500,10948215.746250000000
FS( 95 ),1195120.683749999600,1767053.554999999900,1245587.048000000000,1333615.696250000300,1339548.736000000000,1250000.000000000000,1372519.449500000100,1485937.604000000300,10989382.772500001000
FS( 96 ),1212344.131250000100,1767053.554999999900,1269480.847999999800,1332271.670000000200,1368858.464000000200,1250000.000000000000,1372519.449500000100,1485937.604000000300,11058465.721750000000
FS( 97 ),1197012.276250000100,1733004.890000000100,1270914.476000000000,1332271.670000000200,1368858.464000000200,1250000.000000000000,1361647.770500000100,1472676.544999999900,10986386.091750002000
FS( 98 ),1239125.098749999900,1698199.588000000000,1234277.315999999900,1333615.696250000300,1353566.432000000000,1250000.000000000000,1347221.888750000200,1444680.975999999800,10900686.995750001000
FS( 99 ),1264014.473749999900,1748137.629999999900,1235710.943999999900,1328388.927500000200,1349743.424000000100,1250000.000000000000,1350985.162250000100,1444680.975999999800,10971661.537500001000
FS( 100 ),1256348.546249999900,1748137.629999999900,1228702.095999999900,1328388.927500000200,1358663.776000000100,1250000.000000000000,1358093.567749999900,1452784.956500000300,10981119.500000000000
FS( 101 ),1277404.957500000000,1779159.747000000000,1229976.431999999800,1332271.670000000200,1363761.120000000100,1250000.000000000000,1368965.246749999900,1436208.632750000100,11037747.806000002000
FS( 102 ),1300402.740000000000,1764027.007000000200,1231410.059999999800,1333615.696250000300,1358663.776000000100,1250000.000000000000,1363529.407250000200,1442839.162250000100,11044487.848749999000
FS( 103 ),1292736.812500000000,1742084.534000000200,1248295.011999999900,1324506.185000000300,1339548.736000000000,1250000.000000000000,1341995.120000000100,1482622.339250000000,11021788.738750001000
FS( 104 ),1281237.921249999900,1754190.726000000000,1252595.895999999900,1327044.901250000100,1344646.080000000100,1250000.000000000000,1343667.685999999800,1480780.525500000000,11034163.736000000000
FS( 105 ),1281237.921249999900,1698199.588000000000,1286365.800000000000,1329732.953750000100,1344646.080000000100,1250000.000000000000,1352657.728249999900,1507302.643500000200,11050142.714750001000
FS( 106 ),1354014.453750000100,1579407.578999999900,1276489.696000000000,1329732.953750000100,1353566.432000000000,1250000.000000000000,1340113.483250000000,1578396.654250000100,11061721.252000000000
FS( 107 ),1350181.490000000000,1617239.429000000000,1325710.923999999900,1324506.185000000300,1382876.160000000100,1250000.000000000000,1347221.888750000200,1581711.919000000500,11179447.995750001000
FS( 108 ),1327183.707500000300,1592270.408000000100,1325710.923999999900,1320623.442500000100,1358663.776000000100,1250000.000000000000,1349103.525500000000,1570292.673750000100,11093848.457249999000
FS( 109 ),1311901.631250000100,1583190.764000000000,1307551.635999999900,1320623.442500000100,1358663.776000000100,1250000.000000000000,1327569.238249999900,1557031.614749999900,11016532.102750000000
FS( 110 ),1296569.776250000100,1592270.408000000100,1365215.339999999900,1320623.442500000100,1363761.120000000100,1250000.000000000000,1341995.120000000100,1624810.360750000000,11155245.567499999000
FS( 111 ),1306127.296249999900,1642208.450000000000,1403286.127999999800,1328388.927500000200,1373955.808000000000,1250000.000000000000,1349103.525500000000,1611549.301750000100,11264619.437000001000
FS( 112 ),1285070.885000000000,1604376.599999999900,1391976.395999999900,1321967.468750000200,1379053.152000000200,1250000.000000000000,1354539.365000000000,1581711.919000000500,11168695.785750000000
FS( 113 ),1288903.848749999900,1592270.408000000100,1390542.767999999900,1310319.241250000200,1368858.464000000200,1250000.000000000000,1333005.077749999900,1545612.369500000300,11079512.177250000000
FS( 114 ),1273571.993749999900,1567301.386999999900,1425746.300000000000,1318084.726250000100,1368858.464000000200,1250000.000000000000,1331123.441000000100,1563662.144250000100,11098348.456249999000
FS( 115 ),1275513.365000000000,1570327.934999999800,1510171.059999999800,1315396.673750000100,1353566.432000000000,1250000.000000000000,1320251.762000000100,1573607.938499999900,11168835.166250000000
