代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11186149.487250000000
真實報酬,1186149.487250000200

夏普值報酬,0.109914948725
夏普值風險,0.039015634400
夏普值,2.817202652638

預期報酬,11149.620978737532
風險,91875.496443247335
起點值,0.121355763075
找到最佳解世代,3993
找到最佳解實驗#,1
找到最佳解次數,32

投資組合檔數,7
1301(3),2303(13),2317(16),2801(28),2882(31),3481(43),4904(44),
Stock#,1301(3),2303(13),2317(16),2801(28),2882(31),3481(43),4904(44),
張數,19,127,18,95,37,131,20,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,14288.515250000000,5415.889750000233,55196.726499999997,3443.082499999767,3893.723750000000,7819.309750000000,23772.009999999998,
FS( 1 ),1426558.515249999900,1426545.889750000100,1426616.726500000100,1426543.082500000000,1426543.723749999900,1426549.309750000000,1426572.010000000000,9985932.257499998400
FS( 2 ),1432982.890249999900,1420257.389500000300,1425745.094500000100,1441999.178749999700,1434614.644750000200,1413750.413249999800,1422156.655000000300,9991509.265999998900
FS( 3 ),1425794.838750000100,1420257.389500000300,1427537.129500000000,1437270.197499999800,1422090.311249999800,1413750.413249999800,1435497.360000000100,9982200.639749998200
FS( 4 ),1436576.916000000000,1420257.389500000300,1437751.729000000100,1428758.031249999800,1427247.389749999900,1433313.462000000100,1433506.210000000000,10017414.127500001000
FS( 5 ),1443764.967500000000,1408877.967250000200,1434346.862500000000,1420245.865000000000,1423932.124999999800,1394187.364500000100,1425939.840000000100,9951297.991750000000
FS( 6 ),1449061.426499999800,1426579.290750000400,1453342.433500000000,1437270.197499999800,1418406.683750000100,1368103.299500000000,1448838.064999999700,10001604.396499999000
FS( 7 ),1450953.019000000100,1415199.868500000300,1461944.201500000200,1437270.197499999800,1441613.537000000000,1381145.331999999700,1445054.879999999900,10033184.035500001000
FS( 8 ),1441873.375000000000,1408877.967250000200,1465349.068000000200,1424029.049999999600,1416933.232750000000,1368103.299500000000,1445054.879999999900,9970223.872499998700
FS( 9 ),1447358.993249999800,1426579.290750000400,1455134.468500000200,1415516.883749999800,1408092.526749999500,1368103.299500000000,1443063.730000000000,9963852.192500000800
FS( 10 ),1452655.452250000100,1415199.868500000300,1467141.103000000100,1428758.031249999800,1416933.232750000000,1361582.283250000100,1446846.915000000000,9989119.885999999900
FS( 11 ),1461735.096249999700,1426579.290750000400,1470545.969500000100,1433487.012499999500,1436088.095750000100,1368103.299500000000,1446846.915000000000,10043388.679249998000
FS( 12 ),1492189.735499999700,1432901.192000000300,1475742.871000000000,1428758.031249999800,1439771.723249999800,1381145.331999999700,1446846.915000000000,10097358.800000001000
FS( 13 ),1542695.255249999900,1426579.290750000400,1494738.442000000000,1433487.012499999500,1434614.644750000200,1381145.331999999700,1437289.395000000000,10150552.372249998000
FS( 14 ),1537209.636999999900,1432901.192000000300,1508537.111500000100,1433487.012499999500,1429089.203499999800,1420271.429500000100,1443063.730000000000,10204562.316000000000
FS( 15 ),1526427.559749999800,1426579.290750000400,1506745.076500000200,1424029.049999999600,1427247.389749999900,1433313.462000000100,1437289.395000000000,10181634.223749999000
FS( 16 ),1542695.255249999900,1432901.192000000300,1532729.584000000300,1437270.197499999800,1432772.831000000000,1459397.527000000200,1443063.730000000000,10280833.316750001000
FS( 17 ),1542695.255249999900,1415199.868500000300,1530937.549000000100,1428758.031249999800,1436088.095750000100,1465918.543250000100,1446846.915000000000,10266447.258000001000
FS( 18 ),1540803.662750000100,1408877.967250000200,1527532.682499999900,1424029.049999999600,1441613.537000000000,1439834.478250000200,1441271.695000000100,10223966.072750000000
