代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12518265.079000000000
真實報酬,2518265.078999999900

夏普值報酬,0.243126507900
夏普值風險,0.067032179302
夏普值,3.627011838645

預期報酬,21129.908129323438
風險,152900.522317371940
起點值,0.138193825692
找到最佳解世代,4008
找到最佳解實驗#,1
找到最佳解次數,41

投資組合檔數,6
2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
Stock#,2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
張數,7,91,6,126,29,35,
FS( 21 ),1794272.897250000200,1488428.941000000100,1674663.306999999600,1732260.718000000100,1682121.093250000200,2175126.286249999900,10546877.242750000000
FS( 22 ),1767511.841250000100,1495676.727000000000,1641928.801000000000,1697136.831999999700,1741596.743750000100,2175126.286249999900,10518981.231249999000
FS( 23 ),1831835.942000000300,1511078.272249999900,1652860.214500000200,1778674.424500000000,1739287.009750000000,2192897.299999999800,10706637.162999999000
FS( 24 ),1842498.550249999900,1537351.496499999900,1652860.214500000200,1778674.424500000000,1724273.738750000000,2157355.272500000400,10693017.697000001000
FS( 25 ),1847864.699500000100,1533727.603500000000,1688342.507499999800,1778674.424500000000,1691937.462749999900,2157355.272500000400,10697905.970249999000
FS( 26 ),1914906.720000000200,1500206.593249999700,1658296.053999999800,1732260.718000000100,1696845.647500000200,2171990.224999999600,10674509.957750000000
FS( 27 ),1952400.074500000100,1500206.593249999700,1625561.547999999700,1720970.897500000200,1704352.283000000100,2148295.540000000000,10651790.936250001000
FS( 28 ),1955117.994250000200,1507454.379250000000,1601010.668499999900,1656995.247999999900,1716767.103250000200,2094982.498750000300,10532331.892000001000
FS( 29 ),1906822.651000000100,1525573.844250000100,1601010.668499999900,1685847.011500000000,1704352.283000000100,2104042.231249999700,10527652.689500000000
FS( 30 ),1893442.123000000100,1518326.058250000000,1614630.134499999900,1668285.068500000100,1687029.277999999900,2109965.902499999900,10491682.564750001000
FS( 31 ),1880061.595000000200,1503830.486249999600,1598262.881499999900,1656995.247999999900,1679522.642500000100,2198820.971249999900,10517497.824500000000
FS( 32 ),1877343.675249999900,1514702.165249999800,1527298.295499999800,1662012.946000000000,1734378.825000000200,2142371.868749999400,10458111.775750000000
FS( 33 ),1847864.699500000100,1507454.379250000000,1510931.042500000000,1644451.003000000000,1716767.103250000200,2094982.498750000300,10322454.726250000000
FS( 34 ),1853230.848750000100,1507454.379250000000,1478196.536500000200,1644451.003000000000,1714457.369250000500,2098118.559999999600,10295912.696750000000
FS( 35 ),1837132.401000000300,1518326.058250000000,1505495.202999999700,1650723.125500000100,1729181.923500000000,2038881.847499999700,10279744.558750000000
