代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12765256.897750000000
真實報酬,2765256.897749999500

夏普值報酬,0.267825689775
夏普值風險,0.070925027263
夏普值,3.776180286560

預期報酬,21352.031206186581
風險,125232.954936599690
起點值,0.170498501908
找到最佳解世代,3812
找到最佳解實驗#,1
找到最佳解次數,44

投資組合檔數,9
1301(3),1303(4),1722(7),2105(9),2308(12),2347(18),2412(24),2498(27),2883(32),
Stock#,1301(3),1303(4),1722(7),2105(9),2308(12),2347(18),2412(24),2498(27),2883(32),
張數,22,25,16,34,12,25,20,2,166,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,20779.488499999999,35079.837500000001,28450.403999999999,450.561000000000,60936.631000000001,13298.843750000000,14550.625000000000,128212.362500000000,3975.577000000000,
FS( 1 ),1109559.488500000000,1109579.837499999900,1109570.404000000100,1109530.561000000000,1109616.631000000100,1109548.843750000000,1109550.625000000000,1109712.362500000000,1109535.577000000000,9986205.330250000600
FS( 2 ),1114378.803000000100,1114034.243749999900,1142857.236000000000,1110038.809999999800,1095777.108999999900,1141285.318750000100,1109484.010000000000,1063654.632499999800,1107948.782999999800,9999459.946000000500
FS( 3 ),1120730.571499999800,1125234.462499999900,1142857.236000000000,1186877.288499999600,1100316.931000000100,1149996.600000000100,1112669.850000000100,1065247.552500000000,1109601.437500000000,10113532.929499999000
FS( 4 ),1112626.590999999800,1116025.393749999800,1180928.024000000000,1190262.243499999900,1100316.931000000100,1132574.037500000100,1111076.929999999900,1094139.139000000000,1112906.746499999900,10150857.036250001000
FS( 5 ),1120730.571499999800,1132701.274999999900,1174874.928000000100,1188569.766000000100,1068179.770000000000,1139791.956250000000,1112669.850000000100,1095732.059000000100,1117864.710000000200,10151115.885750001000
FS( 6 ),1127082.340000000100,1151368.306249999900,1186821.828000000000,1180107.378500000100,1077378.882999999900,1139791.956250000000,1103112.330000000100,1090933.387500000000,1139349.218500000000,10195946.627999999000
FS( 7 ),1128615.525500000000,1145892.643749999800,1197494.392000000200,1203802.063499999700,1086577.995999999800,1147258.768750000000,1090368.970000000000,1094139.139000000000,1124475.328000000200,10218625.826499999000
FS( 8 ),1133434.108499999900,1155101.712499999900,1165476.700000000200,1197032.153500000000,1086577.995999999800,1125107.225000000100,1091961.889999999900,1073271.886999999900,1096380.201500000000,10124344.873999998000
FS( 9 ),1140004.903499999800,1138425.831249999800,1152096.172000000300,1168260.036000000100,1072719.591999999900,1119382.668750000000,1094550.385000000000,1065247.552500000000,1106296.128500000100,10056984.269500000000
FS( 10 ),1146356.672000000000,1155101.712499999900,1179972.272000000100,1164875.081000000000,1072719.591999999900,1114653.687500000000,1097935.339999999600,1074884.718500000000,1109601.437500000000,10116101.513000000000
FS( 11 ),1146356.672000000000,1155101.712499999900,1182361.652000000000,1195339.675999999700,1072719.591999999900,1127845.056249999900,1101320.294999999900,1127829.396999999900,1109601.437500000000,10218476.490249999000
FS( 12 ),1140004.903499999800,1153359.456249999800,1188414.747999999900,1178414.900999999600,1063520.479000000100,1175881.550000000000,1113267.195000000100,1108574.976499999900,1102990.819500000000,10224430.028749999000
FS( 13 ),1138252.691500000000,1153359.456249999800,1228078.456000000200,1150996.765500000000,1104976.222000000100,1155970.050000000000,1120037.105000000000,1110187.808000000000,1101338.165000000000,10263197.719250001000
FS( 14 ),1159060.209000000000,1162568.524999999900,1228078.456000000200,1139149.423000000000,1146312.495999999800,1149498.812500000000,1114860.115000000000,1105369.225000000100,1084811.620000000100,10289709.881499998000
FS( 15 ),1147889.857500000200,1162568.524999999900,1252290.840000000100,1147611.810499999900,1132573.561000000000,1154476.687500000000,1113267.195000000100,1121417.894000000100,1078201.002000000100,10310298.372500001000
FS( 16 ),1154241.625999999900,1182977.812500000000,1252290.840000000100,1150996.765500000000,1141772.673999999900,1152734.431249999900,1113267.195000000100,1161519.655000000300,1093074.892500000100,10402876.891749999000
FS( 17 ),1147889.857500000200,1184968.962499999900,1246237.743999999900,1152689.243000000000,1141772.673999999900,1162690.181249999900,1104705.250000000000,1155108.152000000000,1091422.237999999900,10387485.302250000000
FS( 18 ),1125549.154499999700,1155101.712499999900,1199246.604000000100,1137456.945500000400,1091117.818000000000,1129587.312500000000,1099727.375000000000,1150289.568999999900,1053411.184500000000,10141488.675500000000
