代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11374217.669000000000
真實報酬,1374217.668999999800

夏普值報酬,0.128721766900
夏普值風險,0.037571510658
夏普值,3.426047147068

預期報酬,11324.374973256770
風險,68717.595952991367
起點值,0.164795854922
找到最佳解世代,3306
找到最佳解實驗#,12
找到最佳解次數,13

投資組合檔數,10
2303(13),2317(16),2382(21),2408(23),2885(34),2892(39),3008(41),3481(43),4938(45),5880(46),
Stock#,2303(13),2317(16),2382(21),2408(23),2885(34),2892(39),3008(41),3481(43),4938(45),5880(46),
張數,91,12,17,22,88,64,0,91,13,76,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,2130.058750000117,47404.483000000000,41025.405749999998,30840.913499999882,11233.012000000001,5945.488000000000,1000000.000000000000,8509.136000000000,53813.602999999886,12875.349000000000,
FS( 1 ),998580.058749999970,998644.483000000010,998635.405750000030,998620.913500000020,998593.011999999990,998585.488000000010,1000000.000000000000,998589.136000000060,998653.603000000000,998595.349000000050,9987497.448999999100
FS( 2 ),989640.901250000110,986430.822999999860,994397.981500000110,983606.188499999930,989843.413999999990,1000564.736000000000,1000000.000000000000,980618.433250000120,978424.016999999880,994233.538000000060,9897760.032500000700
FS( 3 ),981487.142000000110,981771.532000000010,991182.274250000020,980320.790999999970,981958.459999999960,1000564.736000000000,1000000.000000000000,998737.898250000090,969881.983499999860,987423.805000000170,9873328.622000001400
FS( 4 ),998700.633750000040,993240.555999999980,989489.796749999980,973969.022499999960,989843.413999999990,1006299.248000000000,1000000.000000000000,998737.898250000090,988260.297999999840,994233.538000000060,9932774.405249999800
FS( 5 ),994170.767499999960,1002439.669000000000,997613.688749999970,973969.022499999960,985462.883999999960,1012033.760000000000,1000000.000000000000,1030446.962000000100,982177.334749999920,994233.538000000060,9972547.626499999300
FS( 6 ),998700.633750000040,1022032.585000000000,997613.688749999970,973969.022499999960,1010869.958000000000,1026688.624000000100,1000000.000000000000,1034976.828250000100,993178.438499999930,1011636.188999999900,10069665.967749998000
FS( 7 ),994170.767499999960,1024302.496000000000,1002521.873500000000,995214.592999999990,1028392.078000000000,1026688.624000000100,1000000.000000000000,1021387.229500000000,998096.578999999790,1015419.374000000100,10106193.614499999000
