代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12246106.620250002000
真實報酬,2246106.620250001500

夏普值報酬,0.215910662025
夏普值風險,0.063593941462
夏普值,3.395145151562

預期報酬,16171.902782083507
風險,148360.174894603290
起點值,0.109004338891
找到最佳解世代,3597
找到最佳解實驗#,1
找到最佳解次數,43

投資組合檔數,2
2412(24),3045(40),
Stock#,2412(24),3045(40),
張數,101,118,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,4501.544250000000,35756.018500000930,
FS( 1 ),4992891.544250000300,4992936.018500000200,9985827.562750000500
FS( 2 ),4946685.180499999800,5005069.073500000900,9951754.254000000700
FS( 3 ),4866242.720500000800,5005069.073500000900,9871311.794000001600
FS( 4 ),4906463.950500000300,4979223.946500000500,9885687.896999999900
FS( 5 ),4890375.458500000600,4954553.598000001200,9844929.056500002700
FS( 6 ),4946685.180499999800,4996845.624000000800,9943530.804500000600
FS( 7 ),4914508.196499999600,4962777.047500001300,9877285.244000000900
FS( 8 ),4962773.672500000300,4962777.047500001300,9925550.720000002500
FS( 9 ),4978862.164500000000,5005069.073500000900,9983931.238000001800
FS( 10 ),4954729.426500000100,4996845.624000000800,9951575.050500001800
FS( 11 ),4970817.918500000600,5013292.523000001000,9984110.441500000700
FS( 12 ),4970817.918500000600,5029739.422000000300,10000557.340500001000
FS( 13 ),4970817.918500000600,5037962.871500001300,10008780.790000003000
FS( 14 ),4970817.918500000600,5013292.523000001000,9984110.441500000700
FS( 15 ),4970817.918500000600,5029739.422000000300,10000557.340500001000
FS( 16 ),4954729.426500000100,5046186.321000001400,10000915.747500002000
FS( 17 ),4922552.442499999900,5054409.770500001500,9976962.213000001400
FS( 18 ),4994950.656500000500,5037962.871500001300,10032913.528000001000
FS( 19 ),4938640.934500000400,5029739.422000000300,9968380.356499999800
FS( 20 ),4930596.688500000200,5054409.770500001500,9985006.459000002600
FS( 21 ),4978862.164500000000,5095527.018000001100,10074389.182500001000
FS( 22 ),4962773.672500000300,5046186.321000001400,10008959.993500002000
FS( 23 ),4946685.180499999800,5046186.321000001400,9992871.501500001200
FS( 24 ),4962773.672500000300,5111973.917000001300,10074747.589500003000
FS( 25 ),4970817.918500000600,5144867.715000001700,10115685.633500002000
FS( 26 ),4970817.918500000600,5169538.063500001100,10140355.982000001000
FS( 27 ),4954729.426500000100,5177761.513000002100,10132490.939500002000
FS( 28 ),4970817.918500000600,5144867.715000001700,10115685.633500002000
FS( 29 ),5019083.394499999500,5211830.089500000700,10230913.484000001000
FS( 30 ),5051260.378499999600,5343405.281500001400,10394665.660000000000
FS( 31 ),5067348.870500000200,5326958.382500001200,10394307.253000002000
