代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11383188.325000001000
真實報酬,1383188.325000001100

夏普值報酬,0.129618832500
夏普值風險,0.048914411060
夏普值,2.649910929926

預期報酬,13839.176629847312
風險,134278.909941663380
起點值,0.103062920572
找到最佳解世代,3628
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,3
2887(36),2892(39),3045(42),
Stock#,2887(36),2892(39),3045(42),
張數,355,250,35,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,5798.010000000466,8602.000000000000,21820.809999999998,
FS( 1 ),3328598.009999999800,3328602.000000000000,3328620.810000000100,9985821.820000000300
FS( 2 ),3253811.668750000200,3274088.000000000000,3251266.995000000100,9779167.663750000300
FS( 3 ),3285620.289999999600,3241731.812500000000,3298307.913750000300,9825661.016249999400
FS( 4 ),3299757.455000000500,3251687.562500000000,3298307.913750000300,9849753.931250000400
FS( 5 ),3285620.289999999600,3264132.250000000000,3361377.589999999900,9911131.129999999000
FS( 6 ),3342168.950000000200,3274088.000000000000,3345697.283749999900,9961955.233750000600
FS( 7 ),3373977.571249999600,3326355.687500000000,3345697.283749999900,10046031.542499999000
FS( 8 ),3373977.571249999600,3293999.500000000000,3330016.977500000000,9997995.048749998200
FS( 9 ),3416389.066250000100,3313911.000000000000,3377057.896249999800,10107358.962500000000
FS( 10 ),3444663.396250000200,3313911.000000000000,3377057.896249999800,10135633.292500000000
FS( 11 ),3504746.347500000100,3284043.750000000000,3377057.896249999800,10165848.993750000000
FS( 12 ),3458800.561250000300,3264132.250000000000,3361377.589999999900,10084311.401250001000
FS( 13 ),3444663.396250000200,3293999.500000000000,3361377.589999999900,10100041.486250000000
FS( 14 ),3490609.182499999600,3274088.000000000000,3361377.589999999900,10126075.772499999000
FS( 15 ),3547157.842500000300,3293999.500000000000,3361377.589999999900,10202535.932500001000
FS( 16 ),3578966.463749999600,3303955.250000000000,3377057.896249999800,10259980.609999999000
FS( 17 ),3593103.628750000100,3303955.250000000000,3377057.896249999800,10274117.775000000000
FS( 18 ),3476472.017500000500,3264132.250000000000,3361377.589999999900,10101982.857500000000
FS( 19 ),3578966.463749999600,3293999.500000000000,3377057.896249999800,10250024.859999999000
FS( 20 ),3518883.512500000200,3388579.125000000000,3408766.960000000000,10316230.597500000000
FS( 21 ),3504746.347500000100,3378623.375000000000,3408766.960000000000,10292137.682500001000
FS( 22 ),3458800.561250000300,3356222.937500000000,3377057.896249999800,10192082.395000000000
FS( 23 ),3504746.347500000100,3336311.437500000000,3393086.653750000100,10234145.438750001000
FS( 24 ),3458800.561250000300,3313911.000000000000,3424447.266249999900,10197159.827500001000
FS( 25 ),3518883.512500000200,3326355.687500000000,3503197.248750000300,10348437.448750000000
FS( 26 ),3476472.017500000500,3303955.250000000000,3518877.555000000200,10299305.822500000000
FS( 27 ),3476472.017500000500,3313911.000000000000,3518877.555000000200,10309261.572500000000
FS( 28 ),3388114.736250000500,3313911.000000000000,3503197.248750000300,10205223.984999999000
FS( 29 ),3388114.736250000500,3326355.687500000000,3503197.248750000300,10217668.672499999000
FS( 30 ),3416389.066250000100,3336311.437500000000,3534557.861250000100,10287259.365000000000
FS( 31 ),3402251.901249999600,3366178.687500000000,3550586.618749999900,10319018.207500000000
FS( 32 ),3430526.231250000200,3336311.437500000000,3503197.248750000300,10270035.917500000000
FS( 33 ),3444663.396250000200,3336311.437500000000,3518877.555000000200,10299853.388750000000
FS( 34 ),3518883.512500000200,3346267.187500000000,3503197.248750000300,10368348.948750000000
FS( 35 ),3504746.347500000100,3356222.937500000000,3518877.555000000200,10379847.840000000000
FS( 36 ),3518883.512500000200,3366178.687500000000,3534557.861250000100,10419621.061250001000
FS( 37 ),3490609.182499999600,3366178.687500000000,3487516.942500000400,10344305.812500000000
FS( 38 ),3547157.842500000300,3398534.875000000000,3518877.555000000200,10464571.272500001000
FS( 39 ),3578966.463749999600,3428402.125000000000,3534557.861250000100,10541927.449999999000
FS( 40 ),3607240.793750000200,3440846.812500000000,3534557.861250000100,10582646.467500001000
FS( 41 ),3621377.958750000200,3470714.062500000000,3503197.248750000300,10595290.270000000000
FS( 42 ),3607240.793750000200,3460758.312500000000,3503197.248750000300,10571197.355000000000
FS( 43 ),3621377.958750000200,3470714.062500000000,3550586.618749999900,10642679.640000001000
FS( 44 ),3607240.793750000200,3460758.312500000000,3534557.861250000100,10602557.967500001000
FS( 45 ),3621377.958750000200,3460758.312500000000,3550586.618749999900,10632723.890000001000
FS( 46 ),3649652.288750000300,3513026.000000000000,3581947.231250000700,10744626.520000001000
FS( 47 ),3663789.453750000300,3542893.250000000000,3613307.843750000000,10819991.547499999000
FS( 48 ),3578966.463749999600,3480669.812500000000,3597627.537500000600,10657264.813749999000
FS( 49 ),3635515.123750000300,3503070.250000000000,3629336.601250000300,10767922.975000001000
FS( 50 ),3621377.958750000200,3503070.250000000000,3660697.213750000100,10785146.422499999000
FS( 51 ),3578966.463749999600,3470714.062500000000,3597627.537500000600,10647309.063749999000
FS( 52 ),3621377.958750000200,3503070.250000000000,3629336.601250000300,10753785.810000001000
FS( 53 ),3621377.958750000200,3503070.250000000000,3645016.907500000200,10769466.116250001000
FS( 54 ),3649652.288750000300,3542893.250000000000,3613307.843750000000,10805854.382500000000
FS( 55 ),3663789.453750000300,3542893.250000000000,3613307.843750000000,10819991.547499999000
FS( 56 ),3649652.288750000300,3532937.500000000000,3613307.843750000000,10795898.632500000000
FS( 57 ),3561295.007500000300,3450802.562500000000,3566266.924999999800,10578365.495000001000
FS( 58 ),3578966.463749999600,3470714.062500000000,3581947.231250000700,10631628.757500000000
FS( 59 ),3578966.463749999600,3470714.062500000000,3581947.231250000700,10631628.757500000000
FS( 60 ),3621377.958750000200,3513026.000000000000,3645016.907500000200,10779421.866250001000
FS( 61 ),3635515.123750000300,3522981.750000000000,3747461.575000000700,10905959.448750000000
FS( 62 ),3649652.288750000300,3522981.750000000000,3747461.575000000700,10920096.613750001000
FS( 63 ),3635515.123750000300,3522981.750000000000,3697981.497500000100,10856479.371250000000
FS( 64 ),3649652.288750000300,3532937.500000000000,3681255.837499999900,10863846.626250001000
FS( 65 ),3593103.628750000100,3503070.250000000000,3681255.837499999900,10777430.716250001000
FS( 66 ),3593103.628750000100,3490625.562500000000,3747461.575000000700,10831191.766250001000
FS( 67 ),3681460.910000000100,3542893.250000000000,3797290.103750000200,11021645.263750000000
FS( 68 ),3681460.910000000100,3542893.250000000000,3764187.234999999900,10988542.395000000000
FS( 69 ),3738009.570000000300,3575249.437500000000,3797290.103750000200,11110550.111250000000
FS( 70 ),3752146.735000000300,3575249.437500000000,3714358.706249999800,11041755.878750000000
FS( 71 ),3766283.900000000800,3605116.687500000000,3747461.575000000700,11118863.162500001000
FS( 72 ),3783955.356250000200,3637472.875000000000,3797290.103750000200,11218719.335000001000
FS( 73 ),3798092.521250000200,3647428.625000000000,3780912.894999999600,11226435.041250000000
FS( 74 ),3783955.356250000200,3647428.625000000000,3764187.234999999900,11195572.216250001000
FS( 75 ),3798092.521250000200,3647428.625000000000,3780912.894999999600,11226435.041250000000
FS( 76 ),3783955.356250000200,3637472.875000000000,3697981.497500000100,11119410.728750000000
FS( 77 ),3783955.356250000200,3647428.625000000000,3664878.628750000100,11096263.609999999000
FS( 78 ),3783955.356250000200,3647428.625000000000,3664878.628750000100,11096263.609999999000
FS( 79 ),3798092.521250000200,3647428.625000000000,3697981.497500000100,11143503.643750001000
FS( 80 ),3798092.521250000200,3667340.125000000000,3731084.366250000000,11196518.012499999000
FS( 81 ),3752146.735000000300,3689740.562500000000,3664878.628750000100,11106766.926250000000
FS( 82 ),3798092.521250000200,3699696.312500000000,3697981.497500000100,11195771.331250001000
FS( 83 ),3752146.735000000300,3689740.562500000000,3681255.837499999900,11123144.135000000000
FS( 84 ),3738009.570000000300,3667340.125000000000,3681255.837499999900,11086606.532500001000
FS( 85 ),3752146.735000000300,3657384.375000000000,3681255.837499999900,11090787.947500000000
FS( 86 ),3783955.356250000200,3742008.250000000000,3697981.497500000100,11223946.103750000000
FS( 87 ),3840504.016250000300,3811698.500000000000,3780912.894999999600,11433116.411249999000
FS( 88 ),3868778.346249999900,3811698.500000000000,3830392.972500000100,11510870.818750000000
FS( 89 ),3914724.132500000300,3846543.625000000000,3830392.972500000100,11591661.730000000000
FS( 90 ),3914724.132500000300,3824143.187500000000,3847118.632500000300,11585986.952500001000
FS( 91 ),3914724.132500000300,3811698.500000000000,3863495.841250000100,11589919.473750001000
FS( 92 ),3914724.132500000300,3766897.625000000000,3863495.841250000100,11545118.598750001000
FS( 93 ),3900586.967500000300,3789298.062500000000,3814015.763749999500,11503901.793749999000
FS( 94 ),3886449.802500000200,3801742.750000000000,3797290.103750000200,11485483.656250000000
FS( 95 ),3914724.132500000300,3789298.062500000000,3797290.103750000200,11501313.298750000000
FS( 96 ),3914724.132500000300,3754452.937500000000,3714358.706249999800,11383536.776250001000
FS( 97 ),3868778.346249999900,3719607.812500000000,3731084.366250000000,11319471.524999999000
FS( 98 ),3854641.181250000800,3742008.250000000000,3731084.366250000000,11327734.797499999000
FS( 99 ),3886449.802500000200,3719607.812500000000,3797290.103750000200,11403348.718750000000
FS( 100 ),3900586.967500000300,3776853.375000000000,3814015.763749999500,11491457.106249999000
FS( 101 ),3900586.967500000300,3776853.375000000000,3814015.763749999500,11491457.106249999000
FS( 102 ),3900586.967500000300,3766897.625000000000,3780912.894999999600,11448398.487500001000
FS( 103 ),3886449.802500000200,3776853.375000000000,3780912.894999999600,11444217.072500000000
FS( 104 ),3918258.423750000500,3754452.937500000000,3714358.706249999800,11387071.067499999000
FS( 105 ),3819298.268750000300,3732052.500000000000,3714358.706249999800,11265710.475000001000
FS( 106 ),3836969.725000000100,3789298.062500000000,3731084.366250000000,11357353.153749999000
FS( 107 ),3886449.802500000200,3789298.062500000000,3747461.575000000700,11423210.440000001000
FS( 108 ),3918258.423750000500,3824143.187500000000,3747461.575000000700,11489864.186250001000
FS( 109 ),3918258.423750000500,3858988.312500000000,3780912.894999999600,11558160.631250000000
