代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11154072.260000000000
真實報酬,1154072.259999999800

夏普值報酬,0.106707226000
夏普值風險,0.031738228208
夏普值,3.362104062665

預期報酬,9240.235092765284
風險,67447.979481506802
起點值,0.136997952552
找到最佳解世代,3402
找到最佳解實驗#,1
找到最佳解次數,37

投資組合檔數,9
2227(11),2303(13),2801(28),2882(31),2886(35),2892(39),2912(40),3008(41),3481(43),
Stock#,2227(11),2303(13),2801(28),2882(31),2886(35),2892(39),2912(40),3008(41),3481(43),
張數,6,97,73,28,54,73,4,0,101,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,70.019500000000,9563.528500000000,9433.343249999767,12788.117000000000,10104.298000000001,4316.061500000000,194927.296000000000,1111111.000000000000,550.703500000000,
FS( 1 ),1109530.019499999900,1109543.528500000000,1109543.343249999900,1109548.117000000100,1109544.298000000000,1109536.061500000100,1109807.296000000100,1111111.000000000000,1109530.703500000100,9987695.367250001100
FS( 2 ),1090881.723999999900,1099847.578249999800,1101041.507749999900,1089920.621000000000,1101991.223500000100,1104645.463000000200,1107710.279000000100,1111111.000000000000,1109651.120750000000,9916801.517250001400
FS( 3 ),1082578.628499999900,1090190.500749999900,1098134.428749999500,1077933.898000000300,1127258.917000000100,1101738.384000000100,1109621.783000000100,1111111.000000000000,1094568.159500000100,9893136.699499998200
FS( 4 ),1077083.054500000300,1090190.500749999900,1101041.507749999900,1094102.036000000100,1122420.422499999900,1108279.311749999900,1107710.279000000100,1111111.000000000000,1114678.774500000100,9926617.886749999600
FS( 5 ),1085386.149999999700,1095019.039500000000,1108309.205249999600,1102186.105000000200,1125108.474999999900,1108279.311749999900,1103847.448000000100,1111111.000000000000,1119706.428250000100,9958954.162749998300
FS( 6 ),1090881.723999999900,1099847.578249999800,1111216.284249999600,1103301.149000000000,1155214.662999999900,1118454.088250000000,1115435.940999999900,1111111.000000000000,1124734.081999999900,10030197.509749999000
FS( 7 ),1068839.693499999800,1081499.130999999800,1101041.507749999900,1059256.911000000100,1127258.917000000100,1101738.384000000100,1125073.107000000100,1111111.000000000000,1069429.890750000300,9845249.542000001300
