代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11353093.069000000000
真實報酬,1353093.069000000100

夏普值報酬,0.126609306900
夏普值風險,0.037712664216
夏普值,3.357209296480

預期報酬,10451.034772736282
風險,158264.644656446380
起點值,0.066035183003
找到最佳解世代,3088
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
1216(2),2325(16),2412(24),3045(42),6505(47),
Stock#,1216(2),2325(16),2412(24),3045(42),6505(47),
張數,39,49,21,22,29,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,24178.460749999766,25920.940250000232,83332.635500000004,7925.333000000001,9217.171250000232,
FS( 1 ),1997188.460750000100,1997190.940250000000,1997272.635500000100,1997165.333000000100,1997167.171249999900,9985984.540750000600
FS( 2 ),1977586.212500000100,1988468.070499999900,1973541.286250000100,1974345.250000000200,2014643.716750000100,9928584.536000000300
FS( 3 ),1984575.149000000000,1988468.070499999900,1965805.668500000400,1968431.534500000300,2012045.266000000300,9919325.688500000200
FS( 4 ),1970209.001749999600,1988468.070499999900,1971659.649500000100,1964489.057500000100,1985772.041750000100,9880597.821000000500
FS( 5 ),1991952.359749999800,2014810.985000000600,1971659.649500000100,1962517.818999999900,1977976.689500000100,9918917.502750000000
FS( 6 ),1973703.469999999700,2010420.499250000300,1963924.031750000100,1948719.149500000100,1949105.014500000000,9845872.165000001000
FS( 7 ),1948465.643750000000,1971393.959250000300,1960160.758250000000,1948719.149500000100,1949105.014500000000,9777844.525250000900
FS( 8 ),1970209.001749999600,2019201.470750000100,1962042.395000000300,1938862.956999999900,1946506.563750000000,9836822.388250000800
FS( 9 ),1977586.212500000100,2010420.499250000300,1952425.140500000200,1948719.149500000100,1933514.310000000300,9822665.311750000300
FS( 10 ),1944582.901249999900,2012371.826250000200,1948661.867000000100,1934701.453500000100,1951703.465250000400,9792021.513250000800
FS( 11 ),1962831.790999999700,2210919.348500000800,1952425.140500000200,1928787.738000000100,1967582.886500000300,10022546.904500002000
FS( 12 ),2021072.928499999700,2163111.837000000800,1952425.140500000200,1930758.976500000100,2025037.519749999700,10092406.402250001000
FS( 13 ),2028450.139249999500,2200187.050000000300,1960160.758250000000,1960546.580500000400,2043515.391750000200,10192859.919749999000
FS( 14 ),2006318.506999999500,2193845.237250000200,1962042.395000000300,1942805.434000000100,2038029.773500000100,10143041.346750000000
FS( 15 ),1970209.001749999600,2250433.720250000200,1956397.484750000100,1964489.057500000100,2035431.322750000500,10176960.587000001000
FS( 16 ),2002824.038749999800,2210919.348500000800,1979186.196500000300,1950690.388000000000,2043515.391750000200,10187135.363500001000
FS( 17 ),2021072.928499999700,2307022.203250000300,1979186.196500000300,1948719.149500000100,2051310.744000000200,10307311.221750000000
FS( 18 ),2028450.139249999500,2307022.203250000300,1979186.196500000300,1958575.342000000400,2100970.025000000400,10374203.905999999000
FS( 19 ),2046310.754749999800,2311412.689000000200,1981067.833249999900,1962517.818999999900,2100970.025000000400,10402279.120999999000
FS( 20 ),2042816.286499999900,2298241.231750000700,1981067.833249999900,1970402.772999999800,2069499.899250000000,10362028.023750002000
FS( 21 ),1991952.359749999800,2285069.774500000800,1971659.649500000100,1954632.865000000000,2061704.547000000300,10265019.195750002000
FS( 22 ),2002824.038749999800,2285069.774500000800,1973541.286250000100,1948719.149500000100,2040628.224250000000,10250782.473250002000
FS( 23 ),2017578.460250000000,2307022.203250000300,1973541.286250000100,1988362.946000000200,2072098.350000000600,10358603.245750001000
FS( 24 ),1981080.680749999800,2276288.803000001200,1956397.484750000100,1948719.149500000100,2022439.069000000100,10184925.187000001000
FS( 25 ),1988457.891500000100,2285069.774500000800,1967687.305250000200,1956604.103500000000,2006848.364500000100,10204667.439250002000
FS( 26 ),1988457.891500000100,2293850.746000000700,1965805.668500000400,1938862.956999999900,2025037.519749999700,10212014.782750001000
FS( 27 ),1977586.212500000100,2302631.717500000300,1975422.923000000200,1938862.956999999900,2004249.913749999800,10198753.723750001000
FS( 28 ),1948465.643750000000,2267995.663250000200,1979186.196500000300,1938862.956999999900,1998764.295500000000,10133274.756000001000
FS( 29 ),1908473.395999999900,2267995.663250000200,1990685.087750000400,1954632.865000000000,1998764.295500000000,10120551.307500001000
FS( 30 ),1875858.358999999700,2307022.203250000300,2009710.526000000100,1978287.727000000000,2022439.069000000100,10193317.884250000000
FS( 31 ),1922839.543249999900,2315803.174750000200,2019327.780500000100,1978287.727000000000,2074696.800750000400,10310955.026250001000
FS( 32 ),1948465.643750000000,2311412.689000000200,2038353.218750000200,1976316.488500000200,2077295.251500000000,10351843.291500000000
FS( 33 ),1944582.901249999900,2324584.146249999800,2009710.526000000100,1948719.149500000100,2072098.350000000600,10299695.073000001000
FS( 34 ),1915850.606749999800,2302631.717500000300,1990685.087750000400,1948719.149500000100,2077295.251500000000,10235181.813000001000
FS( 35 ),1930216.754000000000,2302631.717500000300,2019327.780500000100,1948719.149500000100,2059106.096250000200,10260001.497750001000
FS( 36 ),1948465.643750000000,2311412.689000000200,2019327.780500000100,1928787.738000000100,2074696.800750000400,10282690.652000001000
FS( 37 ),1922839.543249999900,2293850.746000000700,2000093.271500000300,1928787.738000000100,2074696.800750000400,10220268.099500000000
FS( 38 ),1922839.543249999900,2271898.317250000800,2000093.271500000300,1974345.250000000200,2098371.574250000100,10267547.956250001000
FS( 39 ),1959337.322750000100,2263605.177499999800,2028735.964250000200,1986391.707500000000,2129841.700000000200,10367911.872000001000
FS( 40 ),1948465.643750000000,2293850.746000000700,2028735.964250000200,1954632.865000000000,2129841.700000000200,10355526.919000002000
FS( 41 ),1984575.149000000000,2289460.260250000700,2028735.964250000200,1972374.011499999800,2108765.377249999900,10383910.762250001000
FS( 42 ),2031944.607499999700,2250433.720250000200,2038353.218750000200,1980258.965500000200,2103568.475750000700,10404558.987750001000
FS( 43 ),2039321.818249999800,2267995.663250000200,2047970.473250000000,1988362.946000000200,2155826.207499999600,10499477.108250000000
FS( 44 ),2028450.139249999500,2263605.177499999800,2038353.218750000200,1986391.707500000000,2153227.756750000200,10470027.999749999000
FS( 45 ),2042816.286499999900,2289460.260250000700,2047970.473250000000,1986391.707500000000,2169107.178000000300,10535745.905500002000
FS( 46 ),2068054.112749999900,2280679.288750000300,2047970.473250000000,1980258.965500000200,2166508.727250000000,10543471.567499999000
FS( 47 ),2013695.717750000100,2289460.260250000700,2047970.473250000000,1980258.965500000200,2113962.278750001000,10445347.695500001000
FS( 48 ),2068054.112749999900,2289460.260250000700,2076404.095250000000,1970402.772999999800,2119159.180250000200,10523480.421500001000
FS( 49 ),2075431.323499999700,2267995.663250000200,2086021.349750000300,1988362.946000000200,2116560.729500000400,10534372.012000002000
FS( 50 ),2061065.176249999800,2285069.774500000800,2095638.604250000100,2017931.523499999900,2129841.700000000200,10589546.778500002000
FS( 51 ),2093680.213249999600,2289460.260250000700,2076404.095250000000,2027787.716000000000,2182099.431750000000,10669431.716499999000
FS( 52 ),2093680.213249999600,2307022.203250000300,2086021.349750000300,2008075.331000000000,2182099.431750000000,10676898.528999999000
FS( 53 ),2086303.002499999700,2280679.288750000300,2066995.911500000200,2008075.331000000000,2161311.825750000800,10603365.359500000000
FS( 54 ),2078925.791749999900,2280679.288750000300,2066995.911500000200,2027787.716000000000,2169107.178000000300,10623495.886000000000
FS( 55 ),2028450.139249999500,2145549.894000000300,2047970.473250000000,1988362.946000000200,2195091.685499999700,10405425.138000000000
FS( 56 ),2071936.855250000000,2267995.663250000200,2076404.095250000000,2027787.716000000000,2218766.459000000300,10662890.788750002000
FS( 57 ),2104551.892249999600,2263605.177499999800,2076404.095250000000,2037862.935000000300,2218766.459000000300,10701190.559000000000
FS( 58 ),2101057.424000000100,2250433.720250000200,2095638.604250000100,2057575.319999999800,2268425.740000000200,10773130.808499999000
