代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12262131.902250001000
真實報酬,2262131.902250001200

夏普值報酬,0.217513190225
夏普值風險,0.054431254264
夏普值,3.996108360288

預期報酬,15933.440764859690
風險,166955.369924026130
起點值,0.095435329646
找到最佳解世代,3747
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,3
2301(13),2330(20),2357(24),
Stock#,2301(13),2330(20),2357(24),
張數,123,48,17,
FS( 62 ),3398385.209249999800,3646168.668000000100,3859433.521500000300,10903988.398750000000
FS( 63 ),3406957.110000000300,3642345.659999999700,3914439.040250000100,10963742.810249999000
FS( 64 ),3415529.010750000400,3671018.219999999700,3859433.521500000300,10945981.752250001000
FS( 65 ),3375118.621500000400,3691566.887999999800,3859433.521500000300,10926120.031000001000
FS( 66 ),3398385.209249999800,3720239.447999999900,3792411.412500000100,10911037.069750000000
FS( 67 ),3452265.728250000200,3736487.231999999800,3828968.926499999600,11017722.886750000000
FS( 68 ),3462062.186250000300,3740788.115999999900,3859433.521500000300,11062284.823750000000
FS( 69 ),3462062.186250000300,3765159.791999999400,3871619.359500000300,11098842.337749999000
FS( 70 ),3443693.827499999700,3744611.124000000300,3847247.683499999800,11035553.635000000000
FS( 71 ),3398385.209249999800,3757035.899999999400,3950996.554250000000,11106418.663500000000
FS( 72 ),3388588.751250000200,3777584.568000000000,3914439.040250000100,11080613.359500000000
FS( 73 ),3306543.415500000100,3736487.231999999800,3883805.197500000200,10926836.845000001000
FS( 74 ),3420427.239750000600,3744611.124000000300,3871619.359500000300,11036658.723250002000
FS( 75 ),3433897.369500000000,3732664.224000000400,3835061.845500000300,11001624.439000001000
FS( 76 ),3420427.239750000600,3732664.224000000400,3804597.250499999600,10957689.714250000000
FS( 77 ),3462062.186250000300,3724540.331999999900,3792411.412500000100,10979014.930749999000
FS( 78 ),3448592.056500000400,3740788.115999999900,3798504.331500000300,10987885.504000001000
FS( 79 ),3443693.827499999700,3744611.124000000300,3822876.007500000300,11011181.959000001000
