代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12156153.836249998000
真實報酬,2156153.836249997800

夏普值報酬,0.206915383625
夏普值風險,0.055372499761
夏普值,3.736789643212

預期報酬,16440.556051109274
風險,94955.706744188123
起點值,0.173139210005
找到最佳解世代,3870
找到最佳解實驗#,12
找到最佳解次數,10

投資組合檔數,7
2324(16),2408(23),2474(27),2887(37),3008(42),3045(43),5880(47),
Stock#,2324(16),2408(23),2474(27),2887(37),3008(42),3045(43),5880(47),
張數,79,32,5,128,0,13,105,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,9291.404500000001,25294.175999999999,199572.168750000010,9591.832000000000,1428571.000000000000,92219.408750000002,1690.588749999767,
FS( 1 ),1426551.404499999900,1426574.176000000000,1426822.168750000000,1426551.831999999900,1428571.000000000000,1426669.408749999900,1426540.588750000100,9988283.578749999400
FS( 2 ),1439156.131000000100,1429612.448000000100,1447923.661249999900,1431750.808000000000,1428571.000000000000,1420764.467499999800,1430689.164999999800,10028470.680749999000
FS( 3 ),1457245.728750000000,1452869.080000000100,1447923.661249999900,1425379.128000000000,1428571.000000000000,1426847.430750000100,1430689.164999999800,10069528.193749998000
FS( 4 ),1457245.728750000000,1466886.776000000100,1455191.358749999900,1431750.808000000000,1428571.000000000000,1420764.467499999800,1430689.164999999800,10091102.304000000000
FS( 5 ),1454099.711750000000,1468479.696000000000,1464848.436250000000,1431750.808000000000,1428571.000000000000,1433059.818750000100,1434870.580000000300,10115683.050750000000
FS( 6 ),1450167.190499999800,1468479.696000000000,1457580.738750000000,1431750.808000000000,1428571.000000000000,1426847.430750000100,1430689.164999999800,10094089.028999999000
FS( 7 ),1413201.490749999900,1466886.776000000100,1438266.583749999800,1425379.128000000000,1428571.000000000000,1426847.430750000100,1430689.164999999800,10029844.574249998000
FS( 8 ),1428145.071499999800,1400302.720000000000,1440705.742499999900,1431750.808000000000,1428571.000000000000,1433059.818750000100,1425462.396249999800,9988000.557000000000
FS( 9 ),1446234.669250000000,1407948.736000000000,1438266.583749999800,1438122.488000000100,1428571.000000000000,1439142.781999999700,1434870.580000000300,10033159.839000000000
FS( 10 ),1461178.250000000200,1423559.352000000000,1520401.521249999500,1443219.831999999900,1428571.000000000000,1439142.781999999700,1434870.580000000300,10150946.317249998000
FS( 11 ),1454099.711750000000,1403488.560000000100,1486551.971249999900,1443219.831999999900,1428571.000000000000,1445355.169999999700,1440097.348749999900,10101386.593750000000
FS( 12 ),1472189.309500000000,1434391.207999999900,1505915.905000000000,1443219.831999999900,1428571.000000000000,1439142.781999999700,1444278.763749999900,10167711.800249999000
FS( 13 ),1502076.470999999900,1462108.015999999800,1561419.211249999700,1454688.855999999900,1428571.000000000000,1445355.169999999700,1444278.763749999900,10298500.487999998000
FS( 14 ),1494211.428499999900,1486957.568000000000,1607315.218750000000,1461060.535999999800,1428571.000000000000,1463733.484499999800,1440097.348749999900,10381949.584500000000
FS( 15 ),1483200.368999999700,1491736.328000000000,1621800.835000000000,1467432.216000000000,1428571.000000000000,1469945.872500000100,1444278.763749999900,10406968.384250000000
