代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13898950.779750001000
真實報酬,3898950.779750000700

夏普值報酬,0.381195077975
夏普值風險,0.091994149281
夏普值,4.143688277501

預期報酬,27157.910937313110
風險,325984.739881157350
起點值,0.083310375042
找到最佳解世代,3353
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
4904(45),4938(46),
Stock#,4904(45),4938(46),
張數,143,234,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,26532.894250000933,8697.514999999999,
FS( 1 ),4992922.894249999900,4992897.514999999700,9985820.409249998600
FS( 2 ),4918270.745250000600,4893964.128499999600,9812234.873750001200
FS( 3 ),4875560.577750000200,4728559.298000000400,9604119.875750001500
FS( 4 ),4811495.326500000400,4626054.895999999700,9437550.222500000100
FS( 5 ),5077722.037250000100,4719240.715999999100,9796962.753249999100
FS( 6 ),5035011.869750001500,4910271.646999999900,9945283.516750000400
FS( 7 ),5056366.953500000800,4891634.483000000000,9948001.436500001700
FS( 8 ),4864171.199749999700,4810096.890499999700,9674268.090250000400
FS( 9 ),4939625.828999999900,4810096.890499999700,9749722.719499999700
FS( 10 ),5060637.970250000200,5110621.159999999200,10171259.130249999000
FS( 11 ),5060637.970250000200,5467056.921499999200,10527694.891750000000
FS( 12 ),4912576.056250000400,5348245.001000001100,10260821.057250001000
FS( 13 ),4901186.678250001700,5476375.503499999600,10377562.181750001000
FS( 14 ),4901186.678250001700,5457738.339499999800,10358925.017750002000
FS( 15 ),4842816.116000000400,5203806.980000000400,10046623.096000001000
FS( 16 ),4801529.620750000700,4938227.392999999200,9739757.013749999900
FS( 17 ),5013656.786000000300,4856689.800499999900,9870346.586500000200
FS( 18 ),5013656.786000000300,4984820.303000000300,9998477.089000001500
FS( 19 ),5019351.475000000600,5229433.080499999200,10248784.555500001000
FS( 20 ),4933931.140000000600,5147895.487999999900,10081826.628000000000
FS( 21 ),4864171.199749999700,5229433.080499999200,10093604.280249998000
FS( 22 ),4970946.618499999900,4984820.303000000300,9955766.921500001100
FS( 23 ),5081993.053999999500,5185169.815999999600,10267162.869999999000
FS( 24 ),5035011.869750001500,4994138.884999998800,10029150.754750000000
FS( 25 ),4949591.534750000600,5194488.398000000000,10144079.932750002000
FS( 26 ),4980912.324250000500,5276025.990500000300,10256938.314750001000
FS( 27 ),4949591.534750000600,5313300.318500000100,10262891.853250001000
FS( 28 ),4918270.745250000600,5676725.016499999000,10594995.761750000000
FS( 29 ),4869865.888750001800,5832811.264999999700,10702677.153750002000
FS( 30 ),4922541.762000001000,5860767.010999999000,10783308.773000000000
FS( 31 ),4949591.534750000600,5823492.683000000200,10773084.217750002000
FS( 32 ),4997996.391250001300,5741955.090499999900,10739951.481750000000
