代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11588681.803000001000
真實報酬,1588681.803000001200

夏普值報酬,0.150168180300
夏普值風險,0.062340578451
夏普值,2.408835208632

預期報酬,18900.027051799665
風險,334086.387332506890
起點值,0.056572275221
找到最佳解世代,3465
找到最佳解實驗#,3
找到最佳解次數,9

投資組合檔數,1
1216(2),
Stock#,1216(2),
張數,226,
分配資金,10000000.000000000000,
剩餘資金,16934.374499999998,
FS( 1 ),9985794.374500000800,9985794.374500000800
FS( 2 ),9941682.169000001600,9941682.169000001600
FS( 3 ),9923682.173000000400,9923682.173000000400
FS( 4 ),9862932.186500001700,9862932.186500001700
FS( 5 ),9883182.182000000000,9883182.182000000000
FS( 6 ),9883182.182000000000,9883182.182000000000
FS( 7 ),10297182.089999998000,10297182.089999998000
FS( 8 ),10474932.050500002000,10474932.050500002000
FS( 9 ),10731431.993500000000,10731431.993500000000
FS( 10 ),10693182.002000000000,10693182.002000000000
FS( 11 ),10868681.963000001000,10868681.963000001000
FS( 12 ),10751681.989000002000,10751681.989000002000
FS( 13 ),10789931.980500001000,10789931.980500001000
FS( 14 ),10693182.002000000000,10693182.002000000000
FS( 15 ),10693182.002000000000,10693182.002000000000
FS( 16 ),10672932.006500000000,10672932.006500000000
FS( 17 ),10632432.015500002000,10632432.015500002000
FS( 18 ),10711181.998000002000,10711181.998000002000
FS( 19 ),10830431.971500004000,10830431.971500004000
FS( 20 ),10810181.976000000000,10810181.976000000000
FS( 21 ),10652682.011000000000,10652682.011000000000
FS( 22 ),10830431.971500004000,10830431.971500004000
FS( 23 ),10693182.002000000000,10693182.002000000000
FS( 24 ),10612182.020000001000,10612182.020000001000
FS( 25 ),10515432.041500000000,10515432.041500000000
FS( 26 ),10533432.037500000000,10533432.037500000000
FS( 27 ),10238682.103000002000,10238682.103000002000
FS( 28 ),10594182.024000002000,10594182.024000002000
FS( 29 ),10436682.059000002000,10436682.059000002000
FS( 30 ),10317432.085500002000,10317432.085500002000
FS( 31 ),10396182.068000002000,10396182.068000002000
FS( 32 ),10533432.037500000000,10533432.037500000000
FS( 33 ),10375932.072500000000,10375932.072500000000
FS( 34 ),10297182.089999998000,10297182.089999998000
FS( 35 ),10355682.077000001000,10355682.077000001000
FS( 36 ),10297182.089999998000,10297182.089999998000
FS( 37 ),10396182.068000002000,10396182.068000002000
FS( 38 ),10672932.006500000000,10672932.006500000000
FS( 39 ),10632432.015500002000,10632432.015500002000
FS( 40 ),10594182.024000002000,10594182.024000002000
FS( 41 ),10810181.976000000000,10810181.976000000000
FS( 42 ),10731431.993500000000,10731431.993500000000
FS( 43 ),10868681.963000001000,10868681.963000001000
FS( 44 ),10850681.967000002000,10850681.967000002000
FS( 45 ),10693182.002000000000,10693182.002000000000
FS( 46 ),10711181.998000002000,10711181.998000002000
FS( 47 ),10672932.006500000000,10672932.006500000000
FS( 48 ),10672932.006500000000,10672932.006500000000
FS( 49 ),10632432.015500002000,10632432.015500002000
FS( 50 ),10553682.033000000000,10553682.033000000000
FS( 51 ),10711181.998000002000,10711181.998000002000
FS( 52 ),10789931.980500001000,10789931.980500001000
FS( 53 ),10830431.971500004000,10830431.971500004000
FS( 54 ),10731431.993500000000,10731431.993500000000
FS( 55 ),11264681.875000000000,11264681.875000000000
FS( 56 ),10929431.949500000000,10929431.949500000000
FS( 57 ),10810181.976000000000,10810181.976000000000
FS( 58 ),11008181.932000000000,11008181.932000000000
FS( 59 ),10771931.984500000000,10771931.984500000000
FS( 60 ),10987931.936500002000,10987931.936500002000
FS( 61 ),10888931.958500000000,10888931.958500000000
FS( 62 ),10967681.941000002000,10967681.941000002000
FS( 63 ),10987931.936500002000,10987931.936500002000
FS( 64 ),10967681.941000002000,10967681.941000002000
FS( 65 ),11086931.914500002000,11086931.914500002000
FS( 66 ),11264681.875000000000,11264681.875000000000
FS( 67 ),11188181.892000001000,11188181.892000001000
FS( 68 ),11125181.905999999000,11125181.905999999000
FS( 69 ),11694431.779500002000,11694431.779500002000
FS( 70 ),11377181.850000000000,11377181.850000000000
FS( 71 ),11671931.784500001000,11671931.784500001000
FS( 72 ),11757431.765500002000,11757431.765500002000
FS( 73 ),11989181.714000002000,11989181.714000002000
FS( 74 ),12029681.705000000000,12029681.705000000000
FS( 75 ),12472931.606500002000,12472931.606500002000
FS( 76 ),12304181.644000001000,12304181.644000001000
FS( 77 ),12344681.635000000000,12344681.635000000000
FS( 78 ),11989181.714000002000,11989181.714000002000
FS( 79 ),11631431.793499999000,11631431.793499999000
FS( 80 ),11651681.789000003000,11651681.789000003000
FS( 81 ),11883431.737500001000,11883431.737500001000
FS( 82 ),11883431.737500001000,11883431.737500001000
FS( 83 ),11860931.742500002000,11860931.742500002000
FS( 84 ),12218681.663000001000,12218681.663000001000
FS( 85 ),11714681.775000000000,11714681.775000000000
FS( 86 ),11903681.733000001000,11903681.733000001000
FS( 87 ),12115181.686000001000,12115181.686000001000
FS( 88 ),11820431.751500001000,11820431.751500001000
FS( 89 ),11482931.826500002000,11482931.826500002000
FS( 90 ),11482931.826500002000,11482931.826500002000
FS( 91 ),11860931.742500002000,11860931.742500002000
FS( 92 ),12052181.699999999000,12052181.699999999000
FS( 93 ),12115181.686000001000,12115181.686000001000
FS( 94 ),11923931.728500001000,11923931.728500001000
FS( 95 ),11883431.737500001000,11883431.737500001000
FS( 96 ),11903681.733000001000,11903681.733000001000
FS( 97 ),12135431.681500001000,12135431.681500001000
FS( 98 ),11966681.719000001000,11966681.719000001000
FS( 99 ),11820431.751500001000,11820431.751500001000
FS( 100 ),12029681.705000000000,12029681.705000000000
FS( 101 ),11588681.803000001000,11588681.803000001000
FS( 102 ),11588681.803000001000,11588681.803000001000
FS( 103 ),11651681.789000003000,11651681.789000003000
FS( 104 ),12009431.709500000000,12009431.709500000000
FS( 105 ),12115181.686000001000,12115181.686000001000
FS( 106 ),12115181.686000001000,12115181.686000001000
FS( 107 ),12218681.663000001000,12218681.663000001000
FS( 108 ),12304181.644000001000,12304181.644000001000
FS( 109 ),12344681.635000000000,12344681.635000000000
FS( 110 ),12198431.667500000000,12198431.667500000000
FS( 111 ),12155681.677000001000,12155681.677000001000
FS( 112 ),12115181.686000001000,12115181.686000001000
FS( 113 ),11946431.723500000000,11946431.723500000000
FS( 114 ),11989181.714000002000,11989181.714000002000
FS( 115 ),11989181.714000002000,11989181.714000002000
FS( 116 ),11966681.719000001000,11966681.719000001000
FS( 117 ),12029681.705000000000,12029681.705000000000
FS( 118 ),11946431.723500000000,11946431.723500000000
FS( 119 ),11989181.714000002000,11989181.714000002000
FS( 120 ),11989181.714000002000,11989181.714000002000
FS( 121 ),11883431.737500001000,11883431.737500001000
FS( 122 ),11714681.775000000000,11714681.775000000000
FS( 123 ),11671931.784500001000,11671931.784500001000
FS( 124 ),11631431.793499999000,11631431.793499999000
FS( 125 ),11588681.803000001000,11588681.803000001000
