代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11538956.976000002000
真實報酬,1538956.976000001700

夏普值報酬,0.145195697600
夏普值風險,0.047504042848
夏普值,3.056491382525

預期報酬,13681.107206204046
風險,100139.464348717830
起點值,0.136620535123
找到最佳解世代,3199
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,6
2105(9),2887(36),2892(39),2912(40),3045(42),4904(44),
Stock#,2105(9),2887(36),2892(39),2912(40),3045(42),4904(44),
張數,31,183,127,7,17,26,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,21324.724999999999,4490.770750000000,3138.847000000000,196954.641500000000,73539.024500000000,16437.771000000001,
FS( 1 ),1664324.725000000100,1664300.770749999900,1664298.847000000100,1664574.641499999900,1664399.024500000100,1664317.770999999900,9986219.779750000700
FS( 2 ),1654276.795750000000,1687928.449749999900,1667063.256000000100,1697455.414249999900,1657359.469000000000,1650036.965499999900,10014124.350250002000
FS( 3 ),1645943.833000000100,1702503.667750000000,1682235.819000000100,1697455.414249999900,1664975.617750000000,1671003.774999999900,10064122.126750000000
FS( 4 ),1657054.450000000200,1717078.885749999900,1682235.819000000100,1710626.871499999700,1634341.775000000100,1664014.838499999800,10065356.639750000000
FS( 5 ),1676806.658000000100,1748051.223999999900,1688557.720250000000,1697455.414249999900,1657359.469000000000,1668674.129500000000,10136908.615000000000
FS( 6 ),1693781.211750000000,1731654.103750000000,1682235.819000000100,1684353.647249999900,1649743.320250000100,1638129.888499999700,10079901.990500001000
FS( 7 ),1691003.557500000300,1740763.614999999800,1682235.819000000100,1651529.539499999700,1634341.775000000100,1668674.129500000000,10068552.435500000000
FS( 8 ),1691003.557500000300,1755338.832999999900,1688557.720250000000,1674457.631749999900,1642127.171500000400,1659355.547500000100,10110844.461500000000
FS( 9 ),1744396.244750000100,1755338.832999999900,1682235.819000000100,1694179.972499999900,1649743.320250000100,1668674.129500000000,10194572.319000000000
FS( 10 ),1749951.553250000100,1748051.223999999900,1688557.720250000000,1687629.088999999900,1649743.320250000100,1671003.774999999900,10194940.681750001000
FS( 11 ),1710447.137249999900,1709791.276749999700,1682235.819000000100,1677733.073499999900,1649743.320250000100,1675663.065999999900,10105617.692749999000
FS( 12 ),1730199.345250000200,1740763.614999999800,1688557.720250000000,1700730.855999999900,1642127.171500000400,1689899.788500000000,10192282.496500000000
FS( 13 ),1747173.899000000000,1740763.614999999800,1698672.762250000100,1690904.530750000200,1672591.766500000100,1711125.447500000000,10261236.021000000000
FS( 14 ),1792233.623500000000,1762626.441999999800,1703730.283249999900,1664631.306499999700,1649743.320250000100,1706207.306999999800,10279176.282499999000
FS( 15 ),1752729.207500000300,1755338.832999999900,1698672.762250000100,1667906.748249999900,1664975.617750000000,1694559.079500000000,10234186.248250000000
FS( 16 ),1775259.069750000300,1740763.614999999800,1698672.762250000100,1644908.965750000000,1680377.163000000200,1682910.851999999700,10222896.427750001000
FS( 17 ),1789455.969250000100,1740763.614999999800,1698672.762250000100,1661355.864749999700,1680377.163000000200,1711125.447500000000,10281754.821750000000
FS( 18 ),1783900.660750000000,1731654.103750000000,1693615.241250000200,1690904.530750000200,1680377.163000000200,1720444.029499999900,10300899.729000000000
FS( 19 ),1738840.936249999800,1731654.103750000000,1688557.720250000000,1667906.748249999900,1672591.766500000100,1713455.093000000100,10213010.368000001000
FS( 20 ),1803344.240500000100,1724366.494749999800,1688557.720250000000,1654804.981250000000,1672591.766500000100,1708795.801999999900,10252465.005249999000
FS( 21 ),1825874.102750000100,1695216.058749999600,1677178.298000000200,1677733.073499999900,1657359.469000000000,1699218.370500000200,10232583.372500001000
FS( 22 ),1817541.139999999900,1731654.103750000000,1688557.720250000000,1743450.979249999900,1672591.766500000100,1699218.370500000200,10353018.080250001000
FS( 23 ),1842848.656500000300,1717078.885749999900,1682235.819000000100,1736830.405500000100,1672591.766500000100,1711125.447500000000,10362714.980750000000
FS( 24 ),1823096.448499999900,1709791.276749999700,1682235.819000000100,1746726.420999999600,1672591.766500000100,1689899.788500000000,10324345.520250000000
FS( 25 ),1817541.139999999900,1678818.938499999900,1662005.735000000100,1717177.754999999900,1642127.171500000400,1673333.420500000200,10191008.160500001000
FS( 26 ),1792233.623500000000,1695216.058749999600,1645568.791750000100,1690904.530750000200,1664975.617750000000,1678251.560999999800,10167154.183499999000
FS( 27 ),1795011.277750000100,1702503.667750000000,1650626.312750000000,1694179.972499999900,1664975.617750000000,1678251.560999999800,10185552.409499999000
FS( 28 ),1851490.247500000300,1695216.058749999600,1656948.214000000200,1674457.631749999900,1695609.460500000000,1706207.306999999800,10279932.919500001000
FS( 29 ),1865378.518750000000,1724366.494749999800,1662005.735000000100,1694179.972499999900,1687993.311750000100,1696888.724999999900,10330816.757749999000
FS( 30 ),1879575.418250000100,1740763.614999999800,1688557.720250000000,1717177.754999999900,1687993.311750000100,1715784.738500000000,10429856.558750000000
FS( 31 ),1915993.551750000100,1740763.614999999800,1672120.776999999800,1700730.855999999900,1680377.163000000200,1696888.724999999900,10406878.687749999000
FS( 32 ),1921857.488500000200,1762626.441999999800,1682235.819000000100,1740175.537499999900,1703225.609250000000,1703877.661499999900,10514002.557750000000
FS( 33 ),1930190.451250000400,1777201.660000000100,1682235.819000000100,1753277.304499999900,1703225.609250000000,1722773.675000000000,10568908.519000001000
FS( 34 ),1949942.659250000000,1808173.998249999700,1667063.256000000100,1766379.071499999600,1703225.609250000000,1725103.320500000100,10619891.914749999000
FS( 35 ),1921857.488500000200,1784489.268999999600,1656948.214000000200,1723728.638500000100,1695609.460500000000,1708795.801999999900,10491432.872500001000
FS( 36 ),1986360.792750000000,1777201.660000000100,1672120.776999999800,1753277.304499999900,1695609.460500000000,1722773.675000000000,10607347.669750001000
FS( 37 ),1963830.930500000000,1800886.389249999800,1662005.735000000100,1723728.638500000100,1695609.460500000000,1720444.029499999900,10566509.183250001000
FS( 38 ),1958275.622000000200,1830036.825249999800,1672120.776999999800,1736830.405500000100,1695609.460500000000,1741669.688499999900,10634546.778750001000
FS( 39 ),1961053.276250000300,1846433.945499999700,1677178.298000000200,1723728.638500000100,1703225.609250000000,1734421.902500000100,10646045.670000000000
FS( 40 ),1958275.622000000200,1853721.554499999900,1677178.298000000200,1723728.638500000100,1703225.609250000000,1748658.625000000000,10664792.347250002000
FS( 41 ),1935745.759750000000,1793598.780250000100,1656948.214000000200,1687629.088999999900,1695609.460500000000,1732092.256999999800,10501627.560500000000
FS( 42 ),1910438.243250000100,1846433.945499999700,1672120.776999999800,1697455.414249999900,1703225.609250000000,1727432.966000000000,10557110.955249999000
FS( 43 ),1876797.764000000200,1815461.607249999900,1720167.226500000100,1667906.748249999900,1718627.154500000200,1755647.561499999800,10554612.062000001000
FS( 44 ),1857045.555999999900,1808173.998249999700,1715109.705500000200,1664631.306499999700,1718627.154500000200,1774543.575000000000,10538135.295750000000
FS( 45 ),1845626.310750000200,1784489.268999999600,1703730.283249999900,1681078.205499999900,1703225.609250000000,1755647.561499999800,10473801.239250001000
FS( 46 ),1811985.831500000300,1808173.998249999700,1693615.241250000200,1681078.205499999900,1711011.005750000000,1739340.043000000100,10445208.325250000000
FS( 47 ),1837293.348000000200,1784489.268999999600,1682235.819000000100,1671182.189999999700,1726243.303250000300,1753317.916000000000,10454765.845249999000
FS( 48 ),1828960.385250000100,1815461.607249999900,1688557.720250000000,1667906.748249999900,1764493.294750000100,1769884.283999999800,10535268.039750000000
FS( 49 ),1811985.831500000300,1793598.780250000100,1677178.298000000200,1681078.205499999900,1772109.443500000100,1776873.220500000100,10512827.779250000000
FS( 50 ),1845626.310750000200,1793598.780250000100,1682235.819000000100,1733554.963749999900,1772109.443500000100,1779202.865999999900,10606332.183250001000
FS( 51 ),1904882.934750000000,1748051.223999999900,1682235.819000000100,1743450.979249999900,1764493.294750000100,1783862.156999999900,10626980.408749999000
FS( 52 ),1865378.518750000000,1748051.223999999900,1688557.720250000000,1776275.087000000100,1764493.294750000100,1781532.511499999800,10624292.356249999000
FS( 53 ),1902105.280499999900,1762626.441999999800,1693615.241250000200,1779550.528750000100,1779725.592250000000,1779202.865999999900,10696829.950750001000
FS( 54 ),1952720.313500000200,1755338.832999999900,1708787.804250000000,1772999.645250000100,1787510.988750000000,1800428.524999999900,10777790.109750001000
FS( 55 ),1879575.418250000100,1769914.050999999700,1693615.241250000200,1779550.528750000100,1764493.294750000100,1786191.802500000000,10673344.336500000000
FS( 56 ),1907660.589000000200,1777201.660000000100,1693615.241250000200,1759828.187999999800,1772109.443500000100,1776873.220500000100,10687292.342250001000
FS( 57 ),1910438.243250000100,1815461.607249999900,1698672.762250000100,1779550.528750000100,1764493.294750000100,1800428.524999999900,10769048.961250000000
FS( 58 ),1969694.867249999900,1808173.998249999700,1703730.283249999900,1779550.528750000100,1772109.443500000100,1790851.093500000000,10824114.214499999000
FS( 59 ),1966917.213000000200,1815461.607249999900,1708787.804250000000,1792652.295749999800,1779725.592250000000,1774543.575000000000,10838092.087499999000
FS( 60 ),1904882.934750000000,1800886.389249999800,1708787.804250000000,1769724.203499999800,1756877.146000000200,1757977.206999999900,10699139.684750000000
FS( 61 ),1935745.759750000000,1830036.825249999800,1725224.747500000100,1776275.087000000100,1772109.443500000100,1772213.929499999900,10811609.792500000000
FS( 62 ),1938523.414000000100,1846433.945499999700,1740397.310500000100,1815650.078250000000,1779725.592250000000,1779202.865999999900,10899937.206500001000
FS( 63 ),1907660.589000000200,1861009.163499999800,1746719.211750000000,1822200.961750000000,1779725.592250000000,1781532.511499999800,10898852.029749999000
FS( 64 ),1927412.797000000300,1868296.772500000200,1761891.774750000100,1848474.185999999800,1764493.294750000100,1788521.447999999900,10959094.272999998000
FS( 65 ),1938523.414000000100,1861009.163499999800,1756834.253750000100,1828821.535499999800,1764493.294750000100,1772213.929499999900,10921899.591000000000
FS( 66 ),1924635.142750000100,1868296.772500000200,1761891.774750000100,1828821.535499999800,1787510.988750000000,1783862.156999999900,10955022.371250000000
FS( 67 ),1915993.551750000100,1861009.163499999800,1756834.253750000100,1835372.418999999800,1779725.592250000000,1783862.156999999900,10932801.137250001000
FS( 68 ),1874020.109750000100,1868296.772500000200,1756834.253750000100,1825546.093750000000,1787510.988750000000,1802758.170500000200,10914970.389000000000
FS( 69 ),1904882.934750000000,1882871.990500000100,1783386.239000000100,1805823.752999999800,1802743.286250000100,1821395.334500000100,11001107.538000001000
FS( 70 ),1932968.105499999800,1890159.599500000000,1798558.801999999900,1812374.636500000000,1817975.583749999800,1828643.120500000200,11080683.847750001000
FS( 71 ),1921857.488500000200,1846433.945499999700,1766949.295749999800,1769724.203499999800,1810359.435000000100,1776873.220500000100,10892201.588749999000
FS( 72 ),1918771.206000000000,1875584.381499999700,1778328.718000000100,1786101.412250000100,1825760.980250000000,1802758.170500000200,10987308.868500000000
FS( 73 ),1910438.243250000100,1868296.772500000200,1778328.718000000100,1776275.087000000100,1840993.277750000400,1786191.802500000000,10960527.901000002000
FS( 74 ),1913215.897500000200,1846433.945499999700,1761891.774750000100,1772999.645250000100,1810359.435000000100,1762636.497999999900,10867541.196000000000
FS( 75 ),1907660.589000000200,1868296.772500000200,1778328.718000000100,1805823.752999999800,1825760.980250000000,1772213.929499999900,10958088.742250001000
FS( 76 ),1921857.488500000200,1868296.772500000200,1778328.718000000100,1782825.970499999800,1833377.129000000200,1786191.802500000000,10970881.881000001000
FS( 77 ),1932968.105499999800,1882871.990500000100,1798558.801999999900,1792652.295749999800,1817975.583749999800,1786191.802500000000,11011222.580000000000
FS( 78 ),1966917.213000000200,1890159.599500000000,1798558.801999999900,1855094.759750000000,1817975.583749999800,1802758.170500000200,11131468.128500002000
FS( 79 ),1935745.759750000000,1882871.990500000100,1793501.281000000200,1851749.627749999800,1817975.583749999800,1790851.093500000000,11072699.336250000000
FS( 80 ),1904882.934750000000,1837324.434249999900,1751776.732750000200,1812374.636500000000,1795127.137500000200,1774543.575000000000,10876033.450750001000
FS( 81 ),1882353.072500000200,1846433.945499999700,1761891.774750000100,1805823.752999999800,1802743.286250000100,1769884.283999999800,10869134.116000000000
FS( 82 ),1874020.109750000100,1846433.945499999700,1761891.774750000100,1838647.860750000000,1802743.286250000100,1790851.093500000000,10914592.070499999000
FS( 83 ),1874020.109750000100,1868296.772500000200,1783386.239000000100,1838647.860750000000,1833377.129000000200,1809747.106999999800,11007479.217999998000
FS( 84 ),1924635.142750000100,1875584.381499999700,1788443.760000000000,1845198.744250000000,1883135.967500000000,1847280.284500000100,11164282.280499998000
FS( 85 ),1935745.759750000000,1882871.990500000100,1788443.760000000000,1871471.968500000000,1883135.967500000000,1901379.829999999800,11263053.276249999000
FS( 86 ),1910438.243250000100,1875584.381499999700,1788443.760000000000,1881298.293750000000,1859102.787000000000,1901379.829999999800,11216251.295499999000
FS( 87 ),1902105.280499999900,1882871.990500000100,1793501.281000000200,1845198.744250000000,1850978.895000000000,1896720.539000000100,11171380.730250001000
FS( 88 ),1851490.247500000300,1853721.554499999900,1778328.718000000100,1845198.744250000000,1850978.895000000000,1889731.602500000000,11069453.761750001000
FS( 89 ),1862600.864499999900,1853721.554499999900,1772006.816750000200,1848474.185999999800,1883135.967500000000,1896720.539000000100,11116663.928250000000
FS( 90 ),1896549.972000000100,1899269.110749999800,1798558.801999999900,1871471.968500000000,1907338.395749999700,1936583.362000000200,11309775.611000000000
FS( 91 ),1896549.972000000100,1899269.110749999800,1798558.801999999900,1884643.425749999700,1891259.859500000500,1913286.906999999900,11283572.077000000000
FS( 92 ),1915993.551750000100,1928419.546750000000,1814995.745250000200,1884643.425749999700,1907338.395749999700,1898532.485499999700,11349927.150750000000
FS( 93 ),1904882.934750000000,1935707.155749999900,1814995.745250000200,1884643.425749999700,1867057.431250000100,1886107.709500000100,11293398.402249999000
FS( 94 ),1918771.206000000000,1942994.764750000100,1830168.308249999800,1887918.867499999900,1883135.967500000000,1895943.990499999800,11358937.104499999000
FS( 95 ),1935745.759750000000,1952104.275999999800,1846605.251500000000,1940465.315999999900,1907338.395749999700,1895943.990499999800,11478206.989499999000
FS( 96 ),1944387.350750000200,1959391.885000000000,1851662.772500000200,1940465.315999999900,1899383.751500000200,1876271.428499999900,11471566.504250001000
FS( 97 ),1963830.930500000000,1952104.275999999800,1851662.772500000200,1838647.860750000000,1891259.859500000500,1861517.006999999800,11359026.706250001000
FS( 98 ),1981731.369000000200,1959391.885000000000,1851662.772500000200,1825546.093750000000,1899383.751500000200,1876271.428499999900,11393991.300250001000
FS( 99 ),1975867.432250000100,1952104.275999999800,1846605.251500000000,1832096.977249999800,1859102.787000000000,1873941.783000000100,11339722.506999999000
FS( 100 ),1970003.495500000000,1952104.275999999800,1851662.772500000200,1832096.977249999800,1843024.250750000100,1861517.006999999800,11310412.778999999000
FS( 101 ),2005187.116000000200,1952104.275999999800,1851662.772500000200,1901020.634499999900,1843024.250750000100,1851680.726000000000,11404683.775750000000
FS( 102 ),2005187.116000000200,1959391.885000000000,1851662.772500000200,1901020.634499999900,1859102.787000000000,1851680.726000000000,11428049.921000000000
FS( 103 ),1993459.242499999900,1959391.885000000000,1861777.814499999900,1910916.649999999900,1875181.323250000100,1827090.023499999900,11427820.938749999000
FS( 104 ),1981731.369000000200,1935707.155749999900,1873157.236750000200,1897745.192750000200,1843024.250750000100,1822171.883000000100,11353541.088000000000
FS( 105 ),2008273.398499999700,1959391.885000000000,1878214.757750000100,1910916.649999999900,1859102.787000000000,1844174.090499999900,11460077.568750001000
FS( 106 ),2020001.272000000300,1935707.155749999900,1873157.236750000200,1901020.634499999900,1850978.895000000000,1851680.726000000000,11432549.920000000000
FS( 107 ),2025865.208750000000,1928419.546750000000,1861777.814499999900,1888894.531000000000,1850978.895000000000,1836926.304499999900,11392866.300500000000
FS( 108 ),2046234.673250000200,1935707.155749999900,1856720.293500000100,1871959.800249999900,1850978.895000000000,1822171.883000000100,11383776.700749999000
FS( 109 ),2081726.922000000300,1952104.275999999800,1899709.222000000100,1905759.571499999600,1859102.787000000000,1836926.304499999900,11535333.083000001000
FS( 110 ),2131724.698499999900,1981254.712000000100,1935111.869000000200,1885479.708749999800,1899383.751500000200,1866435.147500000000,11699393.887250002000
FS( 111 ),2140674.917750000000,1995829.929999999900,1935111.869000000200,1892239.662999999900,1923416.932000000000,1859187.361499999900,11746464.673249999000
FS( 112 ),2167216.947250000200,2019514.659250000000,1952813.192500000100,1932799.388500000100,1923416.932000000000,1883778.064000000000,11879543.183499999000
FS( 113 ),2069999.048499999800,2019514.659250000000,1941433.770250000100,1929384.566249999900,1931540.824000000000,1869023.642499999800,11760900.510750001000
FS( 114 ),2075862.985249999700,2019514.659250000000,1935111.869000000200,1929384.566249999900,1939495.468250000200,1883778.064000000000,11783151.612000000000
FS( 115 ),2078640.639500000300,2019514.659250000000,1912353.024500000100,1926039.434249999900,1939495.468250000200,1836926.304499999900,11712973.530250002000
FS( 116 ),2052407.238250000200,2012227.050249999600,1923732.446749999900,1926039.434249999900,1915462.287749999900,1841844.444999999800,11671716.902249999000
FS( 117 ),2008273.398499999700,2004939.441250000100,1930054.348000000200,1942904.474750000100,1907338.395749999700,1869023.642499999800,11662537.700750001000
FS( 118 ),2028642.863000000400,2019514.659250000000,1923732.446749999900,1932799.388500000100,1907338.395749999700,1859187.361499999900,11671219.114750002000
FS( 119 ),2034506.799750000200,2019514.659250000000,1906031.123250000200,1919279.480000000000,1867057.431250000100,1859187.361499999900,11605580.855000002000
FS( 120 ),2031729.145500000100,1995829.929999999900,1888329.799750000000,1919279.480000000000,1875181.323250000100,1844174.090499999900,11554527.769000001000
FS( 121 ),2025865.208750000000,1988542.321000000000,1899709.222000000100,1885479.708749999800,1875181.323250000100,1859187.361499999900,11533969.145250000000
FS( 122 ),2016914.989499999900,2004939.441250000100,1888329.799750000000,1909104.703499999800,1907338.395749999700,1871353.287999999700,11597984.617750000000
FS( 123 ),2025865.208750000000,2012227.050249999600,1917410.545500000000,1902414.439499999900,1915462.287749999900,1871353.287999999700,11644736.819750000000
FS( 124 ),2028642.863000000400,2012227.050249999600,1917410.545500000000,1915864.657750000000,1915462.287749999900,1856598.866500000200,11646210.270749999000
FS( 125 ),2028642.863000000400,2012227.050249999600,1912353.024500000100,1892239.662999999900,1899383.751500000200,1864105.501999999900,11608955.854250001000
FS( 126 ),2028642.863000000400,2004939.441250000100,1917410.545500000000,1898999.617249999900,1899383.751500000200,1859187.361499999900,11608567.580000002000
FS( 127 ),2005187.116000000200,2021336.561500000100,1906031.123250000200,1902414.439499999900,1867057.431250000100,1836926.304499999900,11538956.976000002000
