代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12832574.304750001000
真實報酬,2832574.304750001100

夏普值報酬,0.274557430475
夏普值風險,0.084355254809
夏普值,3.254775663904

預期報酬,27166.495726989222
風險,186978.657726781380
起點值,0.145291960362
找到最佳解世代,3155
找到最佳解實驗#,1
找到最佳解次數,39

投資組合檔數,4
2881(30),3045(42),4904(45),4938(46),
Stock#,2881(30),3045(42),4904(45),4938(46),
張數,62,31,49,51,
FS( 54 ),2602687.314000000200,2684148.517250000000,2944160.549000000100,3127798.384750000200,11358794.765000001000
FS( 55 ),2548985.998500000700,2636311.138499999900,2914402.812250000400,3058745.302749999800,11158445.252000000000
FS( 56 ),2552072.281000000900,2673346.528500000500,2910500.158250000300,3063314.992000000100,11199233.959750002000
FS( 57 ),2592193.953500000300,2723652.933249999800,2935379.577500000100,2976998.639500000000,11228225.103750000000
FS( 58 ),2642808.986500000600,2694641.877750000500,2973430.454000000400,3145061.655249999800,11455942.973500000000
FS( 59 ),2669351.016000000300,2710381.918499999700,2977820.939750000400,3115104.803500000400,11472658.677750001000
FS( 60 ),2682930.659000000500,2710381.918499999700,2990016.733500000100,3115104.803500000400,11498434.114500001000
FS( 61 ),2669351.016000000300,2723652.933249999800,2998797.705000000100,3097841.532999999800,11489643.187249999000
FS( 62 ),2687868.711000000600,2723652.933249999800,3015383.984499999800,3123736.438750000200,11550642.067500001000
FS( 63 ),2693424.019500000900,2697419.531999999700,3010993.498749999800,3119166.749499999900,11521003.799750000000
FS( 64 ),2709472.688500000600,2723652.933249999800,3032458.095750000300,3136430.020000000000,11602013.737500001000
FS( 65 ),2719966.049000000600,2776736.992250000100,3036360.749750000400,3179588.196249999600,11712651.987250000000
FS( 66 ),2709472.688500000600,2816241.408249999900,3103681.531249999500,3166894.614999999800,11796290.243000001000
FS( 67 ),2693424.019500000900,2802970.393499999800,3002700.359000000600,3205483.102000000000,11704577.874000002000
FS( 68 ),2592193.953500000300,2736923.948000000300,2952453.688750000200,3127798.384750000200,11409369.975000001000
FS( 69 ),2618735.983000000500,2710381.918499999700,2981723.593749999500,3093271.843750000000,11404113.339000000000
FS( 70 ),2666881.990000000200,2816241.408249999900,3082704.765999999800,3265904.548750000100,11831732.713000001000
FS( 71 ),2653302.347000000500,2842783.437750000000,3108072.017000000000,3309062.724999999600,11913220.526750000000
FS( 72 ),2626760.317500000800,2908829.883250000000,3254909.373750000300,3244579.332250000000,12035078.906750001000
FS( 73 ),2687868.711000000600,2975184.956999999900,3246616.234000000600,3291799.454500000000,12201469.356500000000
FS( 74 ),2663795.707500000900,2908829.883250000000,3225639.468749999500,3227316.061750000300,12025581.121250002000
FS( 75 ),2650833.321000000500,2842783.437750000000,3187588.592250000200,3261842.602750000100,11943047.953750001000
FS( 76 ),2634784.652000000200,2908829.883250000000,3217346.328999999900,3296369.143749999800,12057330.008000001000
FS( 77 ),2631698.369500001000,2908829.883250000000,3209053.189249999800,3343589.265999999800,12093170.708000001000
FS( 78 ),2653302.347000000500,2856054.452500000100,3191979.077999999700,3511652.281749999600,12212988.159250000000
FS( 79 ),2682930.659000000500,2908829.883250000000,3271983.485000000300,3442599.199750000100,12306343.227000000000
FS( 80 ),2719966.049000000600,2908829.883250000000,3271983.485000000300,3429905.618500000300,12330685.035750000000
FS( 81 ),2714410.740500000300,2908829.883250000000,3275886.139000000000,3425335.929250000000,12324462.692000000000
FS( 82 ),2709472.688500000600,2908829.883250000000,3275886.139000000000,3451230.835000000000,12345419.545750000000
FS( 83 ),2752063.387000000600,2908829.883250000000,3271983.485000000300,3451230.835000000000,12384107.590250000000
FS( 84 ),2741570.026500000200,2922100.898000000000,3267592.999250000300,3641126.810500000100,12572390.734250000000
FS( 85 ),2730459.409500000500,2895558.868499999900,3280276.624750000400,3602538.323499999900,12508833.226250000000
FS( 86 ),2687868.711000000600,2802970.393499999800,3280276.624750000400,3684284.986750000600,12455400.716000002000
FS( 87 ),2687868.711000000600,2856054.452500000100,3233932.608500000100,3680223.040750000600,12458078.812750001000
FS( 88 ),2687868.711000000600,2816241.408249999900,3230029.954500000000,3649758.445750000000,12383898.519500000000
FS( 89 ),2752063.387000000600,2829512.423000000400,3271983.485000000300,3645696.499750000400,12499255.794750001000
FS( 90 ),2762556.747500000500,2869325.467249999800,3275886.139000000000,3593906.688250000100,12501675.041999999000
FS( 91 ),2746508.078500000300,2882596.481999999800,3267592.999250000300,3464432.159500000500,12361129.719250001000
FS( 92 ),2741570.026500000200,2882596.481999999800,3230029.954500000000,3563442.093249999500,12417638.556249999000
FS( 93 ),2821196.115000000200,2882596.481999999800,3204662.703499999800,3503020.646499999300,12411475.946999999000
FS( 94 ),2816258.063000001000,2895558.868499999900,3271983.485000000300,3528915.552250000200,12512715.968750002000
FS( 95 ),2826751.423500000500,2882596.481999999800,3230029.954500000000,3662959.770250000100,12602337.630249999000
FS( 96 ),2858848.761500000500,2895558.868499999900,3305643.875750000100,3675653.351500000300,12735704.857250001000
FS( 97 ),2965634.136000000900,2935371.912750000100,3385160.451000000400,3766031.649999999900,13052198.149750002000
FS( 98 ),2965634.136000000900,2975184.956999999900,3334913.780750000800,3783294.920500000000,13059027.794250000000
FS( 99 ),2992176.165500000100,2895558.868499999900,3297350.736000000000,3736074.798250000000,12921160.568250000000
FS( 100 ),2987238.113500000400,2961913.942249999800,3246616.234000000600,3723381.216999999700,12919149.506750001000
FS( 101 ),2949585.467000000600,2961913.942249999800,3242225.748250000200,3688854.676000000400,12842579.833500002000
FS( 102 ),2939092.106500000700,2935371.912750000100,3191979.077999999700,3723381.216999999700,12789824.314250000000
FS( 103 ),2906994.768500000700,2922100.898000000000,3171002.312750000500,3835084.732000000300,12835182.711250002000
FS( 104 ),2960078.827500000600,2908829.883250000000,3212955.843250000800,3874180.962250000300,12956045.516250001000
FS( 105 ),2939092.106500000700,2856054.452500000100,3187588.592250000200,3835084.732000000300,12817819.883250002000
FS( 106 ),3024273.503500000600,2922100.898000000000,3166611.827000000000,3835084.732000000300,12948070.960500002000
FS( 107 ),3142169.495000000600,2922100.898000000000,3196369.563750000200,3843716.367250000100,13104356.324000001000
FS( 108 ),3126120.826000000800,2922100.898000000000,3221248.983000000000,3865549.327000000000,13135020.034000002000
FS( 109 ),3035384.120500000700,2961913.942249999800,3196369.563750000200,3831022.785999999800,13024690.412500001000
FS( 110 ),3024273.503500000600,2908829.883250000000,3171002.312750000500,3736074.798250000000,12840180.497750003000
FS( 111 ),3019335.451500000400,2948642.927500000200,3166611.827000000000,3761969.703999999900,12896559.910000000000
FS( 112 ),3098961.540000000500,2922100.898000000000,3233932.608500000100,3860979.637750000200,13115974.684250001000
FS( 113 ),3098961.540000000500,2948642.927500000200,3230029.954500000000,3904137.814000000200,13181772.236000001000
FS( 114 ),3082912.871000000300,3001418.358250000000,3200272.217749999800,3852348.002500000400,13136951.449500002000
FS( 115 ),3045877.481000001100,2975184.956999999900,3179295.452499999700,3986392.220499999800,13186750.111000001000
FS( 116 ),3072419.510500000300,2988147.343499999500,3212955.843250000800,3813759.515500000200,13087282.212750001000
FS( 117 ),3029828.812000000800,2975184.956999999900,3196369.563750000200,3710179.892499999600,12911563.225250002000
FS( 118 ),3056370.841500000100,2961913.942249999800,3196369.563750000200,3766031.649999999900,12980685.997500001000
FS( 119 ),2960078.827500000600,2961913.942249999800,3204662.703499999800,3706117.946499999600,12832773.419750001000
FS( 120 ),2981682.805000000600,2961913.942249999800,3175392.798500000000,3649758.445750000000,12768747.991500000000
FS( 121 ),3003286.782500000700,2948642.927500000200,3209053.189249999800,3671591.405500000300,12832574.304750001000
