代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11461636.634500001000
真實報酬,1461636.634500000600

夏普值報酬,0.137463663450
夏普值風險,0.044015755107
夏普值,3.123055894782

預期報酬,13977.781537805953
風險,98179.975821013446
起點值,0.142368964964
找到最佳解世代,2749
找到最佳解實驗#,1
找到最佳解次數,45

投資組合檔數,10
1303(4),1326(5),2002(8),2317(16),2330(18),2408(23),2885(34),2886(35),3008(41),3481(43),
Stock#,1303(4),1326(5),2002(8),2317(16),2330(18),2408(23),2885(34),2886(35),3008(41),3481(43),
張數,17,13,47,13,5,27,92,49,0,91,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,36088.380499999999,14367.472250000117,10652.185500000116,50558.971749999881,159303.712499999990,27426.054250000117,10511.986000000001,14677.914000000001,1000000.000000000000,3952.652250000000,
FS( 1 ),998628.380499999970,998597.472249999990,998592.185500000020,998648.971750000030,998803.712500000020,998616.054250000040,998591.986000000030,998597.913999999990,1000000.000000000000,998582.652250000040,9987659.328999999900
FS( 2 ),997584.848249999920,1012620.569000000000,1005450.637000000100,1011796.589999999900,999917.463750000000,1000769.864500000300,994219.732000000080,1001073.712500000000,1000000.000000000000,967002.217000000060,9990435.633999999600
FS( 3 ),1011970.906999999800,1019868.355000000100,1021359.925500000100,1024221.365999999900,1009574.541250000000,1013941.321750000400,1016202.028000000200,1030831.449249999900,1000000.000000000000,1007771.013250000100,10155740.907000002000
FS( 4 ),1021618.028749999900,1033328.529000000100,1030718.330500000200,1044152.777499999900,1021620.998750000000,1019048.621500000200,1020781.673000000000,1035709.766750000000,1000000.000000000000,1012300.879500000000,10239279.605250001000
FS( 5 ),1031095.902749999900,1055201.311750000100,1039608.815250000200,1040399.459749999900,1045664.135000000000,1028188.000000000000,1025361.318000000100,1040100.252500000100,1000000.000000000000,1003241.147000000000,10308860.342000000000
FS( 6 ),1026356.965750000000,1056495.559250000200,1037269.214000000300,1027974.683749999900,1040885.375000000000,1043778.704500000300,1029025.034000000000,1056198.700250000200,1000000.000000000000,1003241.147000000000,10321225.383500000000
