代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12158785.038750000000
真實報酬,2158785.038750000300

夏普值報酬,0.207178503875
夏普值風險,0.056294946097
夏普值,3.680232742717

預期報酬,16725.055226359425
風險,93038.812586652974
起點值,0.179764280749
找到最佳解世代,3706
找到最佳解實驗#,3
找到最佳解次數,11

投資組合檔數,11
1102(1),2308(14),2409(23),2412(24),2454(25),2882(31),2887(36),2912(40),3008(41),3045(42),4938(46),
Stock#,1102(1),2308(14),2409(23),2412(24),2454(25),2882(31),2887(36),2912(40),3008(41),3045(42),4938(46),
張數,29,6,100,11,2,25,88,5,0,12,27,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,2129.420250000000,34245.120000000119,8808.924999999999,74542.462000000000,147886.829000000000,17821.750000000000,5804.650000000000,84466.583750000005,909090.000000000000,39412.472999999998,13034.938500000000,
FS( 1 ),907799.420249999970,907845.120000000000,907808.925000000050,907902.462000000060,908006.829000000030,907821.750000000000,907804.650000000020,907916.583749999990,909090.000000000000,907852.473000000000,907814.938500000050,9987673.151500001500
FS( 2 ),902636.963499999950,883132.099500000240,894870.675000000050,900600.906750000080,896240.645000000020,890692.131249999980,894176.134000000080,908703.126250000200,909090.000000000000,900186.617999999780,896060.184750000010,9876399.483999999200
FS( 3 ),902636.963499999950,917001.561000000220,898852.975000000090,905967.056000000100,905499.492500000050,891936.599999999860,901184.982000000080,917563.743750000140,909090.000000000000,903053.874000000070,914607.746999999970,9967404.994750000500
FS( 4 ),904946.697500000010,927395.364000000290,907813.149999999910,909580.993250000060,929871.168500000030,909856.950000000070,907317.723999999930,961866.831249999930,909090.000000000000,905921.130000000000,919177.436250000140,10092847.444750000000
FS( 5 ),913319.483250000050,917001.561000000220,903830.850000000090,910457.099249999970,943331.342500000030,912843.675000000050,907317.723999999930,948575.905000000030,909090.000000000000,909863.606999999960,915951.773250000090,10091593.020250000000
FS( 6 ),907545.148249999850,901351.122000000090,880932.625000000000,910457.099249999970,941638.865000000110,899901.199999999950,903813.300000000050,944145.596249999940,909090.000000000000,912730.862999999900,911382.084000000030,10022997.902750000000
