代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11464049.444750002000
真實報酬,1464049.444750001700

夏普值報酬,0.137704944475
夏普值風險,0.043178446050
夏普值,3.189205658644

預期報酬,13188.826328820751
風險,64735.237899932668
起點值,0.203734886233
找到最佳解世代,3408
找到最佳解實驗#,1
找到最佳解次數,27

投資組合檔數,9
2317(15),2324(16),2325(17),2412(25),2887(37),2892(40),2912(41),4904(45),5880(47),
Stock#,2317(15),2324(16),2325(17),2412(25),2887(37),2892(40),2912(41),4904(45),5880(47),
張數,13,63,24,11,101,68,4,16,84,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,57782.142249999997,5778.142000000000,15151.480000000000,59224.194250000233,10665.096000000000,14069.941000000001,216277.677000000000,16273.076000000001,4095.748000000000,
FS( 1 ),1109612.142250000000,1109538.142000000000,1109551.480000000000,1109614.194249999900,1109545.095999999900,1109549.941000000100,1109837.676999999900,1109553.075999999900,1109535.747999999900,9986338.496500000400
FS( 2 ),1099910.229249999900,1104654.004000000000,1112593.713999999900,1104966.218500000000,1109710.205750000000,1108087.397000000100,1109746.505000000100,1107741.859999999900,1107989.308000000000,9965400.441499998800
FS( 3 ),1116088.323000000100,1110298.914249999900,1119522.916000000000,1110113.341250000300,1114737.859500000000,1120273.235000000100,1102020.842999999900,1113794.956000000200,1123878.684999999800,10030730.073000003000
FS( 4 ),1126054.028750000100,1113434.975499999900,1121912.295999999900,1115369.977250000200,1132837.412999999900,1129751.109000000200,1107835.000999999900,1110768.407999999800,1135586.646999999900,10093550.855500001000
FS( 5 ),1147279.687750000300,1110298.914249999900,1119522.916000000000,1110113.341250000300,1127809.759249999900,1127043.145000000000,1102020.842999999900,1113794.956000000200,1138931.779000000100,10096816.341500003000
FS( 6 ),1164622.604250000100,1104654.004000000000,1125257.427999999800,1104966.218500000000,1123787.636250000000,1129751.109000000200,1100109.338999999900,1115387.876000000200,1138931.779000000100,10107468.993999999000
FS( 7 ),1167211.099250000000,1113434.975499999900,1135770.700000000000,1115369.977250000200,1137865.066750000000,1135844.028000000200,1094335.004000000000,1109334.779999999800,1143113.193999999900,10152279.824750001000
FS( 8 ),1177176.804999999900,1125352.008250000400,1144850.344000000000,1115369.977250000200,1132837.412999999900,1139228.983000000200,1090472.173000000000,1106308.232000000300,1143113.193999999900,10174710.129500002000
FS( 9 ),1178341.627750000000,1125352.008250000400,1144850.344000000000,1115369.977250000200,1132837.412999999900,1139228.983000000200,1082746.510999999900,1115387.876000000200,1147294.608999999700,10181410.349250000000
FS( 10 ),1189601.581000000200,1137269.041000000000,1143894.591999999900,1115369.977250000200,1137865.066750000000,1145321.902000000000,1088520.845999999900,1109334.779999999800,1158166.287999999700,10225345.074000001000
FS( 11 ),1190766.403750000100,1149186.073750000000,1141505.212000000100,1115369.977250000200,1150936.966499999900,1148706.857000000100,1094335.004000000000,1115387.876000000200,1158166.287999999700,10264361.658250000000
FS( 12 ),1178341.627750000000,1139777.889999999900,1136965.390000000400,1115369.977250000200,1137865.066750000000,1145321.902000000000,1088520.845999999900,1122874.600000000100,1154821.156000000000,10219859.455750000000
FS( 13 ),1177176.804999999900,1130996.918500000100,1135770.700000000000,1120626.613250000400,1137865.066750000000,1145321.902000000000,1088520.845999999900,1131954.243999999900,1158166.287999999700,10226400.383499999000
FS( 14 ),1179635.875250000300,1130996.918500000100,1133381.319999999600,1120626.613250000400,1132837.412999999900,1145321.902000000000,1096246.507999999900,1136573.711999999800,1150639.740999999900,10226261.002999999000
FS( 15 ),1184554.015750000000,1142913.951249999700,1132186.629999999900,1115369.977250000200,1141887.189749999900,1145321.902000000000,1090472.173000000000,1128927.696000000000,1150639.740999999900,10232274.276000001000
FS( 16 ),1184554.015750000000,1146050.012500000000,1132186.629999999900,1115369.977250000200,1141887.189749999900,1145321.902000000000,1084658.014999999900,1130520.615999999900,1154821.156000000000,10235370.514249999000
FS( 17 ),1182094.945500000100,1139777.889999999900,1132186.629999999900,1125883.249250000100,1137865.066750000000,1135844.028000000200,1084658.014999999900,1138007.340000000300,1143113.193999999900,10219431.358500000000
FS( 18 ),1172129.239750000200,1142913.951249999700,1131230.877999999800,1125883.249250000100,1137865.066750000000,1148706.857000000100,1086609.341999999900,1138007.340000000300,1138931.779000000100,10222278.703000002000
FS( 19 ),1165916.851750000100,1130996.918500000100,1133381.319999999600,1120626.613250000400,1123787.636250000000,1148706.857000000100,1078883.679999999900,1139600.260000000200,1138931.779000000100,10180832.915750001000
FS( 20 ),1173423.487250000200,1146050.012500000000,1128841.497999999900,1125883.249250000100,1132837.412999999900,1152091.812000000200,1084658.014999999900,1138007.340000000300,1147294.608999999700,10229088.435999999000
FS( 21 ),1163457.781500000300,1160475.894249999900,1130036.187999999800,1131030.372000000400,1127809.759249999900,1152091.812000000200,1080795.184000000100,1138007.340000000300,1147294.608999999700,10230999.940000001000
FS( 22 ),1177176.804999999900,1160475.894249999900,1131230.877999999800,1131030.372000000400,1132837.412999999900,1152091.812000000200,1080795.184000000100,1153299.372000000000,1147294.608999999700,10266233.339249998000
FS( 23 ),1184554.015750000000,1157967.045250000200,1130036.187999999800,1131030.372000000400,1132837.412999999900,1152091.812000000200,1084658.014999999900,1154733.000000000000,1150639.740999999900,10278548.602000000000
FS( 24 ),1187142.510750000100,1154830.983999999900,1128841.497999999900,1136287.008000000100,1132837.412999999900,1152091.812000000200,1084658.014999999900,1153299.372000000000,1147294.608999999700,10277284.221749999000
FS( 25 ),1169670.169500000100,1125352.008250000400,1125257.427999999800,1141543.644000000100,1127809.759249999900,1158184.730999999700,1080795.184000000100,1141033.887999999800,1147294.608999999700,10216942.421000000000
FS( 26 ),1177176.804999999900,1137269.041000000000,1124301.676000000000,1136287.008000000100,1132837.412999999900,1154799.776000000500,1076972.176000000000,1145653.356000000100,1143113.193999999900,10228411.445000000000
FS( 27 ),1178341.627750000000,1151694.922749999900,1128841.497999999900,1141543.644000000100,1137865.066750000000,1164277.650000000100,1109746.505000000100,1145653.356000000100,1150639.740999999900,10308605.011250000000
FS( 28 ),1178341.627750000000,1163611.955500000200,1134576.010000000000,1141543.644000000100,1141887.189749999900,1176463.488000000400,1130972.163999999900,1151706.452000000000,1150639.740999999900,10369743.272000002000
FS( 29 ),1179635.875250000300,1157967.045250000200,1133381.319999999600,1136287.008000000100,1141887.189749999900,1176463.488000000400,1132923.490999999900,1139600.260000000200,1154821.156000000000,10352967.833250001000
FS( 30 ),1189601.581000000200,1172392.927000000400,1138160.080000000100,1146800.280000000300,1141887.189749999900,1183233.398000000000,1156060.653999999900,1151706.452000000000,1158166.287999999700,10438009.849750001000
FS( 31 ),1195813.969000000300,1196226.992499999900,1138160.080000000100,1157204.038750000300,1150936.966499999900,1173755.524000000000,1150286.318999999900,1153299.372000000000,1158166.287999999700,10473850.549750000000
FS( 32 ),1194519.721500000000,1189954.869999999600,1138160.080000000100,1167717.310750000200,1155964.620249999900,1170370.568999999900,1161874.811999999900,1148679.904000000100,1154821.156000000000,10482064.043499999000
FS( 33 ),1197108.216500000100,1181173.898499999900,1136965.390000000400,1167717.310750000200,1160992.273999999700,1173755.524000000000,1179237.639999999900,1160786.095999999900,1158166.287999999700,10515903.637750000000
