代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10999067.346749999000
真實報酬,999067.346749998630

夏普值報酬,0.091206734675
夏普值風險,0.040912010007
夏普值,2.229338882617

預期報酬,12228.169956576019
風險,177065.028108878090
起點值,0.069060333863
找到最佳解世代,3581
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,8
1216(2),2354(18),2412(24),2474(26),2881(30),2891(38),3008(41),4904(44),
Stock#,1216(2),2354(18),2412(24),2474(26),2881(30),2891(38),3008(41),4904(44),
張數,27,16,15,4,28,81,0,19,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,43002.476000000002,43483.160000000003,7281.646250000000,230749.635000000010,29983.951000000001,11367.460250000000,1250000.000000000000,2204.421500000000,
FS( 1 ),1248282.476000000000,1248283.159999999900,1248231.646250000000,1248549.635000000000,1248263.950999999900,1248237.460250000000,1250000.000000000000,1248224.421499999900,9988072.749999998100
FS( 2 ),1247518.801250000300,1226066.967999999900,1243935.132500000100,1278612.233999999900,1242873.061999999900,1237119.400249999900,1250000.000000000000,1241197.508999999800,9967323.107000000800
FS( 3 ),1276012.157750000000,1220491.747999999900,1247817.875000000000,1284067.985000000100,1271864.205999999800,1255666.962499999900,1250000.000000000000,1257465.204500000000,10063386.138750002000
FS( 4 ),1285420.341499999900,1230367.852000000000,1250505.927500000000,1267700.731999999800,1276603.142999999700,1267763.198750000000,1250000.000000000000,1258978.478500000000,10087339.673249999000
FS( 5 ),1297247.772500000000,1210615.643999999900,1250505.927500000000,1245877.728000000100,1269355.357000000300,1270182.445999999800,1250000.000000000000,1255762.771249999800,10049547.646250000000
FS( 6 ),1299398.214500000000,1190863.436000000000,1245279.158749999900,1251333.478999999800,1267125.268999999900,1258086.209749999900,1250000.000000000000,1241197.508999999800,10003283.275999999000
FS( 7 ),1292409.277999999900,1193730.691999999800,1250505.927500000000,1264076.839000000200,1303085.438000000100,1255666.962499999900,1250000.000000000000,1231361.228000000100,10040836.365000000000
FS( 8 ),1299398.214500000000,1169836.891999999800,1250505.927500000000,1264076.839000000200,1300855.350000000100,1258086.209749999900,1250000.000000000000,1257465.204500000000,10050224.637249999000
FS( 9 ),1299398.214500000000,1176845.740000000000,1256927.386250000000,1278612.233999999900,1305594.287000000000,1255666.962499999900,1250000.000000000000,1241197.508999999800,10064242.333249999000
FS( 10 ),1299398.214500000000,1175412.112000000000,1262154.154999999800,1294979.487000000200,1320089.859000000200,1255666.962499999900,1250000.000000000000,1270517.192749999900,10128217.982749999000
FS( 11 ),1306655.956250000000,1171270.520000000000,1284106.583750000000,1298643.203000000000,1368315.512000000100,1273408.108999999900,1250000.000000000000,1301350.150500000000,10253750.034499999000
FS( 12 ),1301817.461749999800,1176845.740000000000,1287989.326249999900,1291355.594000000000,1368315.512000000100,1279859.435000000100,1250000.000000000000,1281866.747750000100,10238049.816750001000
FS( 13 ),1287839.588750000100,1181146.624000000100,1279029.151249999900,1274988.341000000000,1380302.234999999900,1279859.435000000100,1250000.000000000000,1267301.485499999700,10200466.860500000000
FS( 14 ),1278162.599750000100,1155659.903999999900,1276341.098749999900,1282236.127000000100,1378072.146999999900,1264537.535750000000,1250000.000000000000,1247628.923500000000,10132638.335750001000
FS( 15 ),1271173.663250000000,1147217.428000000100,1276341.098749999900,1274988.341000000000,1361067.725999999800,1264537.535750000000,1250000.000000000000,1245926.490250000000,10091252.283000000000
FS( 16 ),1297247.772500000000,1158527.159999999900,1276341.098749999900,1262244.980999999900,1356328.788999999900,1264537.535750000000,1250000.000000000000,1226443.087499999900,10091670.424500000000
FS( 17 ),1276012.157750000000,1178279.367999999800,1276341.098749999900,1282236.127000000100,1341833.217000000200,1252441.299500000200,1250000.000000000000,1218309.239750000200,10075452.507750001000
FS( 18 ),1271173.663250000000,1190863.436000000000,1276341.098749999900,1315010.456000000000,1365806.663000000200,1261311.872750000100,1250000.000000000000,1234576.935250000100,10165084.125000000000
FS( 19 ),1278162.599750000100,1178279.367999999800,1266036.897500000200,1311346.740000000000,1356328.788999999900,1255666.962499999900,1250000.000000000000,1224740.654249999900,10120562.011000000000
