代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12241962.607999999000
真實報酬,2241962.607999999100

夏普值報酬,0.215496260800
夏普值風險,0.080663654722
夏普值,2.671541000013

預期報酬,23551.464399471799
風險,234655.777488438150
起點值,0.100366011234
找到最佳解世代,3774
找到最佳解實驗#,1
找到最佳解次數,40

投資組合檔數,4
2317(16),2474(26),2882(31),2887(36),
Stock#,2317(16),2474(26),2882(31),2887(36),
張數,43,12,70,248,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,17517.496250000000,92974.869999999530,7252.889999999534,9015.397999999999,
FS( 1 ),2496467.496249999900,2496574.870000000100,2496452.890000000100,2496455.398000000000,9985950.654249999700
FS( 2 ),2485498.142499999600,2523452.205999999300,2477075.349999999200,2478041.398000000000,9964067.096499998100
FS( 3 ),2485498.142499999600,2550332.730999999200,2488225.789999999600,2485448.476000000300,10009505.139499998000
FS( 4 ),2488494.823249999900,2518076.100999999300,2496588.619999999600,2478041.398000000000,9981200.942249998500
FS( 5 ),2491491.503999999700,2512699.995999999800,2502163.839999999900,2522483.865999999900,10028839.206000000000
FS( 6 ),2494060.087499999900,2544956.625999999700,2502163.839999999900,2522483.865999999900,10063664.419499999000
FS( 7 ),2502622.032499999700,2518076.100999999300,2546765.599999999200,2549643.151999999800,10117106.885499999000
FS( 8 ),2482501.461750000200,2496691.149999999000,2532827.549999999800,2539767.048000000000,10051787.209749999000
FS( 9 ),2497056.768249999700,2485938.940000000400,2507739.060000000500,2532359.969999999700,10023094.738250000000
FS( 10 ),2514180.658249999900,2459058.415000000500,2482650.569999999400,2512607.762000000600,9968497.405249999800
FS( 11 ),2522742.603249999700,2587845.997000000000,2468712.519999999600,2505200.683999999900,10084501.804250000000
FS( 12 ),2534301.228999999800,2657615.892999999700,2479862.960000000000,2495324.580000000100,10167104.662000000000
FS( 13 ),2537297.909750000100,2636111.472999999800,2477075.349999999200,2505200.683999999900,10155685.416749999000
FS( 14 ),2534301.228999999800,2657615.892999999700,2477075.349999999200,2485448.476000000300,10154440.947999999000
FS( 15 ),2531304.548250000000,2722009.683999999900,2507739.060000000500,2485448.476000000300,10246501.768250000000
FS( 16 ),2554421.799749999800,2743514.103999999800,2499376.229999999500,2478041.398000000000,10275353.531749999000
FS( 17 ),2554421.799749999800,2915191.056999999600,2479862.960000000000,2460758.216000000000,10410234.032749999000
FS( 18 ),2508615.393999999900,2845421.160999999400,2434564.297499999900,2478041.398000000000,10266642.250499999000
FS( 19 ),2491491.503999999700,3033226.428999999500,2412263.417499999500,2495324.580000000100,10432305.930499999000
FS( 20 ),2531304.548250000000,3027850.324000000000,2426201.467500000300,2505200.683999999900,10490557.023750000000
FS( 21 ),2497056.768249999700,2823916.740999999500,2398325.367500000200,2468165.294000000200,10187464.170750000000
FS( 22 ),2559987.063999999800,2850797.265999999400,2398325.367500000200,2495324.580000000100,10304434.277500000000
FS( 23 ),2556990.383250000000,2990217.588999999700,2381599.707499999600,2505200.683999999900,10434008.363750000000
FS( 24 ),2565552.328249999800,2958080.427999999800,2496588.619999999600,2539767.048000000000,10559988.424249999000
FS( 25 ),2559987.063999999800,2899062.741999999600,2465924.909999999700,2539767.048000000000,10464741.764000000000
FS( 26 ),2568549.009000000500,2872182.216999999200,2532827.549999999800,2549643.151999999800,10523201.927999999000
FS( 27 ),2577110.953999999900,2877558.321999999700,2513314.280000000300,2532359.969999999700,10500343.526000001000
FS( 28 ),2528307.867499999700,2845421.160999999400,2499376.229999999500,2539767.048000000000,10412872.306499999000
FS( 29 ),2534301.228999999800,2893686.636999999600,2504951.449999999700,2559519.256000000100,10492458.572000001000
FS( 30 ),2542863.174000000100,2904438.846999999600,2530039.939999999500,2549643.151999999800,10526985.112999998000
FS( 31 ),2554421.799749999800,2893686.636999999600,2521677.109999999900,2594085.619999999600,10563871.166749999000
FS( 32 ),2559987.063999999800,2915191.056999999600,2546765.599999999200,2603961.723999999900,10625905.444999998000
FS( 33 ),2588669.579749999600,2968832.637999999800,2543977.989999999800,2603961.723999999900,10705441.931750000000
FS( 34 ),2611358.734000000600,2952704.322999999900,2527252.329999999600,2584209.516000000300,10675524.903000001000
FS( 35 ),2594234.844000000000,2925943.266999999500,2527252.329999999600,2576802.438000000500,10624232.879000001000
FS( 36 ),2651599.875499999600,2990217.588999999700,2532827.549999999800,2584209.516000000300,10758854.530499998000
FS( 37 ),2680282.391249999900,3097620.219999999700,2541190.379999999400,2603961.723999999900,10923054.715249998000
FS( 38 ),2665727.084749999900,3108372.429999999700,2543977.989999999800,2603961.723999999900,10922039.228750000000
FS( 39 ),2674717.126999999900,3070739.694999999800,2549553.210000000000,2611368.801999999700,10906378.833999999000
FS( 40 ),2691841.017000000000,3070739.694999999800,2583701.432499999600,2638528.088000000500,10984810.232499998000
FS( 41 ),2694409.600499999700,3065363.590000000300,2589276.652499999900,2648404.192000000300,10997454.035000000000
FS( 42 ),2663158.501249999700,2968832.637999999800,2583701.432499999600,2682970.555999999900,10898663.127749998000
FS( 43 ),2680282.391249999900,3054611.379999999900,2597639.482499999500,2675563.477999999700,11008096.731750000000
FS( 44 ),2683279.071999999700,3097620.219999999700,2572550.992500000200,2648404.192000000300,11001854.476499999000
FS( 45 ),2677285.710500000000,3119005.170999999600,2589276.652499999900,2665687.374000000300,11051254.908000000000
FS( 46 ),2685847.655499999900,3140509.590999999500,2592064.262499999700,2658280.296000000100,11076701.805000000000
FS( 47 ),2694409.600499999700,3151261.800999999500,2592064.262499999700,2675563.477999999700,11113299.141999999000
FS( 48 ),2711533.490499999800,3247792.752999999600,2631090.802499999800,2692846.659999999700,11283263.706000000000
FS( 49 ),2702971.545500000000,3247792.752999999600,2628303.192499999400,2720005.946000000000,11299073.436999999000
FS( 50 ),2691841.017000000000,3194151.171999999800,2617152.752499999500,2720005.946000000000,11223150.887499999000
FS( 51 ),2685847.655499999900,3188775.066999999300,2608789.922499999900,2747165.232000000300,11230577.877000000000
FS( 52 ),2671720.446250000000,3140509.590999999500,2619940.362499999800,2757041.336000000100,11189211.735749997000
FS( 53 ),2708964.906999999700,3129757.380999999100,2636666.022500000000,2791607.700000000200,11266996.010499999000
FS( 54 ),2711533.490499999800,3129757.380999999100,2642241.242500000200,2781731.595999999900,11265263.709999997000
FS( 55 ),2705968.226249999800,3167390.115999999500,2645028.852499999600,2774324.518000000200,11292711.712749999000
FS( 56 ),2717526.852000000000,3151261.800999999500,2639453.632499999400,2774324.518000000200,11282566.803499997000
FS( 57 ),2812136.344249999600,3076115.799999998900,2639453.632499999400,2757041.336000000100,11284747.112749998000
FS( 58 ),2829260.234250000200,2904438.846999999600,2663148.317499999400,2747165.232000000300,11144012.630750000000
FS( 59 ),2780457.147750000000,3022474.218999999600,2656876.194999999400,2764448.413999999900,11224255.975749999000
FS( 60 ),2837822.179249999600,3065363.590000000300,2680570.879999999400,2774324.518000000200,11358081.167250000000
FS( 61 ),2840390.762750000200,3043978.639000000000,2686146.099999999200,2757041.336000000100,11327556.837749999000
FS( 62 ),2880631.904249999200,3081491.904999999800,2711931.492500000200,2757041.336000000100,11431096.637750000000
FS( 63 ),2937996.935750000200,3043978.639000000000,2703568.662499999200,2774324.518000000200,11459868.755249999000
