代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12002113.593249997000
真實報酬,2002113.593249997100

夏普值報酬,0.191511359325
夏普值風險,0.057482436215
夏普值,3.331650012347

預期報酬,16094.625976197380
風險,134034.915962082950
起點值,0.120077860762
找到最佳解世代,3149
找到最佳解實驗#,1
找到最佳解次數,45

投資組合檔數,7
2324(16),2330(18),2408(23),2474(27),2884(34),3481(44),5880(47),
Stock#,2324(16),2330(18),2408(23),2474(27),2884(34),3481(44),5880(47),
張數,75,7,30,4,86,113,100,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,6797.856250000000,119317.969249999990,29780.559999999765,266637.601000000020,659.121000000233,6136.915750000000,13557.475000000000,
FS( 1 ),1426547.856250000000,1426707.969250000100,1426580.560000000100,1426917.601000000000,1426539.121000000000,1426546.915749999900,1426557.475000000100,9986400.498250000200
FS( 2 ),1420265.462499999900,1410817.682250000100,1439216.087499999400,1448863.002000000100,1420229.602000000200,1414636.602749999800,1424287.250000000000,9978318.688999999300
FS( 3 ),1403091.793750000000,1407472.550250000100,1423386.444999999800,1429509.024000000000,1420229.602000000200,1464136.591749999900,1429265.125000000000,9977094.131750000600
FS( 4 ),1444905.943750000100,1400712.596000000400,1413231.579999999800,1423734.689000000000,1435641.103000000400,1554136.571749999900,1429265.125000000000,10101630.608500000000
FS( 5 ),1455359.481250000000,1407472.550250000100,1404570.077499999900,1421783.362000000000,1435641.103000000400,1503511.582999999900,1438225.300000000000,10066566.457000000000
FS( 6 ),1427732.274999999900,1407472.550250000100,1384260.347499999900,1417920.531000000000,1435641.103000000400,1599136.561749999900,1429265.125000000000,10101431.493500000000
FS( 7 ),1438185.812500000200,1410817.682250000100,1421893.082500000000,1421783.362000000000,1439065.881000000300,1593511.562999999600,1438225.300000000000,10163485.683250001000
FS( 8 ),1416532.056249999900,1393952.641750000200,1410244.854999999700,1387017.882999999900,1442490.659000000200,1593511.562999999600,1415327.075000000200,10059079.732999999000
FS( 9 ),1413545.331250000000,1383847.555499999800,1397103.264999999900,1388969.210000000000,1438209.686500000100,1648636.550749999900,1415327.075000000200,10085641.673999999000
FS( 10 ),1427732.274999999900,1387262.377750000000,1410244.854999999700,1392832.041000000000,1434784.908500000400,1659886.548250000000,1420304.950000000200,10133050.955499999000
FS( 11 ),1430719.000000000000,1377087.601250000100,1391428.487499999800,1367703.728000000100,1422798.185500000400,1632886.554250000000,1406366.900000000100,10028993.456500001000
FS( 12 ),1438185.812500000200,1380502.423500000000,1374105.482499999900,1385106.379000000000,1422798.185500000400,1582261.565499999800,1397406.725000000100,9980369.573499999900
FS( 13 ),1434452.406250000000,1400712.596000000400,1379780.259999999800,1387017.882999999900,1430503.936000000200,1571011.568000000000,1415327.075000000200,10018808.724250000000
FS( 14 ),1444905.943750000100,1400712.596000000400,1356483.804999999900,1392832.041000000000,1418517.213000000000,1531636.576749999800,1420304.950000000200,9965396.125500001000
FS( 15 ),1444905.943750000100,1414232.504500000000,1400089.989999999800,1441137.340000000100,1434784.908500000400,1643011.551999999900,1424287.250000000000,10202452.488750000000
FS( 16 ),1441172.537499999900,1407472.550250000100,1427866.532500000200,1466225.830000000100,1434784.908500000400,1627261.555500000000,1438225.300000000000,10243012.214250002000
FS( 17 ),1430719.000000000000,1420922.768500000200,1414724.942499999900,1458500.168000000100,1427079.158000000300,1587886.564249999800,1429265.125000000000,10169100.726250000000
FS( 18 ),1427732.274999999900,1431097.544999999900,1427866.532500000200,1464314.326000000100,1418517.213000000000,1582261.565499999800,1429265.125000000000,10181057.582000000000
FS( 19 ),1448639.349999999900,1444547.763250000100,1462512.542499999700,1458500.168000000100,1430503.936000000200,1610386.559249999700,1438225.300000000000,10293318.619000001000
FS( 20 ),1452372.756249999900,1454652.849500000000,1458331.127499999700,1468177.157000000100,1438209.686500000100,1593511.562999999600,1443203.175000000000,10308461.314749999000
FS( 21 ),1452372.756249999900,1454652.849500000000,1475654.132499999800,1477814.323000000100,1434784.908500000400,1637386.553249999900,1452163.350000000100,10384831.873000000000
FS( 22 ),1438185.812500000200,1451307.717499999800,1472667.407500000200,1468177.157000000100,1434784.908500000400,1599136.561749999900,1448181.050000000000,10312443.614750002000
FS( 23 ),1438185.812500000200,1485037.798500000000,1478640.857499999900,1506805.466999999900,1434784.908500000400,1542886.574249999800,1452163.350000000100,10338507.768250000000
FS( 24 ),1441172.537499999900,1491797.752750000000,1492977.137499999700,1568610.763000000000,1422798.185500000400,1469761.590499999700,1457141.225000000100,10344262.191749999000
FS( 25 ),1448639.349999999900,1505247.971000000400,1504625.364999999800,1537708.115000000200,1422798.185500000400,1497886.584249999800,1452163.350000000100,10369071.920750001000
FS( 26 ),1416532.056249999900,1518767.879500000000,1487302.359999999900,1514531.129000000000,1430503.936000000200,1454011.594000000000,1452163.350000000100,10273815.304749999000
FS( 27 ),1423998.868749999900,1508593.102999999900,1510598.814999999700,1499079.804999999900,1434784.908500000400,1448386.595250000000,1452163.350000000100,10277608.445499998000
FS( 28 ),1448639.349999999900,1508593.102999999900,1585864.284999999900,1543482.450000000000,1434784.908500000400,1459636.592750000100,1457141.225000000100,10438144.914249999000
FS( 29 ),1448639.349999999900,1498488.016750000200,1539570.047499999900,1529982.453000000200,1438209.686500000100,1475386.589249999700,1457141.225000000100,10387420.367999999000
FS( 30 ),1452372.756249999900,1495142.884749999700,1519260.317499999900,1553159.439000000000,1453621.187500000000,1459636.592750000100,1462119.100000000100,10395315.277750000000
FS( 31 ),1462826.293750000000,1491797.752750000000,1498950.587499999400,1508716.970999999900,1453621.187500000000,1448386.595250000000,1457141.225000000100,10321443.612749999000
FS( 32 ),1469546.425000000000,1488382.930499999800,1498950.587499999400,1499079.804999999900,1450196.409500000300,1509136.581749999700,1457141.225000000100,10372436.964249998000
FS( 33 ),1452372.756249999900,1501902.839000000200,1489990.412499999600,1493265.647000000100,1450196.409500000300,1475386.589249999700,1457141.225000000100,10320258.878500000000
FS( 34 ),1469546.425000000000,1501902.839000000200,1495963.862499999800,1518393.960000000000,1453621.187500000000,1514761.580499999900,1457141.225000000100,10411334.079499999000
FS( 35 ),1452372.756249999900,1505247.971000000400,1507612.089999999600,1526119.622000000000,1450196.409500000300,1531636.576749999800,1452163.350000000100,10425351.775500000000
FS( 36 ),1452372.756249999900,1515353.057250000100,1507612.089999999600,1514531.129000000000,1453621.187500000000,1537261.575499999600,1462119.100000000100,10442873.895499999000
FS( 37 ),1448639.349999999900,1515353.057250000100,1501638.639999999900,1518393.960000000000,1457902.160000000400,1520386.579250000000,1462119.100000000100,10424435.846500000000
FS( 38 ),1420265.462499999900,1488382.930499999800,1507612.089999999600,1495216.973999999900,1445915.436999999900,1526011.577999999700,1448181.050000000000,10331588.522000000000
FS( 39 ),1448639.349999999900,1515353.057250000100,1524935.095000000200,1502942.636000000200,1445915.436999999900,1531636.576749999800,1457141.225000000100,10426566.377000000000
FS( 40 ),1452372.756249999900,1528872.965750000200,1585864.284999999900,1510668.298000000200,1450196.409500000300,1542886.574249999800,1457141.225000000100,10528005.513750000000
FS( 41 ),1444905.943750000100,1528872.965750000200,1580189.507499999800,1533845.284000000000,1450196.409500000300,1548511.573000000100,1457141.225000000100,10543665.908499999000
FS( 42 ),1448639.349999999900,1549083.138250000100,1612147.464999999600,1576336.425000000000,1453621.187500000000,1599136.561749999900,1466101.400000000100,10705068.527500000000
FS( 43 ),1448639.349999999900,1538978.052000000100,1597512.512499999700,1634278.890000000100,1445915.436999999900,1610386.559249999700,1471079.275000000100,10746793.075750001000
FS( 44 ),1448639.349999999900,1545738.006250000100,1553906.327499999900,1603376.242000000100,1445915.436999999900,1616011.557999999700,1466101.400000000100,10679691.320750000000
FS( 45 ),1430719.000000000000,1555843.092499999800,1562866.502499999700,1634278.890000000100,1445915.436999999900,1587886.564249999800,1471079.275000000100,10688591.761249999000
FS( 46 ),1441172.537499999900,1549083.138250000100,1539570.047499999900,1649730.214000000200,1442490.659000000200,1548511.573000000100,1466101.400000000100,10636662.569250001000
FS( 47 ),1441172.537499999900,1518767.879500000000,1548231.549999999800,1642004.552000000100,1442490.659000000200,1576636.566750000000,1471079.275000000100,10640386.019750001000
FS( 48 ),1441172.537499999900,1522113.011500000000,1539570.047499999900,1624641.723999999900,1442490.659000000200,1548511.573000000100,1466101.400000000100,10584603.952500001000
