代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11819630.420749998000
真實報酬,1819630.420749997700

夏普值報酬,0.173263042075
夏普值風險,0.050156655473
夏普值,3.454437710001

預期報酬,13734.644991769188
風險,147400.557417185160
起點值,0.093179057342
找到最佳解世代,3525
找到最佳解實驗#,2
找到最佳解次數,47

投資組合檔數,5
2311(15),2801(30),2882(33),2912(40),3008(41),
Stock#,2311(15),2801(30),2882(33),2912(40),3008(41),
張數,97,168,70,12,2,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,2838.094000000000,2998.322000000233,5662.112499999999,97813.240999999995,215260.364999999990,
FS( 1 ),1997158.094000000000,1997158.321999999900,1997162.112500000000,1997293.240999999900,1997460.365000000000,9986232.134500000600
FS( 2 ),1969019.072999999900,1969935.938000000100,1973017.870000000300,1999281.845000000000,2046919.250000000000,9958173.975999999800
FS( 3 ),1953567.748999999800,1981643.900000000100,2027376.264999999900,2020069.451000000400,2048771.019499999900,10031428.384500001000
FS( 4 ),1887899.622000000000,1953210.278000000200,1998803.262500000000,1983631.405999999500,2032125.005500000000,9855669.574000001000
FS( 5 ),1903350.946000000200,1953210.278000000200,1998803.262500000000,2004419.011999999900,2008071.913499999800,9867855.412000000500
FS( 6 ),1938116.424999999800,1958227.976000000000,2037829.802500000000,1978494.238999999800,2130189.143000000200,10042857.585500000000
FS( 7 ),1961293.411000000100,1946520.014000000000,2073371.830000000100,2009675.648000000000,2065436.945000000100,10056297.847999999000
FS( 8 ),1899488.115000000200,1918086.392000000200,2045495.730000000000,1988888.041999999900,1974779.885499999900,9826738.164499998100
FS( 9 ),1891762.453000000000,1911396.128000000300,2039920.510000000500,2020069.451000000400,2026569.696999999900,9889718.239000001900
FS( 10 ),1934253.594000000000,1923104.090000000300,2073371.830000000100,2030463.254000000200,2065436.945000000100,10026629.713000001000
FS( 11 ),1965156.241999999900,1911396.128000000300,2047586.437500000000,2030463.254000000200,2037680.314000000000,9992282.375499999200
FS( 12 ),1957430.579999999600,1911396.128000000300,2065705.902499999600,2035600.420999999600,2039532.083500000200,10009665.114999998000
FS( 13 ),1926527.932000000300,1899688.166000000000,2081037.757500000100,2020069.451000000400,2019182.530499999900,9946505.837000001200
FS( 14 ),1899488.115000000200,1958227.976000000000,2096369.612500000000,2025206.618000000000,1921118.392999999900,9900410.714499998800
FS( 15 ),1911076.608000000500,1906378.430000000400,2124942.614999999800,2103100.405999999500,1954410.421000000100,9999908.480000000400
FS( 16 ),1887899.622000000000,1887980.204000000100,2062918.292500000000,2103100.405999999500,1919266.623500000000,9861165.148000000000
FS( 17 ),1911076.608000000500,1923104.090000000300,2068493.512500000000,2123888.012000000100,1917414.854000000100,9943977.076500000400
FS( 18 ),1941979.255999999800,1923104.090000000300,2083825.367500000200,2103100.405999999500,1939616.176499999800,9991625.296000000100
FS( 19 ),1953567.748999999800,1941502.316000000100,2109610.759999999800,2139538.451000000400,1991425.899500000100,10135645.175500000000
FS( 20 ),1972881.904000000100,1946520.014000000000,2096369.612500000000,2144675.618000000200,2035828.544500000100,10196275.693000002000
FS( 21 ),1980607.566000000100,1946520.014000000000,2083825.367500000200,2160326.056999999600,2021034.300000000000,10192313.304500001000
FS( 22 ),1980607.566000000100,1934812.052000000100,2021801.044999999900,2170719.859999999900,1978463.512999999800,10086404.036000000000
FS( 23 ),1980607.566000000100,1941502.316000000100,2053161.657500000000,2165463.224000000400,1911859.545500000000,10052594.309000000000
FS( 24 ),1980607.566000000100,1958227.976000000000,2073371.830000000100,2196644.632999999900,1963669.268500000000,10172521.273500001000
FS( 25 ),1926527.932000000300,1976626.202000000300,2062918.292500000000,2264144.618000000200,1917414.854000000100,10147631.898500001000
FS( 26 ),1969019.072999999900,1988334.163999999900,2145849.690000000400,2264144.618000000200,1934060.868000000000,10301408.413000001000
FS( 27 ),1961293.411000000100,2005059.824000000300,2153515.617499999700,2259007.450999999900,1972928.116000000200,10351804.419500001000
FS( 28 ),1988333.228000000100,2040183.710000000200,2212752.329999999600,2321370.269000000300,2046919.250000000000,10609558.787000000000
FS( 29 ),1988333.228000000100,2040183.710000000200,2240628.429999999700,2316113.632999999900,2009923.683000000000,10595182.684000000000
FS( 30 ),1980607.566000000100,2035166.012000000100,2222508.964999999900,2362945.480999999700,2021034.300000000000,10622262.324000001000
FS( 31 ),1969019.072999999900,2023458.050000000000,2243416.039999999600,2368082.648000000000,2033976.775000000100,10637952.585999999000
