代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13492307.678250002000
真實報酬,3492307.678250001700

夏普值報酬,0.340530767825
夏普值風險,0.090240062910
夏普值,3.773609601353

預期報酬,31332.714222450959
風險,187060.353727346580
起點值,0.167500561172
找到最佳解世代,3228
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,9
1301(3),1303(4),1326(5),2311(13),2325(16),2412(24),2498(27),2883(32),3045(40),
Stock#,1301(3),1303(4),1326(5),2311(13),2325(16),2412(24),2498(27),2883(32),3045(40),
張數,21,23,21,83,55,19,2,172,22,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,18185.797750000002,41929.584499999997,21129.987249999998,11456.221749999768,1832.527500000000,32085.576750000000,149202.230500000010,5297.458000000000,45454.600500000233,
FS( 1 ),1109555.797749999900,1109589.584500000100,1109559.987250000000,1109546.221750000000,1109532.527500000100,1109575.576750000000,1109742.230500000100,1109537.458000000100,1109594.600499999900,9986234.984500002100
FS( 2 ),1116852.588999999900,1120435.982000000300,1113733.726750000100,1141871.899749999600,1106821.220000000200,1104807.683500000000,1095874.586500000000,1104651.196000000200,1103133.569000000100,10008183.452500001000
FS( 3 ),1115389.093750000000,1117001.248250000200,1121469.344500000100,1161703.753749999700,1148436.254999999900,1109536.664750000000,1135976.347499999900,1108075.974000000200,1103133.569000000100,10120723.250499999000
FS( 4 ),1113925.598499999800,1123870.715750000000,1130668.457500000000,1156745.790249999600,1163220.543750000200,1114454.805250000000,1150432.096500000000,1111500.752000000100,1101600.383500000200,10166420.142999999000
FS( 5 ),1116852.588999999900,1132343.058999999900,1139867.570500000100,1164182.735499999700,1165410.808750000100,1109536.664750000000,1193739.608999999900,1104651.196000000200,1093058.350000000100,10219643.582500000000
FS( 6 ),1115389.093750000000,1137609.650750000000,1138195.004499999800,1161703.753749999700,1138580.062500000500,1115968.079250000000,1185715.274499999800,1102938.807000000000,1096562.774000000000,10192663.500000000000
FS( 7 ),1112462.103249999900,1139212.526500000200,1128995.891499999900,1146829.863249999700,1146245.990000000000,1124101.926999999900,1203376.774999999900,1099514.029000000100,1099848.171500000200,10200588.277000003000
FS( 8 ),1124588.206749999900,1154554.337250000300,1142794.560999999800,1169140.698999999800,1153911.917500000000,1122399.493750000100,1224224.115500000100,1108075.974000000200,1104885.781000000000,10304576.085750001000
FS( 9 ),1162639.083249999900,1190733.532750000200,1167255.838750000100,1182361.934999999800,1169243.772500000000,1138478.030000000000,1298036.046000000100,1138898.976000000300,1121531.795000000400,10569180.009250000000
