代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12208061.482249999000
真實報酬,2208061.482249999400

夏普值報酬,0.212106148225
夏普值風險,0.059130962784
夏普值,3.587057241083

預期報酬,18516.059216169440
風險,117049.101215771590
起點值,0.158190528794
找到最佳解世代,3480
找到最佳解實驗#,1
找到最佳解次數,18

投資組合檔數,10
1326(5),2207(12),2301(13),2308(15),2498(30),2881(33),2912(41),3231(44),3481(45),3673(47),
Stock#,1326(5),2207(12),2301(13),2308(15),2498(30),2881(33),2912(41),3231(44),3481(45),3673(47),
張數,17,5,33,11,3,37,7,48,79,2,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,43068.312749999997,74583.157500000118,20155.708750000118,13766.617249999999,214081.659999999890,2540.642999999884,79379.983249999888,8348.907999999999,5554.932250000000,135349.626500000010,
FS( 1 ),998638.312750000040,998683.157499999970,998605.708749999990,998596.617250000010,998881.660000000030,998580.643000000040,998689.983250000050,998588.908000000050,998584.932249999950,998769.626500000010,9986619.549249999200
FS( 2 ),987301.510000000010,981701.318750000090,987048.193000000090,1003437.857500000000,1030592.540499999900,997488.430749999940,1003681.769000000000,994207.096000000140,1029583.465749999900,1042298.540000000000,10057340.721250001000
FS( 3 ),999995.091250000060,996784.280000000030,994276.067500000000,1008037.414000000100,1043763.997750000100,1001908.783749999800,1009744.820750000000,986561.079999999960,1033515.987000000000,1057152.519000000100,10131740.040999999000
FS( 4 ),999995.091250000060,996784.280000000030,1000518.322750000100,998838.300999999980,1026172.187499999800,1004855.685749999800,1009744.820750000000,977003.560000000060,998123.295749999930,1057152.519000000100,10069188.063749999000
FS( 5 ),1004057.037250000100,983841.805000000050,1004132.260000000000,1003437.857500000000,996872.415249999850,1004855.685749999800,1012741.501499999900,987994.708000000100,1065762.661250000100,1048789.689000000000,10112485.620500000000
FS( 6 ),1013873.406750000100,977420.346250000060,989347.971250000060,989639.187999999970,1029099.177999999800,995646.616999999850,1027933.976000000000,985127.452000000160,1050819.080499999700,1053429.068500000100,10112336.284249999000
