代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11839357.367500002000
真實報酬,1839357.367500001600

夏普值報酬,0.175235736750
夏普值風險,0.051459192483
夏普值,3.405333980058

預期報酬,14909.714750732408
風險,80668.511933469141
起點值,0.184826946641
找到最佳解世代,3593
找到最佳解實驗#,1
找到最佳解次數,28

投資組合檔數,12
1216(2),2324(16),2330(18),2408(23),2412(25),2454(26),2474(27),2823(29),2884(34),2887(37),3045(43),5880(47),
Stock#,1216(2),2324(16),2330(18),2408(23),2412(25),2454(26),2474(27),2823(29),2884(34),2887(37),3045(43),5880(47),
張數,15,43,4,17,8,3,2,31,49,71,7,58,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,20676.612499999999,1819.779750000117,71609.088000000003,16680.926749999999,45411.809999999998,191740.030999999870,233900.023500000010,21838.265500000001,13866.922500000001,7137.346500000000,90485.949250000005,2170.278500000000,
FS( 1 ),832176.612500000050,832149.779749999990,832249.087999999990,832170.926749999980,832211.810000000060,832420.030999999960,832480.023500000010,832178.265499999980,832166.922499999990,832157.346499999990,832275.949249999950,832150.278500000010,9986791.033749999500
FS( 2 ),827092.362500000050,830616.055750000170,834657.591000000010,826192.915000000040,832553.227999999890,820953.386749999830,834669.801500000060,843715.295249999970,832936.430749999820,832040.924250000040,838959.234250000210,831364.784499999950,9985756.009499998800
FS( 3 ),819924.222500000150,830616.055750000170,834657.591000000010,836009.284499999830,836376.236000000030,819489.891499999790,839488.384500000040,835382.332500000020,830985.103750000010,832040.924250000040,848924.939999999940,836561.685999999870,10000460.652250001000
FS( 4 ),829929.751249999860,822482.208000000220,832746.086999999940,834316.806999999910,832553.227999999890,813755.379499999920,834669.801500000060,829827.023999999980,830985.103750000010,828506.632999999910,835614.102250000000,834251.952000000050,9959642.077250000100
FS( 5 ),831423.113750000020,822482.208000000220,852020.418999999990,837701.761999999990,840119.598000000000,803660.248999999840,853983.956499999970,831370.165249999960,830985.103750000010,828506.632999999910,845579.807999999960,836561.685999999870,10014398.702250000000
FS( 6 ),828585.725000000090,824194.597000000300,855883.250000000000,845825.653999999980,843942.605999999910,790697.862499999810,884886.604500000020,820259.548249999990,824155.459249999960,824972.341749999910,835614.102250000000,839448.853499999970,10018470.604000000000
FS( 7 ),840084.616250000080,828475.569499999980,863569.089000000040,852426.316250000030,840119.598000000000,793594.985749999880,869435.280500000110,831370.165249999960,824155.459249999960,832040.924250000040,835614.102250000000,836561.685999999870,10047451.792250002000
FS( 8 ),848746.118750000020,810067.387749999990,871294.751000000050,842609.946749999770,840119.598000000000,806557.372249999780,857846.787499999980,829827.023999999980,828545.944999999950,838402.648500000010,845579.807999999960,836561.685999999870,10056163.073500000000
FS( 9 ),841428.642500000070,814348.360250000030,865480.592999999990,855811.271249999990,847765.614000000060,809424.628249999950,850121.125499999970,840937.641000000060,830985.103750000010,841936.939749999900,848924.939999999940,836561.685999999870,10083730.545250000000
FS( 10 ),841428.642500000070,828475.569499999980,865480.592999999990,898461.704249999950,851588.621999999970,809424.628249999950,872322.447999999970,838159.986749999920,830985.103750000010,854660.388249999960,845579.807999999960,839448.853499999970,10176020.347749999000
FS( 11 ),850090.145000000020,828475.569499999980,859706.257999999910,872228.302999999840,851588.621999999970,800792.992999999780,865572.449500000100,853282.770999999950,832936.430749999820,858194.679499999850,845579.807999999960,839448.853499999970,10157900.882749999000
FS( 12 ),848746.118750000020,830616.055750000170,857794.753999999960,860719.456000000010,851588.621999999970,805093.876999999860,877160.942500000000,865936.529249999910,841717.402250000040,877279.852250000000,842304.366249999960,842336.021000000180,10201297.997000000000
FS( 13 ),848746.118750000020,836609.417250000060,855883.250000000000,849210.609000000050,851588.621999999970,805093.876999999860,854939.708499999950,849270.603750000010,841717.402250000040,858194.679499999850,845579.807999999960,839448.853499999970,10136286.949500000000
FS( 14 ),847252.756250000090,840462.292500000100,853931.922999999950,849210.609000000050,847765.614000000060,803660.248999999840,850121.125499999970,853282.770999999950,839766.075249999880,858194.679499999850,842304.366249999960,839448.853499999970,10125405.314749999000
FS( 15 ),837247.227500000040,830616.055750000170,861657.584999999960,844133.176499999940,851588.621999999970,793594.985749999880,847214.046500000050,849270.603750000010,839766.075249999880,861022.112499999930,845579.807999999960,839448.853499999970,10101143.152000001000
FS( 16 ),841428.642500000070,840462.292500000100,861657.584999999960,847518.131500000130,851588.621999999970,790697.862499999810,859778.202999999980,850813.745000000000,841717.402250000040,858194.679499999850,842304.366249999960,839448.853499999970,10125614.385500001000
FS( 17 ),847252.756250000090,830616.055750000170,863569.089000000040,854118.793749999950,851588.621999999970,815189.007499999830,863641.033999999990,848036.090749999970,839766.075249999880,864556.403750000060,835614.102250000000,836561.685999999870,10150513.716250002000
FS( 18 ),877568.015000000010,830616.055750000170,869343.424000000000,854118.793749999950,859154.992000000090,849745.415749999930,857846.787499999980,854825.912249999940,841717.402250000040,870918.128000000030,835614.102250000000,842336.021000000180,10243809.049500000000
FS( 19 ),893397.657499999860,828475.569499999980,869343.424000000000,850733.838750000000,859154.992000000090,852612.671749999860,859778.202999999980,852048.258000000030,844156.560999999990,870918.128000000030,838959.234250000210,842336.021000000180,10261918.558750000000
FS( 20 ),886080.181250000020,812207.874000000190,853931.922999999950,854118.793749999950,862978.000000000000,854046.299749999890,848189.709999999960,836925.473750000000,837326.916500000050,883641.576500000080,832338.660500000000,834251.952000000050,10196041.361000000000
