代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11731516.990000000000
真實報酬,1731516.990000000200

夏普值報酬,0.164451699000
夏普值風險,0.047627899106
夏普值,3.452843860139

預期報酬,14302.592220452903
風險,283825.363153836220
起點值,0.050392227324
找到最佳解世代,4147
找到最佳解實驗#,1
找到最佳解次數,17

投資組合檔數,2
2412(24),4904(45),
Stock#,2412(24),4904(45),
張數,78,162,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,12603.072499999998,16268.288000000932,
FS( 1 ),4992903.072499999800,4992908.287999999700,9985811.360500000400
FS( 2 ),4959993.566000000600,4930565.868499999900,9890559.434500001400
FS( 3 ),4970865.244999999200,4982176.476499999900,9953041.721499998100
FS( 4 ),4970865.244999999200,4935404.363000000800,9906269.607999999100
FS( 5 ),5003480.281999998700,4970886.655999999500,9974366.937999997300
FS( 6 ),5014351.960999999200,4998304.791500000300,10012656.752499999000
FS( 7 ),5052402.837500001300,5004756.117500000600,10057158.955000002000
FS( 8 ),5106761.232499998100,5022497.264000000400,10129258.496499998000
FS( 9 ),5036095.319000000100,5022497.264000000400,10058592.583000001000
FS( 10 ),5041531.158500000800,5009594.612000000700,10051125.770500001000
FS( 11 ),5025223.639999999700,5016045.938000001000,10041269.578000002000
FS( 12 ),5074146.195500000400,5045076.905000000300,10119223.100500001000
FS( 13 ),5068710.355999999700,5096687.513000000300,10165397.868999999000
FS( 14 ),5046966.997999999700,5045076.905000000300,10092043.903000001000
FS( 15 ),5052402.837500001300,5049915.399500001200,10102318.237000003000
FS( 16 ),5052402.837500001300,5101526.007500001200,10153928.845000003000
FS( 17 ),5079582.035000000100,5078946.366500000500,10158528.401500002000
FS( 18 ),5074146.195500000400,5090236.187000000800,10164382.382500000000
FS( 19 ),5074146.195500000400,5072495.040500001100,10146641.236000001000
FS( 20 ),5068710.355999999700,5072495.040500001100,10141205.396500001000
FS( 21 ),5095889.553499999500,5101526.007500001200,10197415.561000001000
FS( 22 ),5150247.948499999000,5216037.044000000700,10366284.992500000000
FS( 23 ),5182862.985500000400,5249906.505500001800,10432769.491000002000
FS( 24 ),5231785.540999999300,5272486.146500001700,10504271.687500000000
FS( 25 ),5324194.812500000900,5249906.505500001800,10574101.318000004000
FS( 26 ),5324194.812500000900,5261196.326000002200,10585391.138500003000
FS( 27 ),5280708.096500000000,5256357.831500001300,10537065.928000001000
FS( 28 ),5269836.417499999500,5124105.648500000100,10393942.066000000000
FS( 29 ),5324194.812500000900,5170877.762000001000,10495072.574500002000
FS( 30 ),5367681.528499999100,5182167.582500001400,10549849.111000001000
FS( 31 ),5410391.696000000500,5261196.326000002200,10671588.022000004000
