代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12650461.773750000000
真實報酬,2650461.773749999700

夏普值報酬,0.256346177375
夏普值風險,0.063492336745
夏普值,4.037434917637

預期報酬,16532.239489825595
風險,205804.813999989300
起點值,0.080329702540
找到最佳解世代,3407
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,4
2412(24),2912(39),3045(40),8046(47),
Stock#,2412(24),2912(39),3045(40),8046(47),
張數,50,39,59,24,
FS( 54 ),2541282.225000000100,2999703.938500000600,2691622.102750000500,2687046.370000000100,10919654.636250000000
FS( 55 ),2565176.025000000400,2962817.884750000200,2695733.827500001100,2677488.850000000100,10901216.587250002000
FS( 56 ),2557211.425000000300,3005916.326500000400,2737438.464250000700,2687046.370000000100,10987612.585750002000
FS( 57 ),2549246.825000000200,3049014.768250000200,2729215.014750000600,2687046.370000000100,11014522.978000000000
FS( 58 ),2561193.725000000100,3040084.460500000000,2704544.666250000700,2667931.330000000500,10973754.181750001000
FS( 59 ),2561193.725000000100,3024553.490500000800,2695733.827500001100,2619904.792000000400,10901385.835000001000
FS( 60 ),2541282.225000000100,2981455.048750000500,2658728.304750000100,2610347.272000000300,10791812.850500001000
FS( 61 ),2561193.725000000100,2950781.382999999900,2695733.827500001100,2696603.890000000100,10904312.825500002000
FS( 62 ),2557211.425000000300,2882833.389250000000,2704544.666250000700,2619904.792000000400,10764494.272500001000
FS( 63 ),2565176.025000000400,2969030.272750000000,2725103.290000001000,2562320.734000000200,10821630.321750000000
FS( 64 ),2577122.925000000300,2873514.807250000500,2716879.840500000400,2524090.654000000100,10691608.226750001000
FS( 65 ),2608981.325000000200,2907294.666999999400,2795002.610750000500,2571878.254000000200,10883156.856750000000
FS( 66 ),2624910.525000000400,2892151.971249999900,2720404.176000000400,2562320.734000000200,10799787.406250000000
FS( 67 ),2648804.325000000200,2889045.777249999800,2720404.176000000400,2610347.272000000300,10868601.550250001000
FS( 68 ),2636857.425000000300,2919719.443000000000,2729215.014750000600,2744630.428000000300,11030422.310750000000
FS( 69 ),2648804.325000000200,2996986.018749999800,2733914.128750000600,2802214.486000000000,11181918.958500000000
FS( 70 ),2648804.325000000200,3043190.654499999700,2733914.128750000600,2802214.486000000000,11228123.594249999000
FS( 71 ),2648804.325000000200,3040084.460500000000,2725103.290000001000,2955851.620000000100,11369843.695500001000
FS( 72 ),2648804.325000000200,3005916.326500000400,2706894.223250000700,2926940.122000000400,11288554.996750001000
FS( 73 ),2664733.525000000400,3086289.096249999900,2711593.337249999900,2895161.368000000200,11357777.326500000000
FS( 74 ),2640839.725000000100,3120068.956000000200,2702782.498500000200,2905196.764000000000,11368887.943500001000
FS( 75 ),2644822.025000000400,3304887.499000000300,2733914.128750000600,2755860.514000000000,11439484.166750001000
FS( 76 ),2652786.625000000000,3227620.923249999500,2769744.873000000600,2855258.722000000500,11505411.143250002000
FS( 77 ),2660751.225000000100,3227620.923249999500,2778555.711750000700,2855258.722000000500,11522186.582000000000
