代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12061825.043000001000
真實報酬,2061825.043000001500

夏普值報酬,0.197482504300
夏普值風險,0.054059080119
夏普值,3.653086657537

預期報酬,13827.939290415961
風險,312945.519656764690
起點值,0.044186410803
找到最佳解世代,4797
找到最佳解實驗#,1
找到最佳解次數,23

投資組合檔數,2
2412(24),4904(45),
Stock#,2412(24),4904(45),
張數,75,154,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,30929.150000000001,27964.932000000001,
FS( 1 ),4992929.150000000400,4992924.932000000000,9985854.082000000400
FS( 2 ),5002332.912500000600,5003151.879499999800,10005484.791999999000
FS( 3 ),5049373.831249999800,5024616.476500000800,10073990.307750002000
FS( 4 ),5138228.900000000400,5003151.879499999800,10141380.779500000000
FS( 5 ),5138228.900000000400,5013884.178000000300,10152113.078000002000
FS( 6 ),5096414.750000000000,5009284.621500000400,10105699.371500000000
FS( 7 ),5085961.212500000400,4883563.410500000200,9969524.622999999700
FS( 8 ),5138228.900000000400,4928025.790000000000,10066254.690000001000
FS( 9 ),5180043.049999999800,4938758.088499999600,10118801.138499999000
FS( 10 ),5221110.518750000700,5013884.178000000300,10234994.696750000000
FS( 11 ),5200203.443750000600,4949490.387000001000,10149693.830750002000
FS( 12 ),5200203.443750000600,4917293.491500000500,10117496.935250001000
FS( 13 ),5133002.131250000600,4868231.555499999800,10001233.686750000000
FS( 14 ),5189749.906250000000,4883563.410500000200,10073313.316750001000
FS( 15 ),5164362.743750000400,4857499.257000000200,10021862.000750002000
FS( 16 ),5174816.281250000000,4862098.813499999200,10036915.094749998000
FS( 17 ),5159135.975000001500,4932625.346500000000,10091761.321500001000
FS( 18 ),5117321.825000000200,4949490.387000001000,10066812.212000001000
FS( 19 ),5101641.518750000700,4943357.645000001400,10044999.163750002000
FS( 20 ),5164362.743750000400,4949490.387000001000,10113853.130750000000
FS( 21 ),5189749.906250000000,5003151.879499999800,10192901.785750000000
FS( 22 ),5304738.818750000600,5161069.985999999600,10465808.804749999000
FS( 23 ),5304738.818750000600,5161069.985999999600,10465808.804749999000
FS( 24 ),5357006.506250000600,5133472.647000000800,10490479.153250001000
FS( 25 ),5435408.037500000600,5133472.647000000800,10568880.684500001000
FS( 26 ),5409274.193750000600,5220864.220499999800,10630138.414250001000
FS( 27 ),5435408.037500000600,5259193.858000000000,10694601.895500001000
FS( 28 ),5357006.506250000600,5253061.116000000400,10610067.622250002000
FS( 29 ),5409274.193750000600,5188667.324999999300,10597941.518750001000
FS( 30 ),5513809.568750001500,5286791.197000000600,10800600.765750002000
FS( 31 ),5487675.725000000600,5280658.455000000100,10768334.180000000000
FS( 32 ),5539943.412500000600,5329720.390999999800,10869663.803500000000
FS( 33 ),5670612.631250000600,5323587.648999999300,10994200.280250000000
FS( 34 ),5749014.162500000600,5352718.173499999600,11101732.335999999000
FS( 35 ),5775148.006250001500,5444709.303500000400,11219857.309750002000
FS( 36 ),5749014.162500000600,5421711.520999999700,11170725.683499999000
FS( 37 ),5507089.437500000000,5404846.480500000500,10911935.918000001000
FS( 38 ),5424207.818750000600,5283724.825999999400,10707932.644749999000
FS( 39 ),5517542.975000000600,5312855.350500000600,10830398.325500000000
FS( 40 ),5495889.218750000000,5312855.350500000600,10808744.569250001000
FS( 41 ),5528743.193750000600,5536700.433500000300,11065443.627250001000
FS( 42 ),5528743.193750000600,5484572.126500001200,11013315.320250001000
FS( 43 ),5528743.193750000600,5467707.085999999200,10996450.279750001000
FS( 44 ),5517542.975000000600,5472306.642500000100,10989849.617500000000
FS( 45 ),5512316.206250000700,5438576.561499999800,10950892.767750001000
FS( 46 ),5528743.193750000600,5524434.949500001000,11053178.143250002000
FS( 47 ),5424207.818750000600,5237729.260999999000,10661937.079750000000
FS( 48 ),5237537.506250000600,5038415.145999999700,10275952.652249999000
FS( 49 ),5237537.506250000600,4992419.581000000200,10229957.087250002000
FS( 50 ),5298018.687500000900,5095143.009500000600,10393161.697000001000
FS( 51 ),5298018.687500000900,5124273.534000000000,10422292.221500002000
FS( 52 ),5303245.456250000700,5170269.098999999500,10473514.555250000000
FS( 53 ),5446608.256250000600,5272992.527500000800,10719600.783750001000
FS( 54 ),5418981.050000000700,5260727.043500000600,10679708.093500001000
FS( 55 ),5418981.050000000700,5203999.179999999700,10622980.230000000000
FS( 56 ),5424207.818750000600,5203999.179999999700,10628206.998750001000
FS( 57 ),5418981.050000000700,5164136.356999999800,10583117.407000002000
FS( 58 ),5479462.231250000200,5147271.316500000700,10626733.547750000000
