代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14251660.935750000000
真實報酬,4251660.935750000200

夏普值報酬,0.416466093575
夏普值風險,0.108312933579
夏普值,3.845026441569

預期報酬,34542.337853213117
風險,170954.410270575750
起點值,0.202055845173
找到最佳解世代,3995
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,8
1216(2),1301(3),1402(6),2308(12),2347(18),2412(24),2498(27),3045(40),
Stock#,1216(2),1301(3),1402(6),2308(12),2347(18),2412(24),2498(27),3045(40),
張數,68,28,64,16,30,25,3,29,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,9274.482000000000,28021.157999999999,6630.720000000000,55500.260000000002,17345.967499999999,15493.331249999999,307048.205750000020,11387.488750000000,
FS( 1 ),1248234.482000000100,1248261.158000000100,1248230.720000000000,1248300.260000000000,1248245.967500000000,1248243.331250000000,1248658.205750000000,1248237.488750000000,9986411.613250000400
FS( 2 ),1231243.237000000200,1238958.942000000000,1221072.927999999800,1217057.524000000200,1226969.592500000000,1238806.112500000000,1207306.855250000000,1242764.427500000000,9824179.618750000400
FS( 3 ),1248168.012000000100,1258193.451000000100,1305179.104000000100,1237128.316000000100,1272666.485000000100,1242788.412500000100,1221523.666250000000,1258932.565500000000,10044580.012250002000
FS( 4 ),1244783.057000000000,1262096.105000000400,1321108.304000000000,1237128.316000000100,1234137.732499999900,1244779.562500000000,1212772.561999999900,1267016.634500000200,10023822.273500001000
FS( 5 ),1220411.381000000100,1252339.470000000000,1298807.423999999900,1203995.580000000100,1212931.985000000100,1244779.562500000000,1195270.353500000000,1273079.686250000300,9901615.442249998500
FS( 6 ),1244783.057000000000,1265719.997999999900,1324931.311999999900,1153181.432000000000,1242799.235000000100,1240797.262500000000,1236845.565500000000,1275100.703500000300,9984158.565500000500
FS( 7 ),1227858.282000000100,1250388.143000000200,1312825.119999999900,1154455.767999999900,1212931.985000000100,1244779.562500000000,1218238.268750000000,1267016.634500000200,9888493.763750001800
FS( 8 ),1255614.913000000200,1258193.451000000100,1340860.512000000100,1169747.799999999800,1206062.517500000100,1256726.462500000100,1219343.356999999800,1283473.489250000100,9990022.502250000800
FS( 9 ),1267123.759999999800,1275476.633000000100,1346595.024000000000,1196986.732000000100,1232345.697500000000,1264691.062500000000,1222628.754500000300,1315809.765250000200,10121657.428750001000
FS( 10 ),1276601.634000000100,1304189.016000000300,1386736.608000000000,1219446.903999999900,1244591.270000000000,1268673.362500000000,1232484.947000000200,1311767.730750000100,10244491.472250000000
FS( 11 ),1304358.265000000100,1319520.871000000000,1388648.112000000000,1248915.924000000100,1248175.340000000100,1282611.412500000100,1251062.376500000000,1307725.696250000000,10351017.997249998000
FS( 12 ),1315867.112000000200,1344609.360999999800,1402665.808000000000,1272650.432000000000,1237423.130000000100,1274646.812500000000,1253242.685750000200,1329956.885999999900,10431062.227250000000
FS( 13 ),1306389.238000000100,1329277.506000000100,1398842.800000000000,1290331.844000000000,1228761.627500000400,1286593.712500000100,1254347.774000000000,1331977.903250000200,10426522.405250000000
FS( 14 ),1326698.967999999900,1352414.669000000000,1414772.000000000000,1296225.648000000000,1300741.700000000000,1282611.412500000100,1269669.673250000200,1352476.792500000400,10595610.863250002000
FS( 15 ),1328729.941000000100,1340706.706999999900,1407125.984000000200,1319800.864000000100,1290288.162500000100,1278629.112500000000,1254347.774000000000,1348434.758000000100,10568063.302999999000
FS( 16 ),1339561.796999999800,1336804.053000000300,1426878.192000000000,1319800.864000000100,1309403.202500000100,1284602.562500000000,1247776.979000000100,1336308.654500000200,10601136.304500001000
FS( 17 ),1343623.743000000000,1323423.524999999900,1416683.504000000000,1308013.256000000100,1298949.665000000000,1284602.562500000000,1240130.963000000000,1331977.903250000200,10547405.121749999000
FS( 18 ),1347685.689000000000,1300286.362000000000,1366984.399999999900,1284438.040000000000,1264004.982499999900,1274646.812500000000,1230274.770500000100,1313788.747999999900,10382109.804500001000
FS( 19 ),1360548.517999999900,1325374.852000000000,1368895.904000000100,1296225.648000000000,1260420.912500000100,1284602.562500000000,1232484.947000000200,1331977.903250000200,10460531.247250000000
FS( 20 ),1339561.796999999800,1313945.651000000100,1356789.712000000100,1308013.256000000100,1260420.912500000100,1282611.412500000100,1225914.152000000000,1336308.654500000200,10423565.547500001000
FS( 21 ),1341592.770000000000,1335131.487000000000,1342772.016000000100,1278544.236000000000,1248175.340000000100,1286593.712500000100,1247776.979000000100,1346413.740750000100,10427000.281250000000
FS( 22 ),1341592.770000000000,1300286.362000000000,1294984.416000000000,1296225.648000000000,1220100.125000000200,1292567.162500000100,1265279.187500000000,1342371.706250000000,10353407.377250001000
FS( 23 ),1390336.121999999700,1304189.016000000300,1326842.815999999900,1325694.668000000100,1241007.200000000000,1308496.362500000000,1271849.982499999900,1380771.034000000200,10549187.200999999000
FS( 24 ),1420123.726000000000,1329277.506000000100,1377179.088000000000,1367110.588000000000,1246383.304999999900,1316460.962500000100,1338573.419000000200,1344104.006749999900,10739212.601250000000
FS( 25 ),1416738.771000000200,1367746.524000000000,1412860.496000000000,1367110.588000000000,1278042.590000000100,1328407.862500000000,1390004.823499999900,1344104.006749999900,10905015.661750002000
FS( 26 ),1399813.996000000300,1373321.743999999900,1382913.600000000100,1373004.392000000000,1293573.559999999800,1322434.412500000100,1403116.546249999900,1348434.758000000100,10896613.008750001000
FS( 27 ),1411322.842999999900,1398410.234000000200,1395019.792000000100,1408526.507999999900,1278042.590000000100,1328407.862500000000,1462193.966749999900,1350744.492000000100,11032668.288250001000
FS( 28 ),1409291.870000000100,1417644.743000000200,1421143.680000000200,1461730.036000000100,1286704.092500000000,1328407.862500000000,1457803.481000000100,1350744.492000000100,11133470.257000001000
FS( 29 ),1403198.950999999900,1421547.397000000100,1416683.504000000000,1402632.703999999900,1281327.987500000000,1328407.862500000000,1523451.696500000100,1346413.740750000100,11123663.843249999000
FS( 30 ),1397783.023000000000,1404264.215000000100,1395019.792000000100,1414420.312000000200,1278042.590000000100,1328407.862500000000,1499378.692999999700,1337463.521500000000,11054780.009000000000
FS( 31 ),1412676.825000000200,1415693.416000000200,1410948.992000000100,1435287.564000000000,1314779.307499999600,1336372.462500000100,1508129.797250000100,1339773.255500000000,11173661.619750002000
FS( 32 ),1412676.825000000200,1434091.642000000000,1395019.792000000100,1416809.692000000000,1316571.342500000000,1324425.562500000000,1556275.804249999800,1335442.504250000000,11191313.164500000000
FS( 33 ),1397783.023000000000,1423777.485000000100,1377179.088000000000,1380013.240000000000,1307611.167500000000,1326416.712500000100,1543134.214250000000,1350744.492000000100,11106659.422250003000
FS( 34 ),1405229.924000000100,1403427.932000000000,1365072.895999999900,1429075.176000000000,1297157.630000000100,1330399.012500000000,1545314.523499999900,1368356.213750000100,11144033.307750002000
FS( 35 ),1414707.798000000000,1407609.347000000100,1407125.984000000200,1472084.016000000100,1334193.020000000000,1334381.312500000000,1569387.526999999500,1372686.965000000100,11312175.969500000000
FS( 36 ),1411322.842999999900,1421826.158000000100,1446630.399999999900,1441340.659999999900,1312987.272500000000,1342345.912500000100,1532202.800749999900,1374996.698999999800,11283652.745750001000
FS( 37 ),1405229.924000000100,1409560.674000000100,1442807.392000000000,1380013.240000000000,1312987.272500000000,1340354.762500000000,1521271.387250000100,1372686.965000000100,11184911.617250001000
FS( 38 ),1412676.825000000200,1432140.314999999900,1472754.287999999900,1386225.628000000000,1330608.950000000000,1356283.962500000100,1512520.283000000100,1387988.952750000200,11291199.204250000000
FS( 39 ),1414707.798000000000,1411790.762000000100,1518630.384000000100,1416809.692000000000,1318363.377500000400,1352301.662500000100,1554065.627750000000,1401269.923250000000,11387939.227000002000
FS( 40 ),1412676.825000000200,1385308.467000000200,1458736.591999999900,1429075.176000000000,1307611.167500000000,1346328.212500000100,1556275.804249999800,1398960.189250000100,11294972.433500001000
FS( 41 ),1441110.446999999700,1393392.535999999800,1482948.976000000000,1447553.048000000000,1320155.412500000100,1346328.212500000100,1589876.460499999800,1398960.189250000100,11420325.281749999000
FS( 42 ),1458035.221999999800,1407609.347000000100,1486771.984000000200,1435287.564000000000,1312987.272500000000,1358275.112500000000,1678910.732750000000,1403579.657249999900,11541456.892000001000
FS( 43 ),1433663.546000000100,1389211.121000000000,1493143.663999999900,1410756.595999999900,1298949.665000000000,1366239.712500000100,1722248.112500000000,1398960.189250000100,11513172.606250001000
FS( 44 ),1446526.375000000200,1407609.347000000100,1526913.568000000000,1447553.048000000000,1327024.880000000100,1378186.612500000000,1772783.499499999900,1407910.408500000100,11714507.738499999000
FS( 45 ),1459389.204000000400,1419874.831000000000,1567055.152000000000,1435287.564000000000,1370929.737500000000,1384160.062500000000,1710211.610750000000,1394629.437999999800,11741537.599749999000
FS( 46 ),1480375.925000000000,1427958.899999999900,1568966.656000000000,1441340.659999999900,1381383.275000000100,1388142.362500000000,1712600.990750000300,1390298.686749999900,11791067.456000002000
FS( 47 ),1458035.221999999800,1417644.743000000200,1553037.455999999800,1441340.659999999900,1360476.200000000000,1386151.212500000100,1755938.370500000000,1390298.686749999900,11762922.550750000000
FS( 48 ),1487822.825999999900,1427958.899999999900,1582984.352000000000,1398491.112000000200,1369137.702500000100,1388142.362500000000,1758327.750500000100,1390298.686749999900,11803163.692250000000
FS( 49 ),1487822.825999999900,1436042.969000000000,1568966.656000000000,1410756.595999999900,1369137.702500000100,1376195.462500000100,1751129.743250000100,1387988.952750000200,11788040.908000000000
FS( 50 ),1487822.825999999900,1437994.296000000100,1535196.751999999900,1423022.080000000100,1378097.877500000400,1360266.262500000000,1755938.370500000000,1366046.479749999900,11744384.944250001000
FS( 51 ),1474959.996999999700,1444127.037999999900,1535196.751999999900,1423022.080000000100,1351516.025000000100,1362257.412500000100,1724637.492499999700,1353054.225999999800,11668771.023000000000
FS( 52 ),1480375.925000000000,1452489.868000000200,1526913.568000000000,1404544.207999999900,1344646.557499999600,1365493.031250000000,1712600.990750000300,1350744.492000000100,11637808.640500000000
FS( 53 ),1495269.727000000000,1460573.937000000200,1526913.568000000000,1404544.207999999900,1338971.780000000000,1369724.225000000100,1727056.739749999900,1370377.230999999900,11693431.415750001000
FS( 54 ),1508132.556000000100,1460573.937000000200,1579161.343999999800,1404544.207999999900,1354801.422500000100,1373955.418750000000,1806473.757499999800,1379327.450250000000,11866970.094000001000
