代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11789722.228499999000
真實報酬,1789722.228499999300

夏普值報酬,0.170272222850
夏普值風險,0.043531859431
夏普值,3.911439232663

預期報酬,14573.952430961503
風險,204538.272377421440
起點值,0.071252935999
找到最佳解世代,3071
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
1303(4),1326(5),2308(12),4904(44),
Stock#,1303(4),1326(5),2308(12),4904(44),
張數,65,59,36,102,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,32989.512499999997,7242.875749999999,66537.250000000000,14803.634500000000,
FS( 1 ),2496489.512500000200,2496452.875750000100,2496537.250000000000,2496463.634500000200,9985943.272750001400
FS( 2 ),2466821.936249999800,2473102.947249999700,2446001.322999999900,2485482.289000000300,9871408.495500000200
FS( 3 ),2537358.425000000300,2541827.489500000100,2448868.579000000400,2505792.018999999900,10033846.512499999000
FS( 4 ),2523121.702500000100,2517744.530250000800,2427364.159000000000,2512900.424500000700,9981130.816250000100
FS( 5 ),2579421.468750000000,2574133.898250000100,2411594.251000000600,2515946.884000000100,10081096.502000000000
FS( 6 ),2621484.512500000200,2610552.031750000100,2398333.191999999800,2518993.343500000400,10149363.079750001000
FS( 7 ),2654487.823750000000,2646382.776000000100,2438116.368999999900,2518993.343500000400,10257980.312249999000
FS( 8 ),2677784.278749999600,2671053.124499999900,2446001.322999999900,2508838.478500000200,10303677.204750000000
FS( 9 ),2701080.733750000100,2731554.217250000200,2438116.368999999900,2515946.884000000100,10386698.204000000000
FS( 10 ),2668724.546250000100,2706883.868750000400,2446001.322999999900,2515946.884000000100,10337556.622000001000
FS( 11 ),2724377.188750000700,2824361.718750000000,2480766.802000000100,2523055.289500000000,10552560.999000002000
FS( 12 ),2724377.188750000700,2783831.860500000400,2432740.264000000000,2533210.154500000200,10474159.467750002000
FS( 13 ),2729554.178750000400,2751525.451750000000,2453886.277000000200,2523055.289500000000,10458021.197000001000
FS( 14 ),2738613.911249999900,2715107.318250000000,2427364.159000000000,2526101.749000000300,10407187.137499999000
